StatementId,Text
006fa611b8b25073481e7a43f0a8fc05,"Předsednictvo @TOP09cz přijalo jednomyslně usnesení, že bude podporovat vyloučení strany Fidész V. Orbána z Evropské lidové strany (@EPP_CZ). Poslední kroky maďarského premiéra jsou v přímém rozporu s hodnotami, které EPP v Evropě zastává a prosazuje."
00A4A09E0A90CAE75C52124CF5B99994,"Evropská unie nám opět vyhrožuje sankcemi za to, že nebudeme přijímat imigranty. Místopředseda Evropské komise Frans Timmermans včera řekl, že v Evropské unii dříve či později hrozí obnovení vnitřních hranic, pokud se země ze střední a východní Evropy nezačnou při řešení migrační problematiky chovat solidárněji – přeloženo z bruselštiny to znamená, pokud nebudeme solidárnější při přerozdělování imigrantů. Hnutí SPD naprosto odmítá vydírání ze strany Bruselu! Odmítáte-li imigraci a diktát Evropské unie, volte 24. a 25. května hnutí SPD.   Navíc prohlášení Timmermanse odhalilo Evropskou unii při lži. Evropská unie totiž tvrdí, že řešení imigrace zvládá a že už to není problém. Ale proč, když už to není problém, vyžaduje „solidaritu“ při přerozdělování imigrantů? Statistiky ale ukazují, že imigrace problém nadále je.    Otázka imigrace má podle hnutí SPD být výsostným právem národních států! A pokud jde o hranice, tak když Evropská unie nebrání před imigranty vnější hranice EU, nezbude nám nic jiného, než si bránit naše vlastní české.    Musíme být připravení chránit své hranice a musíme mít připravenu hráz proti imigrační povodni. Schengenský systém bohužel znamená, že kromě slušných občanů evropských zemí se mohou přes hranice volně pohybovat i zločinci a teroristé, aniž by je kdokoli zkontroloval. SPD podporuje bezvízový styk a volné cestování občanů vyspělých zemí, ale nikoliv občanů rozvojových či muslimských zemí. A současně s možnými hraničními kontrolami, aby byla zajištěna bezpečnost českých občanů a abychom mohli případně zadržet teroristy a zločince na našich hranicích.   Pokud nechcete současnou Evropskou unii, pokud nechcete euro, pokud nechcete, aby nám vládli lidé jako Juncker, Merkelová, Macron či Soros, hlasujte prosím pro hnutí SPD ve volbách do Evropského parlamentu 24. a 25. května. Společně s dalšími vlasteneckými stranami a politiky jako Matteo Salvini, Marine Le Pen, Viktor Orbán či Geert Wilders zabráníme diktatuře Bruselu. Volby do Evropského parlamentu jsou REFERENDEM O EVROPSKÉ UNII a o IMIGRACI!"
0159D0839F6D85DF9D04C0A1C5548525,"Teď už tu evropskou politiku bude určovat jenom @AndrejBabis sám. Ruku v ruce se Zemanem a Orbánem. Lidé si to tak zvolili, tak to tak bude. Ale že nad tím jásá odborný garant zahraniční politiky @ODScz, to je docela smutné. https://t.co/n0OrkOsBkq"
0245a0313464956fc11eee78da5d532c,"Souhlasím s Viktorem Orbánem. A co Vy?   I krize okolo koranviru dokázala, že globalizace a globalismus není správnou cestou. Správnou cestou je lokalismus, patriotismus a politická i ekonomická nezávislost národních států, které když budou soběstačné, budou odolné proti krizím typu pandémie koronaviru.  V této souvislosti musím ocitovat dnešní výroky předsedy ČSSD a ministra vnitra Jana Hamáčka a místopředsedy ČSSD a ministra zahraničí Tomáše Petříčka, kteří řekli, že  jim běží z kroků Viktora Orbána mráz po zádech . A Petříček v dnešním rozhovoru pro Mf Dnes dodal, že  je potřeba posílit EU a integrace by měla být hlubší a silnější.    Po tom, co nás EU peskuje za uzavření hranic kvůli šíření koronaviru? Potom, co dnes prasklo, že nám Evropská komise vyhrožuje a hrozí sankcemi a odebráním peněz za to, že jsme zakázali vývoz respirátorů a dezinfekce, abychom měli alespoň něco pro vlastní lidi? To se už v ČSSD úplně zbláznili?"
02581B1317B9E8436572FA12C5CBA3DD,"Zítra 20.9. od 17:00 vystoupím na demonstraci na podporu Maďarska před maďarským velvyslanectvím v Praze s názvem  Orbán za nás, my za Orbána . Spolu se mnou vystoupí například Václav Klaus ml., kandidát SPD do Senátu Ladislav Jakl, poslanec SPD Jiří Kobza a další. Přijďte nás podpořit! Adresa je Pod hradbami 17, Praha 6 - Střešovice. Jak víte, tak čeští europoslanci za ANO, ČSSD, TOP09 a STAN minulý týden hlasovali PRO potrestání Maďarska za to, že neskáče jak Brusel píská a odmítá migranty. Orgány EU za podpory českých kolaborantů nastoupily cestu otevřené politické agrese proti Maďarsku.   Jsme svědky postupu orgánů EU proti Maďarské republice, který je, jak jsem přesvědčen, v rozporu se základními principy spolupráce mezi evropskými státy, a je hrubým porušením suverenity Maďarské republiky. Orgány EU nastoupily cestu otevřené politické agrese proti Maďarsku. Agrese plně srovnatelné v politické rovině s československou zkušeností z roku 1968. Je zpochybněna legitimita vlády a suverenita země. Je zpochybněn nejzákladnější princip, že v Maďarsku je pánem lid Maďarska. V plné nahotě se demaskovala neomarxistická podstata EU a její zásadní koncept na omezenou a postupně zanikající suverenitu národních států. Je strašné, že na agresi proti Maďarsku se podílí europoslanci z České republiky a schvaluje jej místopředseda vlády a ministr pověřený řízením rezortu zahraničí České republice.  Europoslanci hnutí ANO, ČSSD, STAN a TOP 09 nezrazují svým hlasováním jen Maďarsko, ale i Českou republiku. Agrese je totiž přímo namířena proti státům V4, což je pro naši republiku klíčové partnerství, a já jsem přesvědčen, že význam tohoto partnerství v budoucnu jistě poroste. Premiér Orbán dnes patří k politikům, kteří mají jasnou vizi rozvoje své země. Je to program obrany národní a státní suverenity, svobody a demokracie. Odmítá destrukci přirozených hodnot a brání právo Maďarů na své národní dědictví. Tím dědictvím je maďarský stát. Takový program je SPD blízký a k těmto principům se hlásí SPD.  Premiér Orbán je skutečným Masarykem dnešní Evropy. A pokud nemáme plné kalhoty strachu z Berlína, Bruselu a Paříže, tak musíme stát po jeho boku. A hnutí SPD to dokáže.  V případě, že nám dovolíte vaším hlasováním zařazení tohoto mimořádného bodu, navrhneme následující usnesení:  Poslanecká sněmovna České republiky odsuzuje kroky orgánů Evropské unie namířené proti Maďarsku svou bezdůvodnou politickou agresí proti suverenitě Maďarska. Vyzýváme vládu České republiky k přehodnocení celé situace a k blokování všech pokusů uvalit na úrovni Evropské unie sankce proti Maďarsku.  Děkuji vám za pozornost.  -----------------------------  Co si o tom myslíte Vy? Napište mi do komentářů. A jestli se mnou souhlasíte, prosím SDÍLEJTE, ať se názory našeho hnutí Svoboda a přímá demokracie (SPD) dozví co nejvíce lidí."
02733E200B13B1B5D271C51BE291C8CD,"Máme tu další šílený nesmysl z Evropské unie, který zavede totální cenzuru téměř všeho a který bohužel podporuje Babišova vláda ANO, ČSSD a KSČM. Automatické algoritmy mají automaticky mazat příspěvky na internetu, které údajně porušují autorská práva. Směrnici schválil Evropský parlament.  Pokud někdo porušuje autorská práva, má být podle nás postihnut podle platné legislativy, ale není přece možné, aby o vině či nevině rozhodoval nějaký stroj! To by příště mohly zavést takový systém i do pouličních kamer a ty by rovnou rozhodovaly o vině a trestu. Děti, které si hrají na vojáky, by pak mohly být odsouzeny za vraždu, protože žádný automat nedokáže přesně rozlišit realitu. Algoritmus není schopen rozeznat nadsázku, parodii… Je to výkonný, ale hloupý stroj.  Navíc se tímto naprosto porušují základní principy civilizovaného práva, které vychází ze zásad presumpce neviny a „in dubio pro reo“, tedy, že pokud jsou pochybnosti, tak hovoří ve prospěch obviněného či obžalovaného. Bude to stát i hromadu peněz, které řada společností na pořízení softwaru jednoduše nebude mít.  Pokud chcete zabránit diktatuře Bruselu, volte prosím ve volbách do Evropského parlamentu 24. a 25. května SPD. Máme silné spojence: Ligu italského ministra vnitra Mattea Salviniho, rakouské FPÖ, kteří jsou v rakouské vládě, Národní sdružení Marine Le Penové a další spojence z frakce Evropa národů a svobody (MENF). Navíc kandidují i jiné strany, které sice nejsou v MENF, ale jsou nám programově blízké – například Orbánův Fidesz, němečtí AfD či Švédští demokraté. Je velká šance, že tentokrát spojené síly evropských vlastenců udělají v Bruselu pěkné zemětřesení!"
0299c0a234375c4296ff5aeab80dbc7b,"@ChovanecAdam @kducsl @MJureka @ODScz @ZahradilJan @Jan_Skopecek @P_Fiala Že jsme na tom v EU stejně s nimi, společně s Orbánem"
02a3dbe1c652361c65aef49a53649eda,"Mít dnes děti je velmi nákladná záležitost. Ekonomové vyčíslili, že za výchovu a výživu od narození do 18 let věku zaplatí rodiče průměrně 1,6 milionu korun! S věkem náklady na výchovu potomka rapidně stoupají. Hnutí SPD výrazně podporuje pracující a slušné rodiny s dětmi a navrhuje výraznou pomoc ve formě radikálního snížení daní či novomanželských půjček. Pokud prosadíme s Vaší pomocí tyto návrhy, tak už se děti mít bát nemusíte. ;-)     Hnutí SPD brání normální svět pro normální lidi a přináší lidem pozitivní řešení jejich problémů. Máme v programu velmi výraznou finanční pomoc pracujícím rodinám s dětmi. Mít děti pro pracující mladé rodiny nesmí být luxusem nebo věcí, která je přivede na pokraj chudoby, jak je tomu bohužel doposud. Naopak mladé rodiny musí cítit plnou podporu našeho státu. Nechceme jít cestou opakovaných navyšování sociálních dávek, které zneužívají nepřizpůsobiví.   Chceme prosadit 40procentní odpočet daně z příjmu fyzických osob pro rodiče s jedním dítětem, odpočet daně z příjmu fyzických osob pro rodiče dvou dětí bude 70 procent a u tří a více dětí bude 100 procent daně z příjmu fyzických osob. Tyto zásadní odpočty daní budou platné po celou dobu výchovy a přípravy dětí na budoucí povolání, nejdéle do věku 26 let dítěte.   Mladým rodinám chceme nabídnout bezúročné novomanželské půjčky do výše 300 tisíc korun s dobou splatnosti 15 let. Podmínkou je trvalé zaměstnání jednoho z manželů. Při narození třetího dítěte rodina ukončí splácení a dostane zpět splacenou částku při dovršení 18 let prvního dítěte. Odmítáme ale sociální podporu nepřizpůsobivých práceschopných rodičů, kteří dlouhodobě nepracují, nemají čistý trestní rejstřík a tolerují neomluvené hodiny svých dětí v rámci školní docházky.   I v praxi se ukazuje se, že například prorodinná státní politika Viktora Orbána přináší dlouhodobé výsledky. V Maďarsku za posledních osm let klesl počet potratů o třetinu, počet rozvodů o 22 procent a počet uzavíraných manželství se zvýšil o 43 procent. A v minulém roce se narodilo nejvíce dětí za posledních 20 let. Podobnou cestou finanční podpory rodin chce jít i hnutí SPD. Maďarsko dnes vyhrazuje na podporu rodin 5 procent hrubého domácího produktu, což je dvakrát tolik co v roce 2010.   Podle ekonoma Lukáše Kovandy se rodiče musí po narození potomka připravit na to, že než dosáhne jejich dítě 18 let, vyjde je výchova na více než 1,5 milionu.   Podle údajů, které poskytl Kovanda, jsou největším nákladem u dětí do 3 let pleny a potraviny. Celkem vyjde výchova a výživa na 3 330 korun měsíčně. U dětí ve věku od 3 do 5 let je velkým nákladem školka (1 300 Kč), potraviny vyjdou na dvojnásobek toho, co u menších dětí (2 200 Kč) – za jeden měsíc. U žáků prvního stupně stoupají náklady na jídlo (2 700 Kč), rodiče musí počítat také s tím, že se v nákladech objeví školní pomůcky. Celková částka, na kterou dítě vyjde, už výrazně přesahuje 6 tisíc korun měsíčně. A náklady dál porostou. Na druhém stupni přesahují už 10 tisíc měsíčně. A na střední škole a na vysoké už jsou náklady už astronomické – podle ekonomů až 15 tisíc měsíčně.   To jsou ovšem ekonomické výpočty a statistická data. Víme, že realita může být mnohdy složitější. Napište nám, jaké jsou Vaše osobní zkušenosti... Hnutí SPD podporuje pracující a slušné rodiny s dětmi, naši budoucnost.   Současný demografický pokles počtu narozených dětí představuje zásadní hrozbu pro udržitelnost průběžného prvního pilíře důchodového systému a za současného stavu české vlády nabízejí řešení buď ve formě zvýšení daní nebo odvodů, zvýšení věku pro odchod do důchod či příchodem imigrantů. Všechna tato „řešení“ my naprosto odmítáme. Myslíme si, že se vyplatí investovat do českých pracujících rodin než do imigrantů. Rodina je základ státu a je potřeba obnovit i její ekonomickou funkci, kterou měla v minulosti. Bez toho jako národ zanikneme a ekonomicky zkrachujeme."
02a4703c4a3e4a5ee2e6dd38258fbe28,"Americký prezident Trump řekl, že Evropa kvůli imigraci přichází o svou kulturu. Má pravdu.A během telefonního rozhovoru s maďarským premiérem Orbánem pochválil maďarský národ za ochranu před imigrací.Ano, nesmíme dopustit, abychom dopadli stejně jako islamizovaná Západní Evropa. https://t.co/smFY2swNnq"
03FBA9A21F51181CB2F084A560F55016,"Maďarský premiér Viktor Orbán řekl, že nevládní organizace, které pracují na „zaplavení Evropy imigranty“ jsou „nepřáteli Evropy“. Informoval o tom The Hungary Journal. S tím naprosto souhlasíme a i my sami podobně jako Orbán jsme tento týden předložili zákon, kterým si posvítíme na politické neziskovky. ;-)   Politické neziskovky mnohdy fungují jako pašeráci nelegálů – často je nalodí blízko libyjských břehů a pak je dováží do Itálie.    V Orbánově Maďarsku byla vloni v červnu přijata právní úprava označovaná jako  stop Soros , která  umožní postihovat nevládní organizace, které pomáhají migrantům bez práva na azyl. Zákon mimo jiné uvaluje zvláštní 25procentní daň na organizace, které podporují migraci.   Izraelské ministerstvo strategických záležitostí zase zveřejnilo v únoru černou listinu dvaceti neziskových organizací podporujících Palestinu. Členům, zaměstnancům i aktivistům spojených s jejich akcemi bude odepřen vstup do země. Izraelské nevládní organizace, které z více než poloviny financuje zahraniční politická entita (cizí stát či například Evropská unie) musí tuto skutečnost uvádět ve všech svých publikacích či dopisech adresovaných voleným představitelům nebo úředníkům. Navíc je na webu registrátora nevládních organizací uveden seznam organizací, které jsou takto financovány, a zemí, odkud peníze dostávají. Zákon platí od léta 2016.   Poslanci SPD nedávno navrhli zákon, aby neziskové organizace směly dostávat peníze ze zahraničí výhradně bezhotovostně. Částky převyšující 5000 eur (zhruba 127 500 korun) by musely vést na zvláštním účtu, který umožňuje veřejnou kontrolu (Toto opatření se netýká členských příspěvků.). Byl by tak zřejmý dárce peněz. Cílem tohoto návrhu je, aby všechny příjmy nad tuto částku musely být vedeny na transparentních účtech. Politické neziskové organizace nyní mohou dostávat peníze ze zahraničí, aniž je jasné, kdo je poskytl, přitom jejich činnost se často dotýká společenských a občanských zájmů, které sleduje Česká republika. Je tedy legitimní, aby veřejnost znala původ prostředků, které organizace získávají od zahraničních dárců.   Úprava primárně nesměřuje na zájmové organizace, které jsou založeny výhradně na členském principu a které jsou v českém neziskovém sektoru nejpočetnější (např. myslivecká jednota, Sokol, zájmoví sběratelé a další), z nichž některé mohou mít také zahraniční členy. Hnutí SPD podporuje neziskové organizace, které pomáhají našim potřebným lidem, ale dlouhodobě vyzýváme k ukončení dotování takzvaných „politických neziskovek  z veřejných peněz, a zejména těch, které jsou napojeny na finančníka a neomarxistického globalistu George Sorose.   Měli bychom se přinejmenším pokusit zamezit tomu, aby politické sluníčkářské neziskovky financoval český stát. Dále by mělo být transparentní, odkud dostávají finance. Ale za úvahu stojí, že bychom po vzoru Izraele takovým politickým neziskovkám, které očividně rozvrací suverenitu a demokracii českého státu a rozvracejí českou společnost, zakázali působit na území ČR. ;-)"
