Entity,Community
Babiš,0
Okamura,2
Zeman,0
Hamáček,0
Sobotka,0
Fiala_p,9
Kalousek,0
Schillerová,0
Salvini,4
Putin,0
Merkelová,4
Trump,0
Orbán,4
Le Pen,4
Fiala,2
Maláčová,0
Havel,0
Klaus,0
Havlíček,0
Vojtěch,0
Bělobrádek,0
Macron,4
Masaryk,0
Soros,4
Petříček,0
Bartoš,0
Jourová,0
David,6
Juncker,4
Hitler,2
Moravec,0
Blatný,0
Wilderse,4
von der Leyen,4
Pekarová Adamová,9
Schwarzenberg,0
Toman,0
Johnson,0
Staněk,0
Gott,0
Hřib,0
Rakušan,9
Foldyna,4
Dostál,0
Vystrčil,0
Fiala_r,2
Volný,2
Prymula,0
Benešová,0
Ťok,0
Dvořák,0
Faltýnek,0
Brabec,0
Koněv,9
Šafránková,2
Bakala,0
Filip,0
SVOBODA,10
Erdogan,0
Jurečka,9
Šojdrová,10
Zaorálek,0
Biden,0
Gazdík,9
Polčák,10
Plaga,0
Němcová,0
Novák,6
Hrnčíř,6
Zdechovský,10
Feri,0
Ondráček,0
Pospíšil,10
Vondráček,0
Jakl,6
Michálek,11
Nos,6
Křeček,6
Mynář,0
Stanjura,9
Kreml,0
Farský,9
Novotný,6
Stalin,2
Kovanda,0
Duka,2
Blaško,6
Šmarda,0
Veselý,0
Metnar,0
Rakoušan,9
Makron,4
Timmermans,4
Nováková,0
Herman,0
Doležal,6
Charanzová,10
Ovčáček,0
Klaus ml.,0
Čižinský,0
Niedermayer,10
Stropnický,0
Dlabajová,10
kurz,4
Poche,10
Černochová,9
Pelikán,0
Topolánek,0
Konečný,10
Obama,0
Kobza,2
Ježek,10
Holík,2
Thunberg,0
Kalouskův,0
Nečas,0
Válková,0
Chovanec,0
Šlachta,4
Arenberger,0
Paroubek,0
Hahnova,6
Štětina,10
Nacher,0
Kovář,0
Teličko,10
Sehnalová,10
Szijjártó,0
Hyťhová,0
Dienstbier,0
Brežněv,0
Adam,9
Vícha,2
Morawiecki,4
Diallo,4
Šlechtová,0
Lipavský,9
Clinton,0
Sáňka,1
Špidla,0
Chytra,2
Hašek,0
Minář,0
Šaroch,0
Veleba,2
Šabatová,0
Kněžínek,0
Ferjenčík,0
Benešovou,0
Gross,0
Bakalář,0
Šmardou,0
Verhofstadt,0
Soukup,2
Beneš,0
Wilder,4
Kolář,9
Maříková,0
Brichta,2
Horák,6
Bárta,2
Paul,6
Dopita,6
Gottwald,2
Atkinson,2
Henner,6
Schmeidler,6
Wollner,9
Běrský,6
Bašta,2
Pošarová,6
Lukeš,6
Vašíček,6
Čermák,6
Fridrich,0
Schubert,6
Pupava,6
Dickfeld,6
Mitterwald,6
Vostenak,6
Danna,2
Vyskočit,2
Kubera,0
Čaputová,0
Fischer,0
Drahoš,0
Rychetský,0
Krejčíř,9
Jágr,0
Koudelku,0
Zemanovy,0
Johansson,4
Pokorný,0
Chvojka,0
Tabery,0
Taber,0
Valachová,0
Grosse,0
Výborný,0
Redl,6
Válek,9
Hlubuček,9
Síkela,9
Bek,9
Janeček,9
Černoch,9
Válka,9
Michalik,9
Vondrák,9
Štěpán,9
Rath,0
Dzurilla,0
Šmíd,0
Jedlička,4
Palacký,4
Jandejsek,4
Hannan,4
Piketty,4
Conte,4
Matteo,4
Asad,0
Marx,2
Michel,4
Lenin,2
Floyd,0
Clintonová,0
Pellegrini,4
Matovič,4
Hofer,4
Marksová,0
Klausovi,0
Hnilička,0
Rašín,0
Švehla,0
Šlerka,4
Kupka,0
Šípový,0
Krpálek,6
Švarc,6
Zahradníček,6
Kocman,6
Kula,6
Lipovský,0
Semínko,2
Czernin,9
Farage,0
Corbyn,0
Gottovi,0
Rozvoral,2
Bojko,2
Španěl,2
Poc,10
Keller,10
Kohlíček,10
Bartošek,9
Zahradil,10
Vondra,10
Tošenovský,10
Ženíšek,10
Peksa,11
Němec,11
Kraus,11
Šabatový,6
Novotného,6
Heydrich,3
Kubiš,3
Gabčík,3
Matocha,0
Weber,4
Scheinherr,5
Hlaváček,5
Konečná,10
Gregorová,11
Husa,7
Hus,7
Shehadeh,1
Lhoťan,1
Alrawi,1
Hrubý,3
Bublík,3
Valčík,3
Jermanová,8
Pokorná,8
