n-gram,frekvence
mld kč,663
více než,264
příští rok,215
miliard korun,172
státního rozpočtu,162
české republiky,161
kompenzační bonus,134
miliardy korun,106
finanční správa,99
česká republika,91
milionů korun,88
ministerstva financí,85
finanční úřad,84
daňový balíček,80
paušální daň,77
tisíc korun,77
právě teď,77
veřejných financí,75
státním rozpočtu,72
správa čr,72
státní rozpočet,68
české republice,65
rozpočtu rok,61
novelu zákona,61
naší zemi,61
více peněz,60
veřejné finance,59
ministerstvo financí,56
ministryně financí,55
500 kč,52
000 kč,52
příštím roce,51
naše země,48
snížení dph,48
celní správa,48
stravenkový paušál,48
minulý týden,46
roce 2021,46
boji proti,46
státní dluhopisy,45
roce 2020,45
rozpočtu příští,45
naší země,45
dobrá zpráva,44
kompenzačního bonusu,43
novela zákona,42
zemí eu,42
bonusové období,42
jednání vlády,41
životní úrovně,41
daně příjmů,41
kč měsíčně,40
online finanční,40
daňovým únikům,40
české ekonomiky,39
nouzového stavu,39
pan prezident,39
rok 2019,38
kč více,38
životní úroveň,38
rok 2020,37
nový týden,37
zákona státním,37
díky kterému,36
naší vlády,36
ministrů financí,36
příspěvek stravování,36
letošního roku,36
ministerstvu financí,36
čau lidi,35
daňové přiznání,35
správa české,35
vědu výzkum,35
konce roku,34
velkou radost,34
víc než,34
děkuji všem,34
letošním roce,34
kč denně,33
státní správě,33
úřad zastupování,33
zastupování státu,33
státu věcech,33
věcech majetkových,33
majetkových úzsvm,33
skvělá zpráva,33
ministrem financí,33
naše vláda,32
příštího roku,32
loňském roce,32
naší ekonomiky,32
výběru daní,31
roce 2018,31
celní správy,31
dluhopis republiky,31
mimo jiné,31
finanční správy,30
naši zemi,30
proti daňovým,30
díky němu,30
finanční správa čr,71
rozpočtu příští rok,45
online finanční úřad,38
zákona státním rozpočtu,37
celní správa české,35
správa české republiky,35
úřad zastupování státu,33
zastupování státu věcech,33
státu věcech majetkových,33
věcech majetkových úzsvm,33
proti daňovým únikům,28
mld kč více,26
zamezení dvojímu zdanění,26
státního rozpočtu rok,25
výši mld kč,24
zrušení daně nabytí,23
den otevřených dveří,22
zrušení superhrubé mzdy,21
rozpočet příští rok,21
nový kompenzační bonus,20
1 mld kč,19
programové prohlášení vlády,19
vládní rozpočtové rezervy,19
elektronické evidence tržeb,18
naše veřejné finance,18
státního rozpočtu příští,18
mld kč navíc,17
podání daňového přiznání,17
kolegové úřad zastupování,17
plníme programové prohlášení,17
návrh státního rozpočtu,17
dph vodné stočné,17
praní špinavých peněz,17
500 kč denně,16
státním rozpočtu rok,16
otázky václava moravce,16
2 mld kč,16
podepsala rozpočtové opatření,16
1 000 korun,16
zamezení dvojího zdanění,15
jednání ministrů financí,15
boj daňovými úniky,15
národní plán obnovy,14
online finančního úřadu,14
nabytí nemovitých věcí,14
této nelehké době,14
nepotřebného státního majetku,14
prominutí dph respirátory,13
hotelů restaurací čr,13
prioritou naší vlády,13
jednání rady ecofin,13
mld kč mld,13
3 mld kč,13
vláda právě schválila,13
další milion zaměstnanců,13
dílny ministerstva financí,13
národního plánu obnovy,12
40 mld kč,12
mld kč roce,12
financování sociálních služeb,12
dluhopisy mld kč,12
novelu zákona státním,12
novela zákona státním,12
asociace hotelů restaurací,12
přináší rekordní investice,12
proti praní špinavých,12
silnic ii iii,11
místo barevných papírků,11
kompenzační bonus osvč,11
zákona evidenci tržeb,11
státní rozpočet rok,11
daňově zvýhodněné stravování,11
rozpočtu rok 2019,11
čtvrtletí letošního roku,11
2 miliony korun,11
20 mld kč,11
kč více než,11
rozpočtové opatření kterým,11
000 korun denně,11
rozpočtu letošní rok,11
přebytku mld kč,11
500 korun denně,11
mld kč meziročně,10
narovnání podnikatelského prostředí,10
uplatnění daňové ztráty,10
zákona kompenzačním bonusu,10
více než 40,10
společníky malých eseróček,10
příjmů právnických osob,10
průměrný starobní důchod,10
státní rozpočet příští,10
kč mld kč,10
nejméně zadluženou zemí,10
paušální daň živnostníky,10
programu covid iii,10
daně nabytí nemovitostí,10
našich veřejných financí,10
1 milionu korun,10
45 tisíc korun,10
rozpočtu rok 2020,10
celní správa české republiky,35
úřad zastupování státu věcech,33
zastupování státu věcech majetkových,33
státu věcech majetkových úzsvm,33
státního rozpočtu příští rok,18
kolegové úřad zastupování státu,17
plníme programové prohlášení vlády,17
novelu zákona státním rozpočtu,12
novela zákona státním rozpočtu,12
proti praní špinavých peněz,12
zákona státním rozpočtu rok,11
podepsala rozpočtové opatření kterým,11
1 000 korun denně,11
státní rozpočet příští rok,10
příspěvek stravování rovnou penězích,10
asociace hotelů restaurací čr,10
mld kč mld kč,9
zrušení daně nabytí nemovitostí,9
daně nabytí nemovitých věcí,9
státním rozpočtu příští rok,9
líto mého vyjádření použita,9
mého vyjádření použita jedna,9
vyjádření použita jedna část,9
použita jedna část podstatné,9
jedna část podstatné chybí,9
část podstatné chybí zdůrazňovala,9
podstatné chybí zdůrazňovala finanční,9
chybí zdůrazňovala finanční úřad,9
zdůrazňovala finanční úřad tohoto,9
finanční úřad tohoto zákonného,9
úřad tohoto zákonného postupu,9
tohoto zákonného postupu využívat,9
zákonného postupu využívat pouze,9
postupu využívat pouze oprávněných,9
využívat pouze oprávněných závažných,9
pouze oprávněných závažných případech,9
oprávněných závažných případech musí,9
závažných případech musí věnovat,9
případech musí věnovat dostatečnou,9
musí věnovat dostatečnou pozornost,9
věnovat dostatečnou pozornost vysvětlování,9
dostatečnou pozornost vysvětlování svých,9
pozornost vysvětlování svých kroků,9
asociace českého tradičního obchodu,9
silnic ii iii tříd,8
