n-gram,frekvence
právě teď,843
víc než,259
čau lidi,253
české republiky,236
mld kč,222
příští rok,184
jednání vlády,163
milionů korun,159
miliard korun,158
ráno všem,138
česká republika,136
naší země,133
tenhle týden,133
alena schillerová,126
krásné ráno,124
evropské rady,124
jedna fotka,118
evropské unie,114
více než,113
naše vláda,110
české republice,100
tisková konference,93
podle mě,92
miliardy korun,89
konce roku,87
hnutí ano,86
koukněte video,85
životního prostředí,82
pan prezident,81
naši zemi,78
evropské komise,78
naše země,76
karel havlíček,75
naší zemi,71
budu rád,67
ministr financí,67
díky všem,66
tisíc lidí,66
vláda schválila,64
nouzového stavu,63
výsledky jednání,62
českou republiku,61
boji proti,60
roce 2021,59
průmyslu obchodu,59
stavební zákon,58
novelu zákona,55
bychom měli,55
státního rozpočtu,54
evropské radě,54
richard brabec,53
10 procent,53
dva roky,52
děkuju všem,51
tady máte,51
čtyři roky,50
krásný den,50
minulý týden,50
silnic dálnic,49
adam vojtěch,49
mimo jiné,49
minulý rok,48
konference plánu,47
boje proti,47
ministerstvo financí,47
příští týden,46
dobrá zpráva,46
pana prezidenta,46
mnohem víc,46
místní rozvoj,46
výzkum vývoj,46
chtěl bych,46
víc peněz,45
20 let,45
fakultní nemocnice,44
pojď mě,44
den všem,44
celou dobu,44
úřad vlády,44
brusel právě,44
průměrný plat,44
klára dostálová,43
30 let,43
zdravím všechny,42
evropská komise,42
dva dny,41
100 let,41
kompenzační bonus,41
příštího roku,40
jan blatný,39
naší vlády,39
české firmy,39
nový stavební,39
5 let,39
miliard euro,39
boj proti,39
čem sním,39
korun měsíčně,39
celý den,39
investiční plán,38
krásné ráno všem,119
výsledky jednání vlády,61
tisková konference plánu,47
brusel právě teď,44
krásný den všem,42
nový stavební zákon,38
čem sním náhodou,37
sním náhodou spím,36
výzkum vývoj inovace,35
ředitelství silnic dálnic,33
národní investiční plán,31
právě teď krásný,31
aplikaci pojď mě,28
jednání evropské rady,28
prodloužení nouzového stavu,27
práce sociálních věcí,27
krásný večer všem,27
knížku čem sním,25
právě teď krásné,24
zasedání evropské rady,21
kramářova vila právě,20
vila právě teď,20
teď krásné ráno,20
vlády zdravotní rizika,20
čau lidi dneska,20
ursulou von der,20
von der leyen,19
ministerstvo životního prostředí,19
strakovka právě teď,18
rady výzkum vývoj,18
předsedou evropské rady,17
teď krásný den,17
bezpečnostní rada státu,17
úřad vlády právě,17
vlády právě teď,17
ministerstvo místní rozvoj,17
předsedkyní evropské komise,17
palác právě teď,16
online finanční úřad,16
tisková konference čeká,16
bezpečnostní rady státu,16
dph točené pivo,16
proti šíření koronaviru,16
právě teď předsedou,15
dobrou noc všem,15
klesl průměrný plat,15
osob zdravotním postižením,15
nového stavebního zákona,14
miliard korun navíc,14
zdravotnictví adam vojtěch,14
vláda dnes schválila,14
nejvyššího kontrolního úřadu,14
financí alena schillerová,14
zrušení superhrubé mzdy,14
bezpečnostní radu státu,14
karla got ta,14
ministr průmyslu obchodu,14
ministr zdravotnictví adam,13
boje proti korupci,13
ministryně financí alena,13
rada vlády zdravotní,13
mimořádného jednání vlády,13
armáda české republiky,13
komise ursulou von,13
jednání vlády října,13
ministerstva životního prostředí,13
kbely právě teď,12
státních hmotných rezerv,12
národním investičním plánu,12
den otevřených dveří,12
předpokládaná hodnota zakázky,12
video alena schillerová,12
polským premiérem mateuszem,12
postaví první linie,12
první linie boje,12
linie boje proti,12
proti korupci totiž,12
korupci totiž podporovat,12
totiž podporovat rozšíření,12
podporovat rozšíření pravomocí,12
rozšíření pravomocí nejvyššího,12
pravomocí nejvyššího kontrolního,12
kontrolního úřadu splní,12
úřadu splní závazek,12
splní závazek rekonstrukce,12
závazek rekonstrukce státu,12
asociace hotelů restaurací,12
strakově akademii zasedla,12
víc než roce,12
miliard víc než,12
ministrem životního prostředí,12
republiky právě teď,12
akademie věd české,12
věd české republiky,12
evropské komise ursulou,12
malých středních podniků,12
zákona státním rozpočtu,11
víceletý finanční rámec,11
přes aplikaci pojď,11
naše bezpečnost samozřejmost,11
čem sním náhodou spím,36
knížku čem sním náhodou,23
kramářova vila právě teď,20
teď krásné ráno všem,20
právě teď krásné ráno,19
právě teď krásný den,17
teď krásný den všem,17
úřad vlády právě teď,17
rady výzkum vývoj inovace,16
ministr zdravotnictví adam vojtěch,13
ministryně financí alena schillerová,13
rada vlády zdravotní rizika,13
komise ursulou von der,13
ursulou von der leyen,13
výsledky jednání vlády října,13
postaví první linie boje,12
první linie boje proti,12
linie boje proti korupci,12
boje proti korupci totiž,12
proti korupci totiž podporovat,12
korupci totiž podporovat rozšíření,12
totiž podporovat rozšíření pravomocí,12
podporovat rozšíření pravomocí nejvyššího,12
rozšíření pravomocí nejvyššího kontrolního,12
pravomocí nejvyššího kontrolního úřadu,12
nejvyššího kontrolního úřadu splní,12
kontrolního úřadu splní závazek,12
úřadu splní závazek rekonstrukce,12
splní závazek rekonstrukce státu,12
akademie věd české republiky,12
evropské komise ursulou von,12
přes aplikaci pojď mě,11
svou knížku čem sním,11
senátu postaví první linie,11
evropské rady charlesem michelem,11
předsedkyní evropské komise ursulou,11
zastupování státu věcech majetkových,10
strakově akademii zasedla vláda,10
životního prostředí richard brabec,10
předsedou evropské rady charlesem,10
jednání vlády října 2020,10
americkým velvyslancem stephenem kingem,9
adam vojtěch alena schillerová,9
ministerstvo zdravotnictví české republiky,9
německou kancléřkou angelou merkelovou,9
polským premiérem mateuszem morawieckim,9
právě teď krásný večer,9
teď krásný večer všem,9
klesl průměrný plat skoro,9
korun my jim zvýšili,9
my jim zvýšili korun,9
výsledky jednání vlády listopadu,9
české republiky právě teď,9
vládní rady výzkum vývoj,9
alena schillerová robert plaga,8
hrzánský palác právě teď,8
alena schillerová chce říct,8
ministrem průmyslu obchodu karlem,8
průmyslu obchodu karlem havlíčkem,8
ministerstvo práce sociálních věcí,8
ministr životního prostředí richard,8
vlády zdravotní rizika právě,8
zdravotní rizika právě teď,8
výsledky mimořádného jednání vlády,8
jednání vlády března 2021,8
znám velice dobře vážím,8
ministr dopravy vladimír kremlík,8
asociace malých středních podniků,8
malých středních podniků živnostníků,8
proti ústavu paměti národa,8
více než mld kč,7
doražte dneska poprvé dějinách,7
dneska poprvé dějinách naší,7
poprvé dějinách naší země,7
dějinách naší země můžete,7
naší země můžete hnát,7
země můžete hnát vejš,7
můžete hnát vejš doopravdy,7
hnát vejš doopravdy posíláním,7
vejš doopravdy posíláním dopisů,7
doopravdy posíláním dopisů stížností,7
posíláním dopisů stížností přímo,7
dopisů stížností přímo očí,7
stížností přímo očí očí,7
přímo očí očí ministry,7
očí očí ministry premiérem,7
dostanete slovo pódiu budeme,7
slovo pódiu budeme my,7
pódiu budeme my tvoříme,7
budeme my tvoříme vládu,7
my tvoříme vládu české,7
tvoříme vládu české republiky,7
vládu české republiky kromě,7
české republiky kromě mě,7
republiky kromě mě richard,7
kromě mě richard brabec,7
mě richard brabec jaroslava,7
richard brabec jaroslava němcová,7
brabec jaroslava němcová klára,7
jaroslava němcová klára dostálová,7
knížku čem sním náhodou spím,22
právě teď krásné ráno všem,19
právě teď krásný den všem,17
postaví první linie boje proti,12
první linie boje proti korupci,12
linie boje proti korupci totiž,12
boje proti korupci totiž podporovat,12
proti korupci totiž podporovat rozšíření,12
korupci totiž podporovat rozšíření pravomocí,12
totiž podporovat rozšíření pravomocí nejvyššího,12
podporovat rozšíření pravomocí nejvyššího kontrolního,12
rozšíření pravomocí nejvyššího kontrolního úřadu,12
pravomocí nejvyššího kontrolního úřadu splní,12
