n-gram,frekvence
spd,343
hnutí,251
eu,179
parlamentu,124
evropské,119
imigraci,111
podle,107
proti,107
května,107
či,104
unie,102
evropského,100
prosím,93
české,89
naše,82
volte,73
evropy,73
ano,72
další,69
čssd,69
volbách,67
bruselu,64
země,64
my,61
česká,59
nechcete,59
jeho,58
také,55
korun,54
vláda,54
jan,52
republika,51
evropská,51
lidé,50
tedy,50
evropě,50
zemi,50
více,49
podporuje,49
společně,47
již,46
než,46
babiš,46
místě,45
musí,45
islámu,45
mají,45
říká,45
přijďte,44
chcete,44
své,44
naší,44
roce,43
sluníčkáři,42
čr,42
jejich,42
vnitra,41
naši,41
kvůli,40
stejně,40
hrnčíř,39
miliard,39
navíc,39
vy,38
mezi,38
zde,38
chce,37
západní,37
imigranty,37
let,37
dnes,36
imigrace,36
evropu,36
státu,36
roku,36
masové,36
unii,36
myslíte,35
poslanec,35
lidí,35
hnutí spd,223
evropského parlamentu,97
volbách evropského,62
volte prosím,57
evropské unie,54
česká republika,48
evropská unie,41
prosím května,39
jan hrnčíř,37
republika místě,35
května hnutí,34
prosím hnutí,26
české republice,26
evropské unii,25
miliard korun,23
české republiky,23
evropském parlamentu,22
marine le,22
matteo salvini,22
parlamentu května,22
myslíte vy,21
naše země,21
spd volbách,21
nechcete vládli,21
eu imigraci,20
le pen,20
ministr vnitra,20
společně dalšími,19
masovou imigraci,17
ano čssd,17
top 09,17
imigraci islamizaci,16
dalšími vlasteneckými,16
naši zemi,16
diktátu evropské,15
islámského státu,15
referendem eu,15
evropský parlament,15
poslanec spd,14
masové imigraci,14
diktát bruselu,14
spd podporuje,14
evropské komise,13
přijďte května,12
května říct,12
říct volbách,12
parlamentu jasné,12
jasné diktátu,12
unie imigraci,12
poslanec jan,12
babišova vláda,12
vnitra matteo,12
hnutí ano,12
tisíc korun,11
spd jan,11
parlamentu řekneme,11
řekneme jasné,11
masové imigrace,11
volby referendem,11
volbám evropského,11
národních států,11
více než,11
západní evropě,11
západní evropy,11
italský ministr,11
přijďte volbám,11
české televize,11
chcete naše,10
