n-gram,frekvence
2,68
dnes,50
jeho,43
praha,39
jejich,33
prahy,32
tady,28
ano,27
také,27
ods,26
let,26
nikdy,26
mě,25
díky,25
obranu,24
další,24
více,23
proti,23
teď,23
čr,22
ministr,22
obrany,22
ráda,21
vy,21
než,20
vlády,20
pan,20
již,20
takže,20
bych,19
návrh,19
fakt,18
den,18
možná,18
zbraní,18
stejně,17
naší,17
české,17
této,17
velmi,17
naše,17
armáda,16
právě,16
či,16
bohužel,16
praze,16
můžete,16
děkuji,16
olova,16
tedy,16
podle,16
své,16
eu,15
výboru,15
měla,15
budu,15
přesně,14
nato,14
rok,14
snad,14
opravdu,14
dobře,14
třeba,14
dvojce,14
vůbec,14
mu,13
vlastně,13
tato,13
včera,13
republiky,13
výročí,13
prosím,12
chce,12
rozpočtu,12
usnesení,12
zde,12
izraele,12
jestli,12
dost,12
ministra,12
praha 2,26
prahy 2,17
české republiky,12
2 hdp,11
olova střelivu,9
výdajů obranu,8
střelivu rybářském,8
in memoriam,8
výboru obranu,8
obranu výši,7
výši 2,7
mč praha,7
nadační fond,7
poslaneckého klubu,7
rybářském olůvku,7
pan ministr,6
poslanecké sněmovny,6
karlově náměstí,5
poslanecká sněmovna,5
uzákonění výdajů,5
ministr obrany,5
zákazu olova,5
čest jejich,5
jejich památce,5
štábní praporčík,5
praporčík in,5
můžete zhlédnout,5
držení zbraní,5
pan premiér,5
poslanecký klub,4
klub ods,4
nikdy nezapomeneme,4
palných zbraní,4
2 dnes,4
návrh uzákonění,4
česká republika,4
mém dnešním,4
dnešním blogu,4
příští rok,4
jejich službu,4
klubu ods,4
praze 2,4
evropské komise,4
ods dnes,3
znepokojení vzrůstajícími,3
vzrůstajícími tendencemi,3
tendencemi projevů,3
projevů antisemitismu,3
vyzval vládu,3
mezinárodním poli,3
zamítla návrh,3
hnutí ano,3
záštitou starostky,3
starostky prahy,3
směrnice zbraních,3
zásadu proporcionality,3
věděl schválil,3
více než,3
dobrou noc,3
strategických zásob,3
předkládáme návrh,3
našich občanů,3
fond solidarity,3
dnes připomínáme,3
blog téma,3
každém rozpočtu,3
tomto ohledu,3
dobrá práce,3
zastupujícího říšského,3
říšského protektora,3
předsedkyně výboru,3
ministerstva obrany,3
českých vinařů,3
nečinně přihlížet,3
20 let,3
severoatlantické aliance,3
naší armády,3
tomto případě,3
vy budete,3
máte pravdu,3
olova střelivu rybářském,8
výdajů obranu výši,7
výši 2 hdp,7
mč praha 2,7
obranu výši 2,6
střelivu rybářském olůvku,6
čest jejich památce,5
štábní praporčík in,5
praporčík in memoriam,5
poslanecký klub ods,4
návrh uzákonění výdajů,4
uzákonění výdajů obranu,4
mém dnešním blogu,4
zákazu olova střelivu,4
poslaneckého klubu ods,4
klub ods dnes,3
znepokojení vzrůstajícími tendencemi,3
vzrůstajícími tendencemi projevů,3
tendencemi projevů antisemitismu,3
záštitou starostky prahy,3
starostky prahy 2,3
praha 2 dnes,3
zastupujícího říšského protektora,3
předsedkyně výboru obranu,3
napříč politickým spektrem,3
legálního držení zbraní,3
y ý á,3
ods dnes přijal,2
dnes přijal mnou,2
přijal mnou navržené,2
mnou navržené usnesení,2
navržené usnesení kterém,2
usnesení kterém vyjádřil,2
kterém vyjádřil znepokojení,2
vyjádřil znepokojení vzrůstajícími,2
vyzval vládu mezinárodním,2
vládu mezinárodním poli,2
mezinárodním poli aktivně,2
poli aktivně stavěla,2
aktivně stavěla proti,2
stavěla proti všem,2
proti všem protiizraelským,2
všem protiizraelským projevům,2
zamítla návrh projednání,2
přesunu ambasád zemí,2
ambasád zemí v4,2
hnutí ano nichž,2
ano nichž mnozí,2
nichž mnozí členy,2
skupiny přátel izraele,2
přátel izraele mne,2
izraele mne zcela,2
mne zcela nepochopitelná,2
zcela nepochopitelná pokrytecká,2
bojové vozidlo pěchoty,2
akce koná záštitou,2
koná záštitou starostky,2
oháníte venezuelou píšete,2
venezuelou píšete kolik,2
píšete kolik palných,2
kolik palných zbraní,2
palných zbraní nenapíšete,2
zbraní nenapíšete nelegální,2
nenapíšete nelegální dost,2
nelegální dost podstatná,2
dost podstatná informace,2
podstatná informace nemyslíte,2
informace nemyslíte předpokládám,2
nemyslíte předpokládám serióznost,2
předpokládám serióznost diskuse,2
serióznost diskuse budete,2
diskuse budete rozlišovat,2
budete rozlišovat zbraně,2
rozlišovat zbraně legální,2
zbraně legální nelegální,2
zda pan ministr,2
dobrou noc přeji,2
považuji velikou chybu,2
měla bezpečnostní rada,2
bezpečnostní rada státu,2
výdajů obranu výši 2,6
obranu výši 2 hdp,6
olova střelivu rybářském olůvku,6
štábní praporčík in memoriam,5
návrh uzákonění výdajů obranu,4
uzákonění výdajů obranu výši,4
zákazu olova střelivu rybářském,4
poslanecký klub ods dnes,3
znepokojení vzrůstajícími tendencemi projevů,3
vzrůstajícími tendencemi projevů antisemitismu,3
záštitou starostky prahy 2,3
klub ods dnes přijal,2
ods dnes přijal mnou,2
dnes přijal mnou navržené,2
přijal mnou navržené usnesení,2
mnou navržené usnesení kterém,2
navržené usnesení kterém vyjádřil,2
usnesení kterém vyjádřil znepokojení,2
kterém vyjádřil znepokojení vzrůstajícími,2
vyjádřil znepokojení vzrůstajícími tendencemi,2
vyzval vládu mezinárodním poli,2
vládu mezinárodním poli aktivně,2
mezinárodním poli aktivně stavěla,2
poli aktivně stavěla proti,2
aktivně stavěla proti všem,2
stavěla proti všem protiizraelským,2
proti všem protiizraelským projevům,2
přesunu ambasád zemí v4,2
hnutí ano nichž mnozí,2
ano nichž mnozí členy,2
skupiny přátel izraele mne,2
přátel izraele mne zcela,2
izraele mne zcela nepochopitelná,2
mne zcela nepochopitelná pokrytecká,2
akce koná záštitou starostky,2
koná záštitou starostky prahy,2
oháníte venezuelou píšete kolik,2
venezuelou píšete kolik palných,2
píšete kolik palných zbraní,2
kolik palných zbraní nenapíšete,2
palných zbraní nenapíšete nelegální,2
zbraní nenapíšete nelegální dost,2
nenapíšete nelegální dost podstatná,2
nelegální dost podstatná informace,2
dost podstatná informace nemyslíte,2
podstatná informace nemyslíte předpokládám,2
informace nemyslíte předpokládám serióznost,2
nemyslíte předpokládám serióznost diskuse,2
předpokládám serióznost diskuse budete,2
serióznost diskuse budete rozlišovat,2
diskuse budete rozlišovat zbraně,2
budete rozlišovat zbraně legální,2
rozlišovat zbraně legální nelegální,2
měla bezpečnostní rada státu,2
bezpečnostní rada státu jednat,2
rada státu jednat zda,2
státu jednat zda vydrancovány,2
jednat zda vydrancovány kovy,2
zda vydrancovány kovy strategických,2
vydrancovány kovy strategických zásob,2
snad rada odmítne záměr,2
rada odmítne záměr ministra,2
odmítne záměr ministra havlíčka,2
rozporuje armáda cílem totiž,2
armáda cílem totiž jediné,2
cílem totiž jediné zalátat,2
totiž jediné zalátat státní,2
jediné zalátat státní rozpočet,2
zalátat státní rozpočet více,2
státní rozpočet více textu,2
rozpočet více textu mém,2
více textu mém blogu,2
třetice předkládáme návrh uzákonění,2
předkládáme návrh uzákonění výdajů,2
výši 2 hdp česká,2
2 hdp česká republika,2
hdp česká republika závazek,2
česká republika závazek dlouhodobě,2
republika závazek dlouhodobě neplní,2
závazek dlouhodobě neplní suverénní,2
výdajů obranu výši 2 hdp,6
návrh uzákonění výdajů obranu výši,4
uzákonění výdajů obranu výši 2,4
znepokojení vzrůstajícími tendencemi projevů antisemitismu,3
poslanecký klub ods dnes přijal,2
klub ods dnes přijal mnou,2
ods dnes přijal mnou navržené,2
dnes přijal mnou navržené usnesení,2
přijal mnou navržené usnesení kterém,2
mnou navržené usnesení kterém vyjádřil,2
navržené usnesení kterém vyjádřil znepokojení,2
usnesení kterém vyjádřil znepokojení vzrůstajícími,2
kterém vyjádřil znepokojení vzrůstajícími tendencemi,2
vyjádřil znepokojení vzrůstajícími tendencemi projevů,2
vyzval vládu mezinárodním poli aktivně,2
vládu mezinárodním poli aktivně stavěla,2
mezinárodním poli aktivně stavěla proti,2
poli aktivně stavěla proti všem,2
aktivně stavěla proti všem protiizraelským,2
stavěla proti všem protiizraelským projevům,2
hnutí ano nichž mnozí členy,2
skupiny přátel izraele mne zcela,2
přátel izraele mne zcela nepochopitelná,2
izraele mne zcela nepochopitelná pokrytecká,2
akce koná záštitou starostky prahy,2
koná záštitou starostky prahy 2,2
