n-gram,frekvence
neni,97
prostřednictvím,71
uz,45
ta,44
fakt,43
no,42
let,40
jde,40
kdyz,37
dnes,37
cr,34
die,34
spíš,33
důkaz,31
mezi,31
vy,28
než,28
lety,27
zeman,26
snad,25
ma,25
ano,25
světa,24
fakta,24
názor,23
jestli,23
der,23
dost,23
problem,23
prostě,22
proste,22
nejsou,22
problém,22
jeho,22
nez,21
tedy,21
byt,21
mimo,21
tady,21
chce,20
podle,20
neco,20
ti,20
pak,20
30,19
lidi,19
tim,19
vam,19
roce,19
mit,18
jejich,18
roku,18
rok,18
smysl,18
kscm,17
maji,17
chcete,17
ksčm,17
lidí,17
klima,17
vaše,17
spis,17
mne,16
uživatele,16
hlavně,16
socialni,16
nikdo,16
takže,16
treba,16
proc,16
také,16
nemá,15
trochu,15
své,15
hlavne,15
nejde,15
bych,15
rozdil,15
řešení,15
proti,15
prostřednictvím uživatele,16
die linke,11
30 lety,8
30 let,7
obchod strachem,7
konec světa,7
vědecký důkaz,6
konci světa,6
rozdil mezi,6
okupace 68,5
vedecky dukaz,5
koncem světa,5
30 letech,4
got ta,4
názor důkaz,4
socialni spravedlnosti,4
extinction rebellion,4
nemá smysl,4
konci sveta,4
de iure,4
klimatické náboženství,4
rok 1989,4
20 let,4
10 let,4
10 lety,4
tady jde,4
role roa,3
nemá cenu,3
koněvovy sochy,3
důkaz apokalypsy,3
tomto případě,3
státního rozpočtu,3
menší zlo,3
máte pocit,3
4 roky,3
obou stranach,3
no jo,3
nota bene,3
srpen 1968,3
porušení mezinárodního,3
mezinárodního práva,3
mohou byt,3
in thüringen,3
mit der,3
obcanskou valku,3
70 let,3
danovy balicek,3
zcela mimo,3
neni rec,3
rok 2020,3
cesky prumysl,3
víc než,3
strašení koncem,3
jestli vam,3
ma byt,3
některé věci,3
dass er,3
sto lety,3
was er,3
molekuly co2,3
ceskou energetiku,3
vas problem,3
kdyz vam,3
vědeckých důkazech,3
rot rot,3
rot grun,3
für die,3
oddeleni faktu,2
kdyz dane,2
krytí důchodů,2
byste jí,2
vy uz,2
statniho rozpoctu,2
akademická půda,2
konce sveta,2
let zpozdeni,2
svet neni,2
pred 40,2
40 lety,2
muze mit,2
porušení mezinárodního práva,3
strašení koncem světa,3
rot rot grun,3
pred 40 lety,2
uloziste technicky detail,2
durynsky premier ramelow,2
roa pražské povstani,2
johann wolfgang von,2
wolfgang von goethe,2
mimo ramec zakona,2
pred 30 lety,2
kampan neni kampan,2
klimatickeho náboženství neni,2
jeden voze druhý,2
voze druhý koze,2
koalice rot rot,2
nepochopila odpoved nenabízejí,2
odpoved nenabízejí klimatologove,2
nenabízejí klimatologove ktere,2
klimatologove ktere schovava,2
maximalne modeluji mechanismus,2
modeluji mechanismus klimatické,2
mechanismus klimatické změny,2
ramelow die linke,2
der der zu,2
der zu viel,2
vnitro chce zakázat,1
chce zakázat národní,1
zakázat národní domobranu,1
národní domobranu zrazuje,1
domobranu zrazuje vlast,1
zrazuje vlast muslimům,1
vlast muslimům zobe,1
muslimům zobe ruky,1
zobe ruky reaguje,1
ruky reaguje šéf,1
zeman slibem milosti,1
slibem milosti babiše,1
milosti babiše oslabil,1
babiše oslabil udělal,1
oslabil udělal něj,1
udělal něj věčného,1
něj věčného zločince,1
věčného zločince prostřednictvím,1
vic klaun radsi,1
klaun radsi nebudu,1
radsi nebudu prit,1
nebudu prit mne,1
prit mne tyhle,1
mne tyhle bulvarizovane,1
tyhle bulvarizovane klauniady,1
bulvarizovane klauniady nebavi,1
klauniady nebavi mam,1
nebavi mam rad,1
mam rad oddeleni,1
rad oddeleni faktu,1
oddeleni faktu objektivni,1
faktu objektivni role,1
objektivni role roa,1
role roa povstani,1
roa povstani propagandy,1
povstani propagandy podle,1
propagandy podle mne,1
podle mne nevhodny,1
mne nevhodny oslavny,1
nevhodny oslavny pomnik,1
kterým smerem radno,1
smerem radno obchodovat,1
nemá cenu zasekly,1
cenu zasekly gramofon,1
zasekly gramofon logika,1
gramofon logika veskera,1
logika veskera zadna,1
veskera zadna pritom,1
zadna pritom vzah,1
pritom vzah delence,1
vzah delence delitele,1
delence delitele poctarsky,1
delitele poctarsky jasny,1
soutěžit blbostí nebudu,1
johann wolfgang von goethe,2
jeden voze druhý koze,2
koalice rot rot grun,2
nepochopila odpoved nenabízejí klimatologove,2
odpoved nenabízejí klimatologove ktere,2
nenabízejí klimatologove ktere schovava,2
maximalne modeluji mechanismus klimatické,2
modeluji mechanismus klimatické změny,2
der der zu viel,2
vnitro chce zakázat národní,1
chce zakázat národní domobranu,1
zakázat národní domobranu zrazuje,1
národní domobranu zrazuje vlast,1
domobranu zrazuje vlast muslimům,1
zrazuje vlast muslimům zobe,1
vlast muslimům zobe ruky,1
muslimům zobe ruky reaguje,1
zobe ruky reaguje šéf,1
zeman slibem milosti babiše,1
slibem milosti babiše oslabil,1
milosti babiše oslabil udělal,1
babiše oslabil udělal něj,1
oslabil udělal něj věčného,1
udělal něj věčného zločince,1
něj věčného zločince prostřednictvím,1
vic klaun radsi nebudu,1
klaun radsi nebudu prit,1
radsi nebudu prit mne,1
nebudu prit mne tyhle,1
prit mne tyhle bulvarizovane,1
mne tyhle bulvarizovane klauniady,1
tyhle bulvarizovane klauniady nebavi,1
bulvarizovane klauniady nebavi mam,1
klauniady nebavi mam rad,1
nebavi mam rad oddeleni,1
mam rad oddeleni faktu,1
rad oddeleni faktu objektivni,1
oddeleni faktu objektivni role,1
faktu objektivni role roa,1
objektivni role roa povstani,1
role roa povstani propagandy,1
roa povstani propagandy podle,1
povstani propagandy podle mne,1
propagandy podle mne nevhodny,1
podle mne nevhodny oslavny,1
mne nevhodny oslavny pomnik,1
kterým smerem radno obchodovat,1
nemá cenu zasekly gramofon,1
cenu zasekly gramofon logika,1
zasekly gramofon logika veskera,1
gramofon logika veskera zadna,1
logika veskera zadna pritom,1
veskera zadna pritom vzah,1
zadna pritom vzah delence,1
pritom vzah delence delitele,1
vzah delence delitele poctarsky,1
delence delitele poctarsky jasny,1
soutěžit blbostí nebudu 100,1
blbostí nebudu 100 dan,1
nebudu 100 dan instatni,1
100 dan instatni voda,1
dan instatni voda neexixtuje,1
říkám kvota růst kdyz,1
kvota růst kdyz dane,1
růst kdyz dane pocty,1
trochu žebříček kazi vysoka,1
žebříček kazi vysoka neznalost,1
kazi vysoka neznalost rady,1
vysoka neznalost rady jmen,1
neznalost rady jmen napr,1
rady jmen napr rakousky,1
jmen napr rakousky prezident,1
kubera novoročním projevu varoval,1
novoročním projevu varoval omezováním,1
projevu varoval omezováním svobody,1
varoval omezováním svobody sociálními,1
omezováním svobody sociálními sítěmi,1
svobody sociálními sítěmi vondráček,1
sociálními sítěmi vondráček vyzval,1
sítěmi vondráček vyzval toleranci,1
nepochopila odpoved nenabízejí klimatologove ktere,2
odpoved nenabízejí klimatologove ktere schovava,2
maximalne modeluji mechanismus klimatické změny,2
vnitro chce zakázat národní domobranu,1
chce zakázat národní domobranu zrazuje,1
zakázat národní domobranu zrazuje vlast,1
národní domobranu zrazuje vlast muslimům,1
domobranu zrazuje vlast muslimům zobe,1
zrazuje vlast muslimům zobe ruky,1
vlast muslimům zobe ruky reaguje,1
muslimům zobe ruky reaguje šéf,1
zeman slibem milosti babiše oslabil,1
slibem milosti babiše oslabil udělal,1
milosti babiše oslabil udělal něj,1
babiše oslabil udělal něj věčného,1
oslabil udělal něj věčného zločince,1
udělal něj věčného zločince prostřednictvím,1
vic klaun radsi nebudu prit,1
klaun radsi nebudu prit mne,1
radsi nebudu prit mne tyhle,1
nebudu prit mne tyhle bulvarizovane,1
prit mne tyhle bulvarizovane klauniady,1
mne tyhle bulvarizovane klauniady nebavi,1
tyhle bulvarizovane klauniady nebavi mam,1
bulvarizovane klauniady nebavi mam rad,1
klauniady nebavi mam rad oddeleni,1
nebavi mam rad oddeleni faktu,1
mam rad oddeleni faktu objektivni,1
