n-gram,frekvence
velmi,72
dnes,67
opravdu,52
jejich,52
také,52
jeho,50
české,48
lety,47
senátu,47
rád,44
naší,44
mě,42
vzdělávání,41
školství,36
lidí,34
naši,34
stále,34
den,32
let,31
považuji,31
či,28
právě,28
přes,27
jim,26
více,26
zcela,26
zemi,25
měli,23
republiky,23
nejen,23
proti,23
jde,22
můžeme,22
bychom,22
země,22
dobře,22
než,22
bohužel,22
své,21
nikdy,21
komunisté,21
strany,21
všem,20
podle,20
demokracie,20
lidé,19
paní,19
naše,18
českých,18
svoji,18
našich,18
mezi,17
situaci,17
během,17
prezident,17
abychom,17
soudruzi,17
politice,17
roce,17
učitelů,17
stát,17
stejně,16
kterou,16
bych,16
práci,16
letech,16
mají,16
určitě,16
první,15
obětí,15
navíc,15
našeho,15
přeji,15
opět,15
chování,15
čr,15
všech,15
zemí,15
současné,15
věřím,15
miloše zemana,14
velmi rád,14
české republiky,13
miloš zeman,12
naší zemi,11
zdanění církevních,10
církevních restitucí,10
česká republika,10
naší země,9
více než,9
hlavy státu,9
pevně věřím,8
bychom měli,7
našeho vzdělávání,7
evropské komise,7
miloši zemanovi,7
70 lety,7
komunistický režim,6
čest jeho,6
jeho památce,6
zuzana čaputová,6
práci senátu,6
považuji velmi,6
dnes připomínáme,6
václavském náměstí,6
dobře fungující,6
ústavnímu soudu,6
oblasti vzdělávání,6
praze 4,5
někteří politici,5
kybernetickou bezpečnost,5
celou řadu,5
přeji všem,5
andreje babiše,5
tajné služby,5
nesmíme nikdy,5
nikdy zapomenout,5
zcela nepřijatelné,5
první republiky,5
stále více,5
upřímnou soustrast,4
celá řada,4
rád můžeme,4
velmi důležité,4
30 lety,4
velká gratulace,4
připomenout výročí,4
pedagogických fakultách,4
všem hezký,4
české republice,4
pan premiér,4
lety skončil,4
jejich památku,4
některých politiků,4
pevně doufám,4
poslanecké sněmovny,4
protiústavní krok,4
někteří naši,4
naši politici,4
neměli bychom,4
silný zážitek,4
naší historie,4
boji proti,4
evropského parlamentu,4
společně česko,4
více lidí,4
ústavu premiér,4
vyspělých zemí,4
mld kč,4
platů učitelů,4
jasný signál,4
nejen politice,4
těší mě,4
české politiky,4
třicet let,4
svobodu demokracii,4
milošem zemanem,4
otevřeně bavit,4
komunistické strany,4
současné hlavy,4
zdanění církevních restitucí,10
čest jeho památce,6
nesmíme nikdy zapomenout,5
přeji všem hezký,4
někteří naši politici,4
současné hlavy státu,4
nesmírně statečná žena,4
ostravském domově slunečnice,3
předsedy poslanecké sněmovny,3
gratuluji zuzaně čaputové,3
boji proti nacistické,3
proti nacistické tyranii,3
spolku společně česko,3
stále více lidí,3
všech vyspělých zemí,3
navýšení platů učitelů,3
chování hlavy státu,3
žaloba ústavnímu soudu,3
demokracie platilo roce,3
pražského jara ochotně,3
jara ochotně asistovala,3
palce jim vyšla,3
jim vyšla kandidatura,3
petici zachování práv,3
českých občanů oblasti,3
občanů oblasti legálních,3
oblasti legálních zbraní,3
považuji krajně nevhodné,3
třicet let svobody,3
dobrý den například,2
přejeme všem krásný,2
upřímnou soustrast všem,2
debata občany jde,2
občany jde nejlépe,2
jde nejlépe vychlazeného,2
nejlépe vychlazeného piva,2
vychlazeného piva praze,2
piva praze 4,2
praze 4 celá,2
4 celá řada,2
celá řada témat,2
řada témat stojí,2
témat stojí pozornost,2
stojí pozornost rád,2
pozornost rád můžeme,2
rád můžeme společně,2
můžeme společně probrat,2
praxi vede politika,2
vede politika obchodníků,2
politika obchodníků strachem,2
tito obchodníci snaží,2
obchodníci snaží lidech,2
snaží lidech probudit,2
lidech probudit nejhorší,2
probudit nejhorší vlastnosti,2
nejhorší vlastnosti zbaběle,2
vlastnosti zbaběle vyhnuli,2
zbaběle vyhnuli jakékoli,2
vyhnuli jakékoli odpovědnosti,2
jakékoli odpovědnosti pojďme,2
odpovědnosti pojďme jim,2
pojďme jim ukázat,2
jim ukázat taková,2
ukázat taková politika,2
taková politika nemá,2
politika nemá naší,2
nemá naší zemi,2
naší zemi místo,2
sborem canticorum iubilo,2
canticorum iubilo vystoupili,2
dramatické requiem maurice,2
requiem maurice duruflého,2
