n-gram,frekvence
jeho,54
čr,49
vláda,49
dnes,45
babiš,43
zeman,43
babiše,38
eu,35
prezident,35
premiér,35
top,34
měl,33
09,32
andrej,32
premiéra,31
než,31
komise,29
andreje,28
proti,27
čssd,27
vlády,27
teď,26
české,26
další,25
musí,24
opět,24
miloš,24
bohužel,24
právě,23
kvůli,23
ministra,23
rozhodnutí,23
evropské,22
návrh,22
místo,21
ano,21
zájmů,20
zemana,20
stát,20
let,20
praze,19
prezidenta,19
chce,19
zástupce,19
brexitu,19
práva,18
parlamentu,17
zemi,17
dál,17
nemá,17
státní,17
podle,16
pan,16
země,16
třeba,16
státního,16
naší,15
věc,14
nyní,14
daně,14
mezi,14
všem,13
střetu,13
měla,13
6,13
jedná,13
prahy,13
vládě,13
kultury,13
své,13
spravedlnosti,12
miloše,12
svým,12
mě,12
stále,12
řešit,12
demokracii,12
naši,12
kauze,12
strany,12
top 09,31
andrej babiš,30
andreje babiše,27
miloš zeman,24
střetu zájmů,12
miloše zemana,11
evropské komise,11
lidská práva,10
stíhaného premiéra,8
čapí hnízdo,8
nejvyššího státního,8
ministra kultury,8
státního zástupce,8
von der,8
prezident zeman,8
trestně stíhaného,7
státní zástupce,7
naší zemi,6
pavla zemana,6
zdanění církevních,6
církevních restitucí,6
velký dík,6
hnutí ano,6
střet zájmů,6
premiér měl,6
jiného než,6
naší země,6
svobodu demokracii,5
30 let,5
pavel zeman,5
komise odpověď,5
odpověď 6,5
6 týdnů,5
svoboda demokracie,5
evropském parlamentu,5
právního státu,5
zákona státním,5
státním zastupitelství,5
evropského parlamentu,4
kancléř mynář,4
naši zemi,4
nezávislost justice,4
zvýšení daně,4
daně nemovitosti,4
premiér babiš,4
marie benešové,4
kauze čapí,4
české vlády,4
český prezident,4
ničím jiným,4
jiným než,4
právním státě,4
evropská komise,4
zájmy čr,4
celou věc,4
ursula von,4
der leyenová,4
české republiky,4
týdnů musíme,4
musíme počkat,4
další důvod,4
velké británie,4
británie eu,4
zeman opět,4
státní zastupitelství,4
ano čssd,4
vztahy mezi,4
nabytí nemovitosti,4
brexit dohody,4
podle andreje,3
druhou stranu,3
naše země,3
kvůli kauze,3
věry jourové,3
komunálních volbách,3
marii benešovou,3
zástupce pavla,3
babiš měl,3
jan palach,3
zeman chce,3
trestně stíhaného premiéra,7
zdanění církevních restitucí,6
nejvyššího státního zástupce,6
komise odpověď 6,5
odpověď 6 týdnů,5
zákona státním zastupitelství,5
zvýšení daně nemovitosti,4
kauze čapí hnízdo,4
ničím jiným než,4
ursula von der,4
von der leyenová,4
6 týdnů musíme,4
týdnů musíme počkat,4
velké británie eu,4
podle andreje babiše,3
zástupce pavla zemana,3
miloš zeman chce,3
nejvyšší státní zástupce,3
patří velký dík,3
dvojí kvality potravin,3
von der leyen,3
odchodu velké británie,3
miloš zeman opět,3
ano čssd ksčm,3
udání důvodu odvolat,3
důvodu odvolat nejvyššího,3
odvolat nejvyššího státního,3
pirátského poslance michálka,2
proti top 09,2
krajský výbor top,2
výbor top 09,2
top 09 jasně,2
09 jasně řekl,2
jasně řekl nesouhlasí,2
hanou kordovou marvanovou,2
komunálních volbách praze,2
markéta pekarová adamová,2
předsedkyní top 09,2
ignoruje statisíce lidí,2
vláda andreje babiše,2
veřejně přes twitter,2
návrhu obžalobu premiéra,2
zdanění prázdných bytů,2
kauzy andreje babiše,2
bojovník proti komunismu,2
státního rozpočtu příští,2
rozpočtu příští rok,2
demokratickém právním státě,2
rozhodnutí britského parlamentu,2
státního zástupce pavla,2
zastavení trestního stíhání,2
více než čtvrt,2
než čtvrt miliardy,2
vládě andrej babiš,2
30 let revoluci,2
andrej babiš řekl,2
čest jeho památce,2
nového ministra kultury,2
rozhodnutí městského státního,2
městského státního zástupce,2
auditu evropské komise,2
silný ekonomický rezort,2
střetu zájmů andreje,2
zájmů andreje babiše,2
řídit stát firmu,2
ministra kultury staňka,2
druhé světové války,2
kancléř mynář měl,2
osud naší země,2
andrej babiš měl,2
poslanci ano čssd,2
miloš zeman dál,2
demonstranti zneuznaní lidé,2
zneuznaní lidé frustruje,2
lidé frustruje nevyhráli,2
frustruje nevyhráli volby,2
zájmů další důvod,2
miloslava roznera policii,2
přeji hodně štěstí,2
vztahy mezi našimi,2
