n-gram,frekvence
mrna gt,106
liberální demokraté,91
více než,82
konspirační teorie,71
mí milí,52
liberálních demokratů,44
své děti,43
eu nato,42
vaše děti,42
přímém přenosu,40
covidová mafie,35
covidové mafie,33
lubomír volný,32
nesouvisí nesouvisí,31
liberální demokrat,30
liberální demokracie,29
jo jo,28
liberální demokraty,28
green deal,27
přesně takto,27
vakcína vakcína,27
volný blok,26
pane ryšavý,25
proti covidu,25
čím více,25
nato eu,23
volného bloku,23
podle mne,23
dnes již,23
ad hominem,22
celém světě,22
liberálně demokratické,22
proti rusku,22
000 000,22
nord stream,21
rozdíl mezi,21
milí liberální,21
roce 2019,21
8 let,21
kyjevský režim,21
své vlastní,21
této zemi,20
sociálních sítích,20
přeji příjemný,20
lidských práv,20
muslimští teroristé,20
20 let,19
10 let,19
jednoho dne,18
jejich děti,18
pane volný,18
mne osobně,18
nouzového stavu,17
covid 19,17
eu švédsko,17
máte pravdu,17
životní úroveň,17
bombových útoků,17
ruský plyn,17
lidská práva,16
celé video,16
nouzový stav,16
přesně podle,16
vy víte,16
den den,16
pane poslanče,16
vy budete,16
roce 2014,16
100 000,16
lives matter,16
zcela určitě,15
této země,15
kariérní komunista,15
prezidenta usa,15
vy osobně,15
new yorku,15
mohl bych,15
vše ostatní,15
sebe své,15
pozitivní diskriminace,15
občanů čr,15
just in,15
lepší lidé,15
nobelovy ceny,15
konspirační teorii,15
ústavní právo,15
práv svobod,15
té doby,15
ministerstvo obrany,14
video zde,14
5 let,14
milí libdem,14
vy opravdu,14
úplně stejně,14
3 roky,14
000 lidí,14
sám sebe,14
boji proti,14
muslimské teroristy,14
očkování proti,14
nesouvisí nesouvisí nesouvisí,28
vakcína vakcína vakcína,26
milí liberální demokraté,20
mí milí liberální,16
další konspirační teorie,12
otrávit mrna gt,12
otrávených mrna gt,11
bu bu bu,11
celé video zde,10
chce hledá způsoby,10
hledá způsoby nechce,10
opakování matka moudrosti,10
mí milí libdem,10
ruské ministerstvo obrany,9
bezcharakterní kariérní komunista,9
mohl bych vidět,9
otravy mrna gt,9
jaký rozdíl mezi,9
otravě mrna gt,9
druhé světové války,9
přeji příjemný den,9
black lives matter,8
čím dále více,8
349 259 996,7
eu roce 2019,7
lhali lžou lhát,7
100 000 lidí,7
prosím osobních útoku,7
osobních útoku urážek,7
útoku urážek prokažte,7
urážek prokažte svůj,7
prokažte svůj charakter,7
svůj charakter úroveň,7
charakter úroveň nadhled,7
úroveň nadhled respekt,7
nadhled respekt názorům,7
respekt názorům ostatních,7
názorům ostatních děkuji,7
více lidí než,7
čím více vakcinace,7
mgr lubomír volný,7
způsoby nechce hledá,7
děkujeme podporu nebojte,7
podporu nebojte retweetovat,7
nord stream 2,7
území bývalé ukrajiny,7
nositel nobelovy ceny,7
základních práv svobod,7
ústavní právo informace,7
nový světový řád,7
lidé říkají abyste,6
přeji příjemný večer,6
otrava mrna gt,6
experimentálním genovým koktejlem,6
von der leyenová,6
poslední 3 roky,6
ozbrojených sil ukrajiny,6
stavu legislativní nouze,6
posledních 5 let,6
nechce hledá důvody,6
demokraticky zvoleného prezidenta,6
isoprinosin ivermektin imunor,6
259 996 kč,6
více úmrtí srovnání,6
nějaký liberální demokrat,6
sebe své děti,6
znásilnění 100 000,6
milionu chvilek nenávisti,5
experimentálním genovým roztokem,5
více než rok,5
prodloužení nouzového stavu,5
chtěl pomohl sám,5
posledních 30 let,5
mí milí oponenti,5
zákony této země,5
více vakcinace více,5
nositele nobelovy ceny,5
von der leyen,5
zbraně vlastních občanech,5
ursula von der,5
vy vaše rodina,5
biologické zbraně vlastních,5
no jo no,5
kolik lidí zemřelo,5
experimentální mrna gt,5
all lives matter,5
retweetujte myslíte měla,5
myslíte měla větší,5
měla větší zpráva,5
září loňského roku,5
noc dlouhých nožů,5
celém světě stejnou,4
světě stejnou dobu,4
jednou bezcharakterní kariérní,4
kultura určuje kvalitu,4
určuje kvalitu života,4
mí milí hejtři,4
teď babo raď,4
věci pravými jmény,4
no go zónách,4
nesouvisí nesouvisí nesouvisí nesouvisí,26
vakcína vakcína vakcína vakcína,25
mí milí liberální demokraté,15
chce hledá způsoby nechce,9
bu bu bu bu,9
prosím osobních útoku urážek,7
osobních útoku urážek prokažte,7
útoku urážek prokažte svůj,7
urážek prokažte svůj charakter,7
prokažte svůj charakter úroveň,7
svůj charakter úroveň nadhled,7
charakter úroveň nadhled respekt,7
úroveň nadhled respekt názorům,7
nadhled respekt názorům ostatních,7
respekt názorům ostatních děkuji,7
hledá způsoby nechce hledá,7
děkujeme podporu nebojte retweetovat,7
způsoby nechce hledá důvody,6
349 259 996 kč,6
znásilnění 100 000 lidí,6
retweetujte myslíte měla větší,5
myslíte měla větší zpráva,5
celém světě stejnou dobu,4
jednou bezcharakterní kariérní komunista,4
kultura určuje kvalitu života,4
čím více vakcinace více,4
biologické zbraně vlastních občanech,4
fb stránce mgr lubomír,4
stránce mgr lubomír volný,4
něj žulovou kostkou dvakrát,4
volbách neuspěli ti říkali,4
neuspěli ti říkali pravdu,4
ti říkali pravdu uspěli,4
říkali pravdu uspěli lháři,4
123 nárůst úmrtí novorozenců,4
nikdy nezapomeň udělali jménu,3
bezcharakterní kariérní komunista bezcharakterní,3
kariérní komunista bezcharakterní kariérní,3
komunista bezcharakterní kariérní komunista,3
hlasovali stav legislativní nouze,3
svém věku zemi původu,3
zemi eu roce 2019,3
komunita mentalita kultura určuje,3
mentalita kultura určuje kvalitu,3
další konspirační teorie potvrzena,3
cui bono follow the,3
bono follow the money,3
milion chvilek lži nenávisti,3
lepší lidé liberální demokraté,3
generální ředitel společnosti pfizer,3
říkalo šílená konspirační teorie,3
mí milí libdem oponenti,3
více úmrtí srovnání pětiletým,3
úmrtí srovnání pětiletým průměrem,3
