n-gram,frekvence
dnes,99
premiér,82
ano,79
díky,77
čr,76
pan,73
jeho,70
teď,67
ja,64
pak,61
také,57
vláda,57
ministr,55
myslím,54
více,54
prosím,51
tady,51
vlády,49
měl,49
mají,48
fakt,47
prezident,44
jejich,44
jinak,44
či,42
roce,42
než,42
nikdy,40
let,39
bych,39
kč,39
ať,38
mě,38
řekl,38
bohužel,36
rozpočtu,36
eu,36
třeba,34
rád,33
ta,32
další,32
návrh,32
naše,31
jestli,30
mohl,30
dost,30
sněmovně,30
babiš,29
chce,29
nemá,29
této,29
vy,29
především,29
premiéra,29
musí,27
kdyby,27
mld,27
pár,27
nevím,27
své,26
proti,26
lidí,26
den,26
stát,26
práci,26
předseda,25
situaci,25
víc,25
rok,25
máte,25
roku,25
říci,25
budu,24
paní,24
opravdu,24
jednání,24
mu,24
státu,24
prezidenta,24
tehdy,24
pan premiér,27
mld kč,22
mého působení,13
pan ministr,12
hnutí ano,11
státního rozpočtu,11
pan prezident,11
trestní oznámení,10
paní ministryně,9
tato vláda,9
pozemkové úpravy,9
příští rok,8
vládní koalice,8
2 mld,8
rozhodnutí soudu,7
kč ročně,7
posledních letech,7
ústavní soud,7
střetu zájmu,7
ja myslím,6
prezident zeman,6
sociální služby,6
dobrý den,6
díky všem,6
benefiční koncert,6
této vlády,6
investiční dotace,6
pana premiéra,6
moji osobu,6
více než,6
premiér babiš,5
vody půdy,5
naše děti,5
návrh rozpočtu,5
dej bůh,5
bůh štěstí,5
ano čssd,5
komise eu,5
pět let,5
olomouckém kraji,5
čisté svědomí,5
zelenou naftu,5
člen vlády,5
sociálních sítích,5
žádné investiční,5
čtyři roky,5
coby ministr,5
sociálních služeb,5
chcete levnější,5
svůj názor,5
pan předseda,4
hmotných rezerv,4
zjistěte fakta,4
víc než,4
milionů korun,4
dvě hodiny,4
předseda klubu,4
klubu ano,4
dost mimo,4
roku 2013,4
nevím jestli,4
mohl pan,4
žalobu prezidenta,4
miliardy korun,4
ondřeje závodského,4
masa polska,4
úplně mimo,4
koaliční vláda,4
této oblasti,4
všem lidem,4
tohoto státu,4
mýtného systému,4
střetu zájmů,4
andrej babiš,4
minulý týden,4
ministra zemědělství,4
srdečně zvu,4
volební výsledek,4
klimatická změna,4
zpětnou vazbu,4
2 mld kč,7
dej bůh štěstí,5
mld kč ročně,5
žádné investiční dotace,5
ochrany vody půdy,3
státních hmotných rezerv,3
předseda klubu ano,3
zákony rozhodnutí soudu,3
moji osobu trestní,3
osobu trestní oznámení,3
trestní oznámení díky,3
všem lidem dobré,3
lidem dobré vůle,3
pan ministr ťok,3
podat trestní oznámení,3
druhé třetí generace,3
stát ušetřil 2,3
ušetřil 2 mld,3
premiér andrej babiš,3
ní hovořil premiér,2
návrhu státního rozpočtu,2
klubu ano předseda,2
oproti roku 2013,2
dvě mexické vlny,2
nerespektuje zákony rozhodnutí,2
nemám rád obstrukce,2
130 průměrné mzdy,2
minulé koaliční vládě,2
hrát benefiční koncert,2
česká republika měla,2
prezident kdykoliv zastavit,2
my tykame ja,2
rozpočet pozemkové úpravy,2
dopravní infrastruktury čr,2
apple store praze,2
obě auta řídily,2
auta řídily ženy,2
mandát vzal sám,2
další benefiční koncert,2
mate jakékoliv podezření,2
140 domácí spotřeby,2
zemědělského půdního fondu,2
držet hubu krok,2
funguji pozemkové úpravy,2
audit komise eu,2
financování sociálních služeb,2
některé děti některých,2
děti některých rodičů,2
některých rodičů mají,2
rodičů mají takovou,2
mají takovou péči,2
takovou péči raději,2
péči raději krymu,2
raději krymu švýcarsku,2
zákona spotřební dani,2
společnosti nepatří stejně,2
hovězího masa polska,2
cyril metoděj výrazně,2
metoděj výrazně pozitivně,2
výrazně pozitivně ovlivnili,2
pozitivně ovlivnili národ,2
ovlivnili národ nejen,2
národ nejen hodnotami,2
nejen hodnotami kulturou,2
hodnotami kulturou písmem,2
kulturou písmem mendel,2
písmem mendel kněz,2
mendel kněz položil,2
kněz položil základy,2
položil základy genetiky,2
diviš kněz vynálezce,2
kněz vynálezce bleskosvodu,2
vynálezce bleskosvodu josef,2
bleskosvodu josef štemberka,2
josef štemberka kněz,2
štemberka kněz odmítl,2
kněz odmítl opustit,2
odmítl opustit farníky,2
opustit farníky spolu,2
farníky spolu lidicích,2
moji osobu trestní oznámení,3
všem lidem dobré vůle,3
stát ušetřil 2 mld,3
ušetřil 2 mld kč,3
nerespektuje zákony rozhodnutí soudu,2
obě auta řídily ženy,2
osobu trestní oznámení díky,2
některé děti některých rodičů,2
děti některých rodičů mají,2
některých rodičů mají takovou,2
rodičů mají takovou péči,2
mají takovou péči raději,2
takovou péči raději krymu,2
péči raději krymu švýcarsku,2
cyril metoděj výrazně pozitivně,2
metoděj výrazně pozitivně ovlivnili,2
výrazně pozitivně ovlivnili národ,2
pozitivně ovlivnili národ nejen,2
ovlivnili národ nejen hodnotami,2
národ nejen hodnotami kulturou,2
nejen hodnotami kulturou písmem,2
hodnotami kulturou písmem mendel,2
kulturou písmem mendel kněz,2
písmem mendel kněz položil,2
mendel kněz položil základy,2
kněz položil základy genetiky,2
diviš kněz vynálezce bleskosvodu,2
kněz vynálezce bleskosvodu josef,2
vynálezce bleskosvodu josef štemberka,2
bleskosvodu josef štemberka kněz,2
josef štemberka kněz odmítl,2
štemberka kněz odmítl opustit,2
kněz odmítl opustit farníky,2
odmítl opustit farníky spolu,2
opustit farníky spolu lidicích,2
farníky spolu lidicích popraven,2
víc peněz pumpujeme víc,2
peněz pumpujeme víc lidé,2
pumpujeme víc lidé nespokojeni,2
vracet nebude evropská komise,2
nikdy žádnou investiční dotaci,2
klimatická změna ni můžeme,2
změna ni můžeme reagovat,2
ni můžeme reagovat pohledu,2
můžeme reagovat pohledu komunálního,2
reagovat pohledu komunálního politika,2
drobet líto těch dnes,2
líto těch dnes nákupním,2
těch dnes nákupním šílenství,2
dnes nákupním šílenství věřit,2
nákupním šílenství věřit nějaké,2
šílenství věřit nějaké vyšší,2
věřit nějaké vyšší zázračné,2
nějaké vyšší zázračné slevy,2
vyšší zázračné slevy rámci,2
zázračné slevy rámci žádný,2
slevy rámci žádný úžasný,2
rámci žádný úžasný svátek,2
žádný úžasný svátek slev,2
úžasný svátek slev den,2
svátek slev den nalhat,2
slev den nalhat zákazníkům,2
den nalhat zákazníkům teď,2
nalhat zákazníkům teď zázračně,2
zákazníkům teď zázračně zlevněno,2
teď zázračně zlevněno dostat,2
zázračně zlevněno dostat obchodu,2
zlevněno dostat obchodu horším,2
dostat obchodu horším případě,2
obchodu horším případě zadlužit,2
začátku fungování ano politice,2
fungování ano politice babiš,2
ano politice babiš snažil,2
politice babiš snažil spolupracovat,2
babiš snažil spolupracovat whistleblowery,2
snažil spolupracovat whistleblowery zavodsky,2
spolupracovat whistleblowery zavodsky steiner,2
whistleblowery zavodsky steiner wagenknech,2
zavodsky steiner wagenknech či,2
dnes tito lidé pryč,2
stát ušetřil 2 mld kč,3
moji osobu trestní oznámení díky,2
některé děti některých rodičů mají,2
děti některých rodičů mají takovou,2
některých rodičů mají takovou péči,2
rodičů mají takovou péči raději,2
mají takovou péči raději krymu,2
takovou péči raději krymu švýcarsku,2
cyril metoděj výrazně pozitivně ovlivnili,2
metoděj výrazně pozitivně ovlivnili národ,2
výrazně pozitivně ovlivnili národ nejen,2
pozitivně ovlivnili národ nejen hodnotami,2
ovlivnili národ nejen hodnotami kulturou,2
národ nejen hodnotami kulturou písmem,2
nejen hodnotami kulturou písmem mendel,2
hodnotami kulturou písmem mendel kněz,2
kulturou písmem mendel kněz položil,2
písmem mendel kněz položil základy,2
mendel kněz položil základy genetiky,2
diviš kněz vynálezce bleskosvodu josef,2
kněz vynálezce bleskosvodu josef štemberka,2
vynálezce bleskosvodu josef štemberka kněz,2
bleskosvodu josef štemberka kněz odmítl,2
josef štemberka kněz odmítl opustit,2
štemberka kněz odmítl opustit farníky,2
kněz odmítl opustit farníky spolu,2
odmítl opustit farníky spolu lidicích,2
opustit farníky spolu lidicích popraven,2
víc peněz pumpujeme víc lidé,2
peněz pumpujeme víc lidé nespokojeni,2
klimatická změna ni můžeme reagovat,2
změna ni můžeme reagovat pohledu,2
ni můžeme reagovat pohledu komunálního,2
můžeme reagovat pohledu komunálního politika,2
drobet líto těch dnes nákupním,2
líto těch dnes nákupním šílenství,2
těch dnes nákupním šílenství věřit,2
dnes nákupním šílenství věřit nějaké,2
nákupním šílenství věřit nějaké vyšší,2
šílenství věřit nějaké vyšší zázračné,2
věřit nějaké vyšší zázračné slevy,2
nějaké vyšší zázračné slevy rámci,2
vyšší zázračné slevy rámci žádný,2
zázračné slevy rámci žádný úžasný,2
slevy rámci žádný úžasný svátek,2
rámci žádný úžasný svátek slev,2
žádný úžasný svátek slev den,2
úžasný svátek slev den nalhat,2
svátek slev den nalhat zákazníkům,2
slev den nalhat zákazníkům teď,2
den nalhat zákazníkům teď zázračně,2
nalhat zákazníkům teď zázračně zlevněno,2
zákazníkům teď zázračně zlevněno dostat,2
teď zázračně zlevněno dostat obchodu,2
zázračně zlevněno dostat obchodu horším,2
zlevněno dostat obchodu horším případě,2
dostat obchodu horším případě zadlužit,2
začátku fungování ano politice babiš,2
fungování ano politice babiš snažil,2
ano politice babiš snažil spolupracovat,2
politice babiš snažil spolupracovat whistleblowery,2
babiš snažil spolupracovat whistleblowery zavodsky,2
snažil spolupracovat whistleblowery zavodsky steiner,2
spolupracovat whistleblowery zavodsky steiner wagenknech,2
whistleblowery zavodsky steiner wagenknech či,2
dnes tito lidé pryč ti,2
tito lidé pryč ti neustálou,2
lidé pryč ti neustálou kritikou,2
pryč ti neustálou kritikou myslím,2
ti neustálou kritikou myslím docela,2
neustálou kritikou myslím docela dobře,2
kritikou myslím docela dobře ilustruje,2
myslím docela dobře ilustruje proměnu,2
docela dobře ilustruje proměnu politiky,2
dobře ilustruje proměnu politiky hnutí,2
ilustruje proměnu politiky hnutí ano,2
eu zůstat členem celní unie,2
ušetřil 2 mld kč ročně,2
projekt babiš coby ministr financi,2
ta rekonstrukce vlády ní hovořil,1
