n-gram,frekvence
dnes,59
jeho,57
ano,42
než,38
babiš,34
mě,34
návrh,32
také,31
vláda,31
tedy,31
teď,30
paní,30
prezidenta,30
my,30
vlády,29
jejich,29
své,28
třeba,28
jde,27
top,25
ráda,24
proti,24
budu,23
děkuji,23
eu,23
stát,23
měla,22
09,22
budeme,22
čssd,22
víc,22
strany,21
lidí,21
premiéra,21
premiér,21
státu,21
pan,20
jej,20
babiše,20
velmi,20
den,20
peníze,20
zeman,20
prezident,19
naší,19
mají,19
ať,19
pane,19
měl,19
let,19
volbách,19
díky,19
podle,18
pana,18
totiž,18
pak,18
ps,18
čr,18
ministryně,17
bych,17
hnutí,17
myslím,17
právě,17
zákona,17
mu,17
země,17
více,16
jednání,16
opravdu,16
podporu,16
vše,16
dnešní,16
ústavní,16
člověk,15
zde,15
společnosti,15
chce,15
vládě,15
české,15
kvůli,15
top 09,21
andrej babiš,12
andreje babiše,12
hnutí ano,11
paní ministryně,9
víc než,9
miloše zemana,7
pane premiére,6
čím dál,6
ráda bych,5
premiér babiš,5
čapí hnízdo,5
žalobu prezidenta,5
státního rozpočtu,5
této země,5
předsedkyni top,5
miloš zeman,5
česká republika,5
jaromíra soukupa,5
střetu zájmů,5
ministryně maláčová,4
premiéra babiše,4
právního státu,4
přijetí eura,4
současný stav,4
těším spolupráci,4
politické strany,4
trestní stíhání,4
opozičních stran,4
máte pravdu,4
ústavní žalobu,4
naší zemi,4
více než,4
týrání zvířat,4
ministra kultury,4
bychom měli,4
střet zájmů,4
dálnice dálnice,4
součástí mezinárodních,3
mezinárodních struktur,3
milionů korun,3
petra pavla,3
dobrý den,3
prezidenta republiky,3
upřímnou soustrast,3
farmě čapí,3
toustový chléb,3
naše návrhy,3
komunistického režimu,3
jeho okolí,3
zdravotního pojištění,3
tato vláda,3
děkuji všem,3
stala členkou,3
době konjunktury,3
české republiky,3
vládní koalice,3
proti návrhu,3
ministryni financí,3
ústavní žaloba,3
mimořádnou schůzi,3
právní stát,3
mladých čechů,3
zákona zpřísňuje,3
zavedení eura,3
volbách ep,3
vládní strany,3
pan faltýnek,3
praze 9,3
hlasování nedůvěře,3
držím palce,3
poslanecké sněmovny,3
svém projevu,3
tresty týrání,3
návrh zákona,3
smutné sledovat,3
státní zástupce,3
sociální služby,3
státního zástupce,3
příští týden,3
předsedkyni top 09,4
součástí mezinárodních struktur,3
paní ministryně maláčová,3
farmě čapí hnízdo,3
ústavní žalobu prezidenta,3
obrovskou zásluhu svobodní,2
dnes představila návrh,2
pirátům ods ať,2
ods ať měst,2
ať měst vesnic,2
rozpočtu příští rok,2
podíleli pádu komunistického,2
pádu komunistického režimu,2
podle svých slov,2
novelu zákona státním,2
zákona státním zastupitelství,2
daň nabytí nemovitosti,2
fiktivních reklam čapím,2
reklam čapím hnízdě,2
premiér andrej babiš,2
založení top 09,2
kandidovat předsedkyni top,2
