n-gram,frekvence
rád,209
mě,184
díky,157
dopravní,154
například,141
podle,139
roku,137
třeba,129
roce,128
další,127
korun,122
vy,121
dnes,121
než,119
bychom,118
myslím,115
mezi,114
osobně,111
máte,110
budu,109
železniční,105
teď,104
práce,100
dopravy,99
let,97
pardubice,97
d35,97
totiž,96
navíc,96
velmi,95
pane,93
pouze,93
právě,92
budeme,90
zákon,86
jejich,84
ano,83
rok,83
zde,81
musí,80
kilometrů,80
tady,78
určitě,77
jestli,77
zákona,77
také,76
více,76
řízení,76
měli,75
sždc,74
názor,73
silnic,73
infrastruktury,71
jeho,69
musíme,69
bych,68
jeden,67
rozhodně,67
mají,66
české,65
nové,65
systém,65
ať,64
vysokorychlostní,64
den,64
fakt,63
první,62
lidí,62
naše,61
dobře,61
nový,61
prosím,61
jasně,61
vše,60
návrh,60
bohužel,59
pak,59
společně,59
víc,59
dálnice,59
d35 d35,55
podle mě,47
dopravní infrastruktury,40
miliard korun,39
budu rád,33
bychom měli,31
vysokorychlostní tratě,30
ministerstvo dopravy,28
železniční dopravní,27
dopravní cesty,27
vysokorychlostních tratí,27
příští rok,26
více než,25
mld kč,24
výstavby dopravní,22
dobrý den,21
urychlení výstavby,21
bychom mohli,21
správa železniční,21
správní rady,20
stavební povolení,20
silnic dálnic,20
milionů korun,19
pardubického kraje,18
kilometrů nových,18
víc než,17
druhou stranu,17
dopravní uzel,17
uzel pardubice,17
české republice,17
současné době,17
spousta lidí,17
železničního uzlu,17
pardubický kraj,16
rád napíšete,16
uzlu pardubice,16
hradec králové,16
letošním roce,15
poslanecké sněmovně,15
našem kraji,15
životní prostředí,15
právě teď,15
martin charvát,14
rád bych,14
ředitelství silnic,14
letošního roku,14
železniční konferenci,14
půl roku,14
novela zákona,14
územní rozhodnutí,13
zákon roku,13
miliardy korun,13
stavební práce,13
nový systém,13
příštím roce,13
posledních letech,13
dálniční známku,13
víc míň,13
tomto případě,13
rady sždc,12
vidíte vy,12
loňském roce,12
můžete prosím,12
myslím bychom,12
velkou radost,12
budeme muset,12
dálnice d35,12
nových silnic,12
příštího roku,11
jestli máte,11
máte pravdu,11
zákona urychlení,11
společně kolegy,11
mě osobně,11
jasná věc,11
přesvědčený bychom,11
ministerstva dopravy,11
patří mezi,11
pojďme podívat,11
dopravních staveb,11
d35 d35 d35,54
železniční dopravní cesty,27
správa železniční dopravní,21
urychlení výstavby dopravní,19
výstavby dopravní infrastruktury,18
budu rád napíšete,16
dopravní uzel pardubice,16
ředitelství silnic dálnic,13
správní rady sždc,12
železničního uzlu pardubice,12
zákona urychlení výstavby,10
přesvědčený bychom měli,9
železniční konferenci pardubice,9
místopředseda správní rady,9
silnic dálnic řsd,8
čísla mluví jasně,8
kilometrů nových dálnic,8
modernizace železničního uzlu,8
kilometrů nových silnic,8
zákon urychlení výstavby,7
rád napíšete názor,7
dopravní cesty sždc,7
nový stavební zákon,6
staveb pět let,6
příští rok začíná,6
rok začíná velká,6
začíná velká modernizace,6
velká modernizace železničního,6
rekonstrukce velké části,6
velké části kolejiště,6
části kolejiště stavba,6
kolejiště stavba nového,6
stavba nového nástupiště,6
nového nástupiště ním,6
nástupiště ním spojené,6
ním spojené prodloužení,6
spojené prodloužení podchodu,6
prodloužení podchodu rekonstrukce,6
podchodu rekonstrukce ostatních,6
rekonstrukce ostatních nástupišť,6
ostatních nástupišť výstavba,6
nástupišť výstavba lávky,6
výstavba lávky duklu,6
lávky duklu modernizace,6
nádražní budovy samotná,6
budovy samotná přestavba,6
samotná přestavba uzlu,6
přestavba uzlu potrvá,6
uzlu potrvá zhruba,6
potrvá zhruba dva,6
zhruba dva půl,6
dva půl roku,6
současné době probíhá,6
jestli máte chvilku,5
pardubic martin charvát,5
splavnění labe pardubic,5
znám spoustu řidičů,5
správy železniční dopravní,5
nových silnic dálnic,5
primátorem martin charvát,5
krok správným směrem,5
pardubice součástí této,5
opatovice labem hradec,5
labem hradec králové,5
místopředseda hospodářského výboru,4
správy údržby silnic,4
silnic pardubického kraje,4
primátorem pardubic martin,4
můžete prosím vysvětlit,4
napíšete svůj názor,4
urychlení dopravní výstavby,4
vítězi rozhodnete vy,4
myslím byste měli,4
přinese několik novinek,4
operační program doprava,4
patří mezi země,4
každá mince dvě,4
mince dvě strany,4
opatovice labem časy,4
úseku opatovice labem,4
d35 d35 d35 d35,53
správa železniční dopravní cesty,21
urychlení výstavby dopravní infrastruktury,15
zákona urychlení výstavby dopravní,10
ředitelství silnic dálnic řsd,8
zákon urychlení výstavby dopravní,7
budu rád napíšete názor,7
modernizace železničního uzlu pardubice,7
místopředseda správní rady sždc,7
železniční dopravní cesty sždc,7
příští rok začíná velká,6
rok začíná velká modernizace,6
začíná velká modernizace železničního,6
velká modernizace železničního uzlu,6
rekonstrukce velké části kolejiště,6
velké části kolejiště stavba,6
části kolejiště stavba nového,6
kolejiště stavba nového nástupiště,6
stavba nového nástupiště ním,6
nového nástupiště ním spojené,6
nástupiště ním spojené prodloužení,6
ním spojené prodloužení podchodu,6
spojené prodloužení podchodu rekonstrukce,6
prodloužení podchodu rekonstrukce ostatních,6
podchodu rekonstrukce ostatních nástupišť,6
rekonstrukce ostatních nástupišť výstavba,6
ostatních nástupišť výstavba lávky,6
nástupišť výstavba lávky duklu,6
výstavba lávky duklu modernizace,6
nádražní budovy samotná přestavba,6
budovy samotná přestavba uzlu,6
samotná přestavba uzlu potrvá,6
přestavba uzlu potrvá zhruba,6
uzlu potrvá zhruba dva,6
potrvá zhruba dva půl,6
zhruba dva půl roku,6
správy železniční dopravní cesty,5
opatovice labem hradec králové,5
primátorem pardubic martin charvát,4
každá mince dvě strany,4
jasná pravidla legální fungování,4
zjistit stav svého bodového,4
stav svého bodového konta,4
spolek výstavbu dálnic d35,4
výstavbu dálnic d35 d43,4
čele primátorem martin charvát,4
železničního uzlu pardubice součástí,4
uzlu pardubice součástí této,4
pardubice součástí této investiční,4
součástí této investiční akce,4
této investiční akce rekonstrukce,4
investiční akce rekonstrukce velké,4
akce rekonstrukce velké části,4
lávky duklu modernizace nádražní,4
duklu modernizace nádražní budovy,4
modernizace nádražní budovy samotná,4
současné době probíhá zpracování,4
trati hradec králové pardubice,4
kilometrů silnic modernizace d1,4
správy údržby silnic pardubického,3
údržby silnic pardubického kraje,3
měl štěstí lásce nikdy,3
výstavby dopravní infrastruktury kterou,3
zákon urychlení dopravní výstavby,3
urychlení dopravní výstavby odmakali,3
dopravní výstavby odmakali takže,3
výstavby odmakali takže rozhodně,3
odmakali takže rozhodně usmálo,3
takže rozhodně usmálo štěstí,3
rozhodně usmálo štěstí určitě,3
usmálo štěstí určitě takové,3
štěstí určitě takové konkurenci,3
určitě takové konkurenci budeme,3
takové konkurenci budeme úspěch,3
konkurenci budeme úspěch potřebovat,3
budeme úspěch potřebovat kdybychom,3
úspěch potřebovat kdybychom nevyhráli,3
potřebovat kdybychom nevyhráli život,3
kdybychom nevyhráli život jde,3
nevyhráli život jde dál,3
d35 d35 d35 d35 d35,52
zákona urychlení výstavby dopravní infrastruktury,8
příští rok začíná velká modernizace,6
rok začíná velká modernizace železničního,6
začíná velká modernizace železničního uzlu,6
velká modernizace železničního uzlu pardubice,6
rekonstrukce velké části kolejiště stavba,6
velké části kolejiště stavba nového,6
části kolejiště stavba nového nástupiště,6
kolejiště stavba nového nástupiště ním,6
stavba nového nástupiště ním spojené,6
nového nástupiště ním spojené prodloužení,6
nástupiště ním spojené prodloužení podchodu,6
ním spojené prodloužení podchodu rekonstrukce,6
spojené prodloužení podchodu rekonstrukce ostatních,6
prodloužení podchodu rekonstrukce ostatních nástupišť,6
podchodu rekonstrukce ostatních nástupišť výstavba,6
rekonstrukce ostatních nástupišť výstavba lávky,6
ostatních nástupišť výstavba lávky duklu,6
nástupišť výstavba lávky duklu modernizace,6
nádražní budovy samotná přestavba uzlu,6
budovy samotná přestavba uzlu potrvá,6
samotná přestavba uzlu potrvá zhruba,6
přestavba uzlu potrvá zhruba dva,6
uzlu potrvá zhruba dva půl,6
potrvá zhruba dva půl roku,6
zákon urychlení výstavby dopravní infrastruktury,5
zjistit stav svého bodového konta,4
spolek výstavbu dálnic d35 d43,4
modernizace železničního uzlu pardubice součástí,4
železničního uzlu pardubice součástí této,4
uzlu pardubice součástí této investiční,4
pardubice součástí této investiční akce,4
součástí této investiční akce rekonstrukce,4
této investiční akce rekonstrukce velké,4
investiční akce rekonstrukce velké části,4
akce rekonstrukce velké části kolejiště,4
výstavba lávky duklu modernizace nádražní,4
lávky duklu modernizace nádražní budovy,4
duklu modernizace nádražní budovy samotná,4
modernizace nádražní budovy samotná přestavba,4
správy údržby silnic pardubického kraje,3
urychlení výstavby dopravní infrastruktury kterou,3
zákon urychlení dopravní výstavby odmakali,3
urychlení dopravní výstavby odmakali takže,3
dopravní výstavby odmakali takže rozhodně,3
výstavby odmakali takže rozhodně usmálo,3
odmakali takže rozhodně usmálo štěstí,3
takže rozhodně usmálo štěstí určitě,3
rozhodně usmálo štěstí určitě takové,3
usmálo štěstí určitě takové konkurenci,3
štěstí určitě takové konkurenci budeme,3
určitě takové konkurenci budeme úspěch,3
takové konkurenci budeme úspěch potřebovat,3
konkurenci budeme úspěch potřebovat kdybychom,3
budeme úspěch potřebovat kdybychom nevyhráli,3
úspěch potřebovat kdybychom nevyhráli život,3
potřebovat kdybychom nevyhráli život jde,3
kdybychom nevyhráli život jde dál,3
nevyhráli život jde dál mnohem,3
život jde dál mnohem důležitější,3
jde dál mnohem důležitější zákon,3
dál mnohem důležitější zákon funguje,3
mnohem důležitější zákon funguje pomáhá,3
důležitější zákon funguje pomáhá den,3
zákon funguje pomáhá den vždyť,3
funguje pomáhá den vždyť právě,3
pomáhá den vždyť právě díky,3
den vždyť právě díky němu,3
vždyť právě díky němu zkrátili,3
právě díky němu zkrátili proces,3
díky němu zkrátili proces vybraných,3
němu zkrátili proces vybraných staveb,3
zkrátili proces vybraných staveb pět,3
proces vybraných staveb pět let,3
vybraných staveb pět let jde,3
staveb pět let jde zavedli,3
pět let jde zavedli několik,3
let jde zavedli několik novinek,3
jde zavedli několik novinek čele,3
