n-gram,frekvence
pražském hradě,313
české republiky,251
vážený pane,229
prezidenta republiky,227
pane prezidente,202
setkání občany,180
chtěl bych,159
dovolte abych,152
den návštěvy,151
občany města,123
setkání prezidenta,116
tv barrandov,114
hradě dnes,113
týden prezidentem,113
prezidentem tv,111
barrandov čtvrtek,111
paní dnes,106
dámy pánové,103
mojí paní,91
bych chtěl,89
miloš zeman,88
tisková konference,83
zaměstnanci společnosti,83
pražský hrad,71
andreje babiše,70
pražského hradu,69
té příležitosti,69
zámku lánech,67
pane předsedo,66
své pracovně,65
druhé straně,62
milí přátelé,60
evropské unie,59
zásluhy stát,58
velmi rád,57
medaili zásluhy,57
české republice,56
pracovně pražském,55
zásluhy stupně,55
česká republika,54
pane ministře,54
paní ministryně,52
ovtv pražský,52
poslanecké sněmovny,50
hradě přijal,49
příležitosti uvedl,49
stát oblasti,49
každém případě,47
pan premiér,46
uvedl vážený,44
děkuji vaši,44
2017 setkání,43
premiéra andreje,41
sociální demokracie,41
rád bych,41
vaši pozornost,41
pan ministr,41
in memoriam,40
dnes navštívila,40
občany obce,40
dnes přijal,39
první den,39
konference prezidenta,39
vážená paní,38
bílého lva,38
státního svátku,38
brigádního generála,38
podle mého,37
přátelsky přivítal,36
armády české,36
setkání zaměstnanci,35
paní vero,35
hradě přivítal,34
ukončení návštěvy,34
druhý den,33
mimo jiné,33
udělil medaili,33
dobrý den,32
olomouckého kraje,32
více než,31
bych rád,31
děkuji pozornost,31
prezident republiky,31
mého názoru,31
republiky zaměstnanci,31
sídlem praze,31
miliard korun,31
třídenní návštěvu,31
dnes jmenoval,30
hodnosti brigádního,30
členy zastupitelstva,30
karlovarského kraje,30
této příležitosti,29
vážení milí,29
října 2017,29
zeman prezident,29
nový mimořádný,29
mimořádný zplnomocněný,29
zplnomocněný velvyslanec,29
republiky členy,29
setkání prezidenta republiky,116
týden prezidentem tv,111
prezidentem tv barrandov,111
tv barrandov čtvrtek,111
setkání občany města,110
pražském hradě dnes,70
pracovně pražském hradě,55
vážený pane předsedo,55
medaili zásluhy stupně,55
ovtv pražský hrad,52
své pracovně pražském,51
zásluhy stát oblasti,49
vážený pane prezidente,48
pražském hradě přijal,46
té příležitosti uvedl,44
uvedl vážený pane,43
premiéra andreje babiše,40
paní dnes navštívila,40
tisková konference prezidenta,39
konference prezidenta republiky,39
děkuji vaši pozornost,37
setkání občany obce,36
armády české republiky,36
vážený pane ministře,35
hradě dnes přijal,34
první den návštěvy,34
prezidenta republiky zaměstnanci,31
pražském hradě přivítal,31
podle mého názoru,30
hodnosti brigádního generála,30
republiky zaměstnanci společnosti,29
miloš zeman prezident,29
druhý den návštěvy,29
nový mimořádný zplnomocněný,29
mimořádný zplnomocněný velvyslanec,29
prezidenta republiky členy,29
republiky členy zastupitelstva,29
hradě dnes jmenoval,27
příležitosti uvedl vážený,27
prezident české republiky,27
zásluhy stupně udělil,27
vážený pane premiére,27
udělil medaili zásluhy,27
dovolte abych jednou,26
jednou blahopřál vašemu,26
příležitosti státního svátku,26
setkání zaměstnanci společnosti,26
kraje ukončení návštěvy,26
pražský hrad úterý,26
pražském hradě jmenoval,25
sále pražského hradu,25
tisková konference mého,25
konference mého mluvčího,25
mého mluvčího ovtv,25
mluvčího ovtv pražský,25
abych jednou blahopřál,24
řád bílého lva,24
program vysílání ovtv,24
den návštěvy středa,24
vysílání ovtv návštěvy,23
návštěvy středa dne,23
přivítal premiéra andreje,23
sídlem praze pan,23
chtěl bych poděkovat,22
úctou miloš zeman,22
prezidenta republiky občany,22
kraje den návštěvy,21
zeman prezident české,21
blahopřál vašemu jmenování,20
den návštěvy čtvrtek,20
2017 setkání prezidenta,20
brigádního generála jmenoval,19
generála jmenoval plukovníka,19
prezidenta republiky hejtmana,18
republiky hejtmana kraje,18
hejtmana kraje ukončení,18
republiky sídlem praze,18
návštěvy olomouckého kraje,18
státního svátku října,17
hradě dnes přivítal,17
návštěvy čtvrtek dne,16
hodně zdaru hodně,16
2017 setkání občany,16
dámy pánové dovolte,15
debatoval krajskými zastupiteli,15
tisková konference závěr,15
konference závěr návštěvy,15
závěr návštěvy prezidenta,15
návštěvy prezidenta republiky,15
projev prezidenta republiky,15
české republiky hodnosti,15
mojí paní zahájili,15
vážení milí spoluobčané,15
zahájili třídenní návštěvu,15
projev dnes pronesl,15
zámku lánech přivítal,15
české národní banky,15
stát oblasti vědy,15
barrandov čtvrtek listopadu,14
pražském hradě příležitosti,14
týden prezidentem tv barrandov,111
prezidentem tv barrandov čtvrtek,111
své pracovně pražském hradě,51
tisková konference prezidenta republiky,39
setkání prezidenta republiky zaměstnanci,31
prezidenta republiky zaměstnanci společnosti,29
nový mimořádný zplnomocněný velvyslanec,29
setkání prezidenta republiky členy,29
prezidenta republiky členy zastupitelstva,29
příležitosti uvedl vážený pane,27
medaili zásluhy stupně udělil,27
udělil medaili zásluhy stupně,27
ovtv pražský hrad úterý,26
tisková konference mého mluvčího,25
konference mého mluvčího ovtv,25
mého mluvčího ovtv pražský,25
mluvčího ovtv pražský hrad,25
dovolte abych jednou blahopřál,23
abych jednou blahopřál vašemu,23
program vysílání ovtv návštěvy,23
den návštěvy středa dne,23
té příležitosti uvedl vážený,23
pracovně pražském hradě přijal,22
setkání prezidenta republiky občany,22
přivítal premiéra andreje babiše,22
miloš zeman prezident české,21
zeman prezident české republiky,21
jednou blahopřál vašemu jmenování,20
2017 setkání prezidenta republiky,20
hodnosti brigádního generála jmenoval,19
brigádního generála jmenoval plukovníka,19
prezidenta republiky hejtmana kraje,18
republiky hejtmana kraje ukončení,18
hejtmana kraje ukončení návštěvy,18
pražském hradě dnes jmenoval,18
úctou miloš zeman prezident,17
pracovně pražském hradě přivítal,17
konference prezidenta republiky hejtmana,17
den návštěvy čtvrtek dne,16
pražském hradě dnes přijal,16
tisková konference závěr návštěvy,15
konference závěr návštěvy prezidenta,15
závěr návštěvy prezidenta republiky,15
zásluhy stát oblasti vědy,15
tv barrandov čtvrtek listopadu,14
republiky sídlem praze pan,14
tv barrandov čtvrtek května,14
vážený pane premiére vážený,14
pane premiére vážený pane,14
zásluhy stát oblasti umění,14
dámy pánové dovolte abych,13
tv barrandov čtvrtek října,13
bílého lva vojenské skupiny,13
lva vojenské skupiny třídy,13
příležitosti státního svátku října,12
tv barrandov čtvrtek března,12
tv barrandov čtvrtek června,12
pražském hradě dnes přivítal,12
generála jmenoval plukovníka gšt,12
české republiky hodnosti brigádního,12
republiky hodnosti brigádního generála,12
pane předsedo poslanecké sněmovny,12
den návštěvy úterý dne,12
setkání prezidenta republiky zastupiteli,12
tv barrandov čtvrtek září,12
kraje debatoval krajskými zastupiteli,11
dobrý den pane prezidente,11
den návštěvy pátek dne,11
hodně zdaru hodně štěstí,11
vladislavském sále pražského hradu,11
vážený pane předsedo poslanecké,11
prezidenta republiky občany města,11
přátelsky přivítal premiéra andreje,11
2017 setkání občany města,11
španělském sále pražského hradu,11
stát oblasti umění medaili,11
oblasti umění medaili zásluhy,11
umění medaili zásluhy stupně,11
uvedl vážený pane ministře,10
2016 setkání prezidenta republiky,10
armády české republiky hodnosti,10
pražském hradě své pracovně,10
tv barrandov čtvrtek dubna,10
mojí paní zahájili třídenní,10
paní zahájili třídenní návštěvu,10
skupiny třídy in memoriam,10
zámku lánech přátelsky přivítal,9
ministryni financí alenu schillerovou,9
kraje den návštěvy středa,9
setkání prezidenta republiky studenty,9
vážený pane prezidente klausi,9
ministra vnitra jana hamáčka,9
přečtěte projev dnes pronesl,9
republiky ovtv pražský hrad,9
uvedl vážený pane premiére,9
bílého lva občanské skupiny,9
lva občanské skupiny třídy,9
den návštěvy olomouckého kraje,9
den návštěvy moravskoslezského kraje,8
podívejte videozáznam pořadu partie,8
týden prezidentem tv barrandov čtvrtek,111
setkání prezidenta republiky zaměstnanci společnosti,29
setkání prezidenta republiky členy zastupitelstva,29
tisková konference mého mluvčího ovtv,25
konference mého mluvčího ovtv pražský,25
mého mluvčího ovtv pražský hrad,25
té příležitosti uvedl vážený pane,23
dovolte abych jednou blahopřál vašemu,22
mluvčího ovtv pražský hrad úterý,22
miloš zeman prezident české republiky,21
své pracovně pražském hradě přijal,20
hodnosti brigádního generála jmenoval plukovníka,19
prezidenta republiky hejtmana kraje ukončení,18
republiky hejtmana kraje ukončení návštěvy,18
abych jednou blahopřál vašemu jmenování,17
úctou miloš zeman prezident české,17
tisková konference prezidenta republiky hejtmana,17
konference prezidenta republiky hejtmana kraje,17
své pracovně pražském hradě přivítal,16
tisková konference závěr návštěvy prezidenta,15
konference závěr návštěvy prezidenta republiky,15
prezidentem tv barrandov čtvrtek listopadu,14
prezidentem tv barrandov čtvrtek května,14
vážený pane premiére vážený pane,14
prezidentem tv barrandov čtvrtek října,13
bílého lva vojenské skupiny třídy,13
prezidentem tv barrandov čtvrtek března,12
prezidentem tv barrandov čtvrtek června,12
brigádního generála jmenoval plukovníka gšt,12
české republiky hodnosti brigádního generála,12
prezidentem tv barrandov čtvrtek září,12
vážený pane předsedo poslanecké sněmovny,11
setkání prezidenta republiky občany města,11
přátelsky přivítal premiéra andreje babiše,11
zásluhy stát oblasti umění medaili,11
stát oblasti umění medaili zásluhy,11
oblasti umění medaili zásluhy stupně,11
umění medaili zásluhy stupně udělil,11
prezidentem tv barrandov čtvrtek dubna,10
mojí paní zahájili třídenní návštěvu,10
kraje den návštěvy středa dne,9
bílého lva občanské skupiny třídy,9
2017 setkání prezidenta republiky členy,9
armády české republiky hodnosti brigádního,8
své pracovně pražském hradě dnes,8
tisková konference prezidenta republiky hejtmanky,8
konference prezidenta republiky hejtmanky kraje,8
prezidenta republiky hejtmanky kraje ukončení,8
republiky hejtmanky kraje ukončení návštěvy,8
řád bílého lva vojenské skupiny,8
mimořádné zásluhy obranu bezpečnost státu,8
tisková konference prezidenta republiky ukončení,8
konference prezidenta republiky ukončení návštěvy,8
příležitosti uvedl vážený pane ministře,7
té příležitosti uvedl vážená paní,7
prezidentem tv barrandov čtvrtek ledna,7
podívejte videozáznam pořadu partie terezie,7
videozáznam pořadu partie terezie tománkové,7
pořadu partie terezie tománkové primě,7
jménem svým jménem občanů české,7
svým jménem občanů české republiky,7
pane předsedo poslanecké sněmovny vážený,7
předsedo poslanecké sněmovny vážený pane,7
poslanecké sněmovny vážený pane předsedo,7
kraje den návštěvy úterý dne,7
prezidentem tv barrandov čtvrtek února,7
uvedl vážený pane premiére vážený,7
pane premiére vážený pane ministře,7
lva vojenské skupiny třídy in,7
vojenské skupiny třídy in memoriam,7
vážený pane prezidente dovolte abych,7
generálního štábu armády české republiky,7
příležitosti uvedl vážený pane premiére,7
řád bílého lva občanské skupiny,7
dámy pánové dovolte abych jednou,6
pánové dovolte abych jednou blahopřál,6
návrhu státního rozpočtu příští rok,6
závěr návštěvy prezidenta republiky moravskoslezském,6
návštěvy prezidenta republiky moravskoslezském kraji,6
vážený pane prezidente hlubokým zármutkem,6
republiky hodnosti brigádního generála jmenoval,6
hejtmana kraje ukončení návštěvy kraje,6
kraje ukončení návštěvy kraje vysočina,6
vážený pane předsedo senátu vážený,6
pane předsedo senátu vážený pane,6
kraje účasti zaměstnanců krajského úřadu,6
prezidentem tv barrandov čtvrtek prosince,6
vážený pane ministře vážený pane,6
jeho manželkou mojí paní zahájili,6
hejtmana kraje ukončení návštěvy olomouckého,6
kraje ukončení návštěvy olomouckého kraje,6
setkání prezidenta republiky představiteli olomouckého,6
prezidenta republiky představiteli olomouckého kraje,6
vážený pane náčelníku generálního štábu,6
prezidenta republiky členy zastupitelstva ústeckého,6
republiky členy zastupitelstva ústeckého kraje,6
členy zastupitelstva ústeckého kraje účasti,6
zastupitelstva ústeckého kraje účasti starostů,6
ústeckého kraje účasti starostů měst,6
kraje účasti starostů měst obcí,6
