n-gram,frekvence
další,98
jejich,91
setkání,77
my,71
již,66
jeho,63
sdh,63
všem,63
paní,55
také,55
vy,53
let,52
senátu,51
dnes,50
hlavně,50
společně,49
mezi,48
čr,48
zejména,47
své,47
mějte,46
opět,44
takže,44
místo,43
samozřejmě,42
akce,42
starostou,42
rámci,41
děti,41
dětí,41
sobotu,40
vystoupení,39
pak,39
první,39
pardubice,38
či,38
slavnostní,37
víkend,37
neb,37
gratulace,36
roku,36
kněžnou,36
krásné,35
zdravice,35
fotografie,35
regionu,34
přeji,34
poděkování,34
orlicí,34
zahájení,34
aj,33
letos,33
zde,33
patří,32
dny,32
práci,32
hasiči,31
naší,31
soutěže,31
obvodu,31
tedy,31
tady,31
zdraví,30
fakt,30
hasičů,30
přes,30
radost,30
nejen,30
snad,29
turnaje,29
mého,29
akci,29
všechny,28
rk,28
úspěšný,28
ať,28
ofs,27
starosta,26
pozvání,26
ostatně,26
vy mějte,20
rychnov kněžnou,18
senátního obvodu,18
společná fotografie,15
mého senátního,15
dobrovolných hasičů,14
krátká zdravice,14
orlických horách,14
sociální patologie,13
patologie sociologie,13
rychnově kněžnou,13
paní starostkou,13
více než,13
hradec králové,12
parlamentu čr,12
katedra sociální,11
zdravice poděkování,11
senátním obvodu,11
mladší žáci,11
slavnostní zahájení,11
ofs pardubice,11
osh pardubice,10
rychnovské nemocnice,10
jednacím sále,10
valdštejnského paláce,10
příjemné setkání,9
úvodní zdravice,8
malých hasičů,8
senátorské víno,8
ivo mrázek,8
mém senátním,8
druhé místo,8
starších žáků,8
sdh houdkovice,7
drahošem drábkem,7
zde již,7
hlavním organizátorem,7
bohoušem cermanem,7
mladší přípravky,7
hradci králové,7
tj sokol,7
kostelci orlicí,7
hlavním sále,6
dolní rovni,6
jirkou bolehovským,6
trestního práva,6
své zdravici,6
zdraví pohodě,6
všeho druhu,6
honza dušek,6
policie čr,6
čem povídat,6
ofs rk,6
mějte krásný,6
trestného činu,6
trestný čin,6
čas popovídat,6
český basketbal,6
požární útok,6
českého poháru,6
senátu parlamentu,6
sdh javornice,6
pdf uhk,6
black buřiňos,5
nemohli vynechat,5
dobrá nálada,5
dolní roveň,5
dohodli další,5
poděkování organizátorům,5
korejze blatinského,5
tavení skla,5
