n-gram,frekvence
dnes,33
ano,25
čr,21
zákon,19
pak,19
premiér,18
návrh,18
již,18
další,18
teď,17
sněmovně,17
právě,16
digitální,16
či,15
proti,14
sněmovny,13
všechny,13
služby,13
eu,13
vláda,13
třeba,13
let,13
více,11
identity,11
lidí,11
snad,11
veřejné,11
jeho,11
musí,11
1,11
opravdu,10
vše,10
2,10
den,10
eet,10
poslanecké,10
týden,10
podle,10
piráti,10
bych,10
než,9
ministryně,9
pirátů,9
zákona,9
právu,9
věci,9
vládě,9
open,9
rok,9
opět,9
stát,9
státu,9
jde,9
samozřejmě,9
mě,9
patří,8
pár,8
dokument,8
ods,8
babiš,8
sněmovnou,8
tedy,8
veřejnou,8
správu,8
výboru,8
lidi,8
dneska,8
sněmovna,8
možnost,8
stejně,7
vlády,7
poslanců,7
vůbec,7
čssd,7
rád,7
služeb,7
národní,7
dost,7
milionů,7
ministr,7
právu digitální,8
veřejnou správu,8
digitální služby,6
open source,6
zákona právu,5
poslanecké sněmovně,5
správu regionální,5
regionální rozvoj,5
bankovní identity,4
výboru veřejnou,4
portál občana,4
digitální službu,4
zákon právu,4
datové schránky,3
dva roky,3
návrh zákona,3
dobrá práce,3
již dnes,3
andrej babiš,3
veřejné správy,3
boj proti,3
andreje babiše,3
minulý týden,3
žádný dokument,3
veřejné správě,3
poslanci ano,3
pár let,3
1 den,3
jednací řád,3
hnutí ano,2
ministryně spravedlnosti,2
mobilních dat,2
ano čssd,2
evropské záležitosti,2
evropské rady,2
tram 17,2
prezidenta republiky,2
pár minut,2
minut poté,2
systému exekucí,2
poslanecké sněmovny,2
vojenská rozvědka,2
tisk 447,2
stavební řízení,2
omezení svobody,2
premiér andrej,2
pár týdnů,2
starší článek,2
pane premiére,2
köln sagt,2
first und,2
všech bank,2
rodičovského příspěvku,2
čas promluvit,2
promluvit padesátému,2
padesátému výročí,2
vládě andreje,2
ministryně financí,2
rozšíření eet,2
klíčový zákon,2
praní špinavých,2
špinavých peněz,2
čr navíc,2
rámci nia,2
již brzy,2
zasedání výboru,2
mnohem víc,2
vyslovení nedůvěry,2
prošel návrh,2
mém blogu,2
kosmickou dopravu,2
vaše banka,2
velkou radost,2
životní prostředí,2
akční plán,2
tisíc lidí,2
lidí exekuci,2
public money,2
money public,2
public code,2
zákona právu digitální,5
právu digitální služby,5
veřejnou správu regionální,5
správu regionální rozvoj,5
výboru veřejnou správu,4
návrh zákona právu,3
právu digitální službu,3
zákon právu digitální,3
pár minut poté,2
premiér andrej babiš,2
čas promluvit padesátému,2
promluvit padesátému výročí,2
vládě andreje babiše,2
praní špinavých peněz,2
zasedání výboru veřejnou,2
tisíc lidí exekuci,2
public money public,2
money public code,2
poslanci ano nemají,2
digitální technická mapa,2
výbor veřejnou správu,2
neporušil jednací řád,2
neměl žádný dokument,2
žádný dokument spadající,2
dokument spadající zákon,2
spadající zákon doporučuji,2
zákon doporučuji kvalitnější,2
doporučuji kvalitnější zdroje,2
čez čd další,2
národ geneticky určen,1
geneticky určen abychom,1
určen abychom hráli,1
abychom hráli větší,1
hráli větší roli,1
větší roli než,1
roli než doposud,1
než doposud řekl,1
doposud řekl premiér,1
řekl premiér čr,1
premiér čr tohoto,1
čr tohoto pána,1
tohoto pána slyšel,1
pána slyšel mnohé,1
slyšel mnohé stejně,1
mnohé stejně vyrazilo,1
stejně vyrazilo dech,1
vyrazilo dech opravdu,1
dech opravdu ostuda,1
opravdu ostuda větší,1
ostuda větší hanba,1
větší hanba delegátům,1
hanba delegátům hnutí,1
delegátům hnutí ano,1
hnutí ano zvolili,1
neuvěřitelné selhání vlády,1
selhání vlády měli,1
vlády měli ústavní,1
měli ústavní většinou,1
ústavní většinou upravit,1
většinou upravit statut,1
upravit statut mezinárodního,1
statut mezinárodního trestního,1
mezinárodního trestního soudu,1
trestního soudu namísto,1
soudu namísto nedorazila,1
namísto nedorazila ministryně,1
nedorazila ministryně spravedlnosti,1
