n-gram,frekvence
více než,26
české republiky,24
andrej babiš,23
hnutí ano,23
české republice,20
lidská práva,19
naší země,19
děkuji všem,19
víc než,18
díky všem,18
paní ministryně,17
pavel bělobrádek,17
nouzového stavu,17
naši zemi,17
vědy výzkumu,16
česká republika,16
vládní koalice,16
kontrolu činnosti,15
pan premiér,15
podle mě,15
andreje babiše,15
ano čssd,14
chtěl bych,14
tato vláda,14
evropské lidové,14
minulý týden,14
100 let,14
pozor vtip,14
premiér babiš,14
top 09,14
českou republiku,14
pátek sobotu,13
nouzový stav,13
vědu výzkum,13
svobodu demokracii,13
evropské unie,13
evropské unii,13
budu rád,13
cdu csu,13
právě teď,12
roce 2010,12
roztroušenou sklerózou,12
pán bůh,12
poslanecké sněmovně,12
ministr zdravotnictví,12
boji proti,12
komise kontrolu,12
jan sokol,12
the tap,12
tap tap,12
evropské komise,11
sociální služby,11
lidové strany,11
senát jim,11
topka stan,11
královéhradecký kraj,11
4 roky,11
poslanecké sněmovny,11
blby pozor,11
životního prostředí,11
státního rozpočtu,11
větší než,11
václava havla,11
lidských práv,11
evropská unie,11
pane bělobrádku,11
ach jo,10
jim nedáme,10
celou dobu,10
střetu zájmů,10
příští týden,10
královéhradeckého kraje,10
karel gott,10
ministr vnitra,10
světový den,10
mnoho let,10
naše země,10
papež františek,10
pracující rodiče,10
kandidátů předsedu,10
červeném kostelci,10
roce 2013,10
rozdíl mezi,9
činnosti bis,9
ústavní soud,9
zemřel karel,9
gott český,9
český slavík,9
slavík zlatý,9
zlatý hlas,9
hlas sovětské,9
sovětské estrády,9
estrády hlavní,9
hlavní symbol,9
symbol družby,9
družby národů,9
národů socialistického,9
socialistického tábora,9
20 let,9
současné době,9
the tap tap,12
evropské lidové strany,11
blby pozor vtip,11
senát jim nedáme,10
zemřel karel gott,9
karel gott český,9
gott český slavík,9
český slavík zlatý,9
slavík zlatý hlas,9
zlatý hlas sovětské,9
hlas sovětské estrády,9
sovětské estrády hlavní,9
estrády hlavní symbol,9
hlavní symbol družby,9
symbol družby národů,9
družby národů socialistického,9
národů socialistického tábora,9
větší než zisk,9
ep zvlášť kandidují,9
zvlášť kandidují cdu,9
kandidují cdu csu,9
kontrolu činnosti bis,8
zrušení superhrubé mzdy,8
odliv větší než,8
než zisk celé,8
zisk celé snílci,8
celé snílci tvrdých,8
snílci tvrdých dat,8
tvrdých dat sní,8
dat sní svůj,8
sní svůj sen,8
svůj sen ep,8
sen ep zvlášť,8
pán bůh zdravém,8
bůh zdravém rozumu,8
zdravém rozumu zachovati,8
rozumu zachovati ráčil,8
sk kontrolu činnosti,7
ano čssd ksčm,7
otázky václava moravce,7
komise kontrolu činnosti,7
debata kandidátů předsedu,7
stálá komise kontrolu,7
světlo věčné ať,7
prodloužení nouzového stavu,6
domov svatého josefa,6
dnes světový den,6
očima saši mitrofanova,6
vědu výzkum inovace,6
manželství registrované partnerství,6
výzkum vývoj inovace,6
proti domacimu nasili,6
pane světlo věčné,6
každé vychované dítě,6
premiér andrej babiš,5
viděl četl mluví,5
četl mluví civilním,5
mluví civilním svazku,5
civilním svazku manželství,5
svazku manželství registrované,5
registrované partnerství lgbt,5
partnerství lgbt patří,5
lgbt patří rodiny,5
patří rodiny mají,5
rodiny mají svoji,5
mají svoji důstojnost,5
svoji důstojnost nového,5
100 let vzniku,5
ochranu vody půdy,5
dej mu pane,5
marek orko vácha,5
hlasování nedůvěře vládě,5
věčné ať mu,5
ať mu svítí,5
mezinárodní folklorní festival,5
výuka rozesílání úkolů,5
rozesílání úkolů distanční,5
úkolů distanční výuka,5
vědy výzkumu inovací,4
výzkumu vývoje inovací,4
děkuji vaši podporu,4
situace stejná horší,4
stejná horší třeba,4
horší třeba úřednická,4
třeba úřednická vláda,4
úřednická vláda rusové,4
vláda rusové mohou,4
trestně stíhaným premiérem,4
velký kus práce,4
nebudeme vládní koalicí,4
vládní koalicí osobou,4
koalicí osobou trestní,4
osobou trestní stíhání,4
trestní stíhání zásadní,4
stíhání zásadní střety,4
zásadní střety zájmů,4
střety zájmů ohrožují,4
zájmů ohrožují fungování,4
ohrožují fungování tohoto,4
fungování tohoto státu,4
zemřel karel gott český,9
karel gott český slavík,9
gott český slavík zlatý,9
český slavík zlatý hlas,9
slavík zlatý hlas sovětské,9
zlatý hlas sovětské estrády,9
hlas sovětské estrády hlavní,9
sovětské estrády hlavní symbol,9
estrády hlavní symbol družby,9
hlavní symbol družby národů,9
symbol družby národů socialistického,9
družby národů socialistického tábora,9
ep zvlášť kandidují cdu,9
zvlášť kandidují cdu csu,9
odliv větší než zisk,8
větší než zisk celé,8
než zisk celé snílci,8
zisk celé snílci tvrdých,8
celé snílci tvrdých dat,8
snílci tvrdých dat sní,8
tvrdých dat sní svůj,8
dat sní svůj sen,8
sní svůj sen ep,8
svůj sen ep zvlášť,8
sen ep zvlášť kandidují,8
pán bůh zdravém rozumu,8
bůh zdravém rozumu zachovati,8
zdravém rozumu zachovati ráčil,8
pane světlo věčné ať,6
sk kontrolu činnosti bis,5
viděl četl mluví civilním,5
četl mluví civilním svazku,5
mluví civilním svazku manželství,5
civilním svazku manželství registrované,5
svazku manželství registrované partnerství,5
manželství registrované partnerství lgbt,5
registrované partnerství lgbt patří,5
partnerství lgbt patří rodiny,5
lgbt patří rodiny mají,5
patří rodiny mají svoji,5
rodiny mají svoji důstojnost,5
mají svoji důstojnost nového,5
světlo věčné ať mu,5
věčné ať mu svítí,5
výuka rozesílání úkolů distanční,5
rozesílání úkolů distanční výuka,5
situace stejná horší třeba,4
stejná horší třeba úřednická,4
horší třeba úřednická vláda,4
třeba úřednická vláda rusové,4
úřednická vláda rusové mohou,4
nebudeme vládní koalicí osobou,4
vládní koalicí osobou trestní,4
koalicí osobou trestní stíhání,4
osobou trestní stíhání zásadní,4
trestní stíhání zásadní střety,4
stíhání zásadní střety zájmů,4
zásadní střety zájmů ohrožují,4
střety zájmů ohrožují fungování,4
zájmů ohrožují fungování tohoto,4
ohrožují fungování tohoto státu,4
fungování tohoto státu nemá,4
tohoto státu nemá určitou,4
státu nemá určitou morální,4
nemá určitou morální integritu,4
vyloučena předvolební spolupráce demokratických,4
předvolební spolupráce demokratických stran,4
spolupráce demokratických stran černobílá,4
demokratických stran černobílá zkratka,4
