n-gram,frekvence
eu,52
dnes,44
děkuji,31
jejich,21
rád,21
prostředí,21
díky,20
teď,19
proti,19
zdraví,18
volby,17
musíme,17
podporu,17
potravin,16
právě,15
můžete,15
další,15
voleb,15
evropské,15
čr,14
lidí,14
parlamentu,14
budu,14
jinak,13
práce,13
týden,13
let,13
čssd,12
naše,12
stále,12
evropského,12
první,12
více,11
ano,11
zítra,11
spolupráci,11
dvojí,10
dál,10
aj,10
mě,10
hlasování,10
poslední,10
zvířat,10
výboru,10
kvůli,9
chtějí,9
ep,9
velmi,9
my,9
snad,9
ochraně,9
mezi,9
práci,9
hodně,9
hmyzu,9
projektu,9
bruselu,8
mají,8
sice,8
musí,8
naši,8
věřím,8
bych,8
budeme,8
posledních,8
česku,8
životní,8
bezpečnosti,8
komise,8
problém,8
všem,8
evropských,8
roli,8
den,8
kdyby,8
dělat,8
nejen,8
zemědělství,7
evropskou,7
měli,7
evropského parlamentu,10
životní prostředí,6
životního prostředí,6
evropskou komisí,4
právě teď,4
kvalita potravin,4
děkuji podporu,4
bezpečnosti potravin,4
volby evropského,4
dvojí kvalita,4
lídr kandidátky,4
životním prostředí,4
dvojí metr,3
potravinovém právu,3
minulý týden,3
dnes večer,3
příští týden,3
férovou evropu,3
bezpečnost potravin,3
proti rakovině,3
zpráva výboru,3
světový den,3
potravinového práva,3
boj proti,3
dvojí kvalitě,3
kvalitě potravin,3
čím dál,3
voleb evropského,3
budu moct,3
snížit emise,2
děkuji pozvání,2
přijďte dnes,2
máte chuť,2
via cc,2
obecném potravinovém,2
čr eu,2
ústí labem,2
témata čekají,2
špatná musí,2
lídra eurovoleb,2
lidovci chtějí,2
škody napáchané,2
eu voleb,2
půdě ep,2
evropská komise,2
alternativy chemickým,2
chemickým pesticidům,2
chemických látek,2
velké británie,2
členským státům,2
debata zákazu,2
lidovém domě,2
stále můžete,2
najdete zde,2
prsty průmyslu,2
inovační princip,2
zahájení kampaně,2
děkuji všem,2
spousta lidí,2
parlamentu blíží,2
evropských voleb,2
voleb 2019,2
časem podařilo,2
děkuji spolupráci,2
hormonální disruptory,2
budu komentovat,2
nepochopení neobratnost,2
skvělou práci,2
ohrožených druhů,2
přimět komisi,2
nebezpečných chemikálií,2
rád bych,2
více než,2
jednací sál,2
sledovat můžete,2
závěrečná zpráva,2
výboru koordinoval,2
máte rádi,2
downova syndromu,2
zdraví zvířat,2
volby evropského parlamentu,4
voleb evropského parlamentu,3
obecném potravinovém právu,2
alternativy chemickým pesticidům,2
evropského parlamentu blíží,2
evropských voleb 2019,2
závěrečná zpráva výboru,2
novou podobu potravinového,2
podobu potravinového práva,2
potravinového práva eu,2
boj proti dvojí,2
proti dvojí kvalitě,2
