n-gram,frekvence
dnes,121
senátu,98
jeho,80
pak,80
zákona,78
takže,76
pouze,68
kč,64
zákon,64
čr,62
této,62
proti,61
velmi,60
další,59
nemocnice,58
právě,57
finanční,53
či,53
své,52
již,52
všechny,50
soud,50
zde,50
tedy,49
premiér,47
mě,47
teď,45
senát,45
roce,45
ano,44
roku,43
eet,43
lidé,42
vše,41
soudu,41
nemocnici,41
neboť,41
návrh,40
babiš,40
jim,39
podle,39
než,39
stát,39
vlády,39
pan,38
jejich,38
premiéra,38
tato,37
české,37
věci,37
třeba,37
ústavní,36
kterou,36
nové,36
nikdo,35
celý,35
měl,35
naprosto,34
zcela,34
nejen,34
státní,33
dne,33
všem,33
prostě,33
době,33
babiše,32
jej,32
prezident,32
vláda,32
prezidenta,31
parlamentu,31
eu,30
tohoto,30
andrej,30
všech,29
také,29
naší,29
celé,29
bych,29
sám,29
andrej babiš,29
andreje babiše,25
parlamentu čr,25
ústavní soud,23
česká republika,22
paměť národa,20
finanční správa,19
české republiky,19
střetu zájmů,18
ústavního soudu,17
senát parlamentu,16
finanční správy,13
zcela jistě,13
zlínský kraj,12
pozměňovací návrh,11
novou nemocnici,11
nové nemocnice,11
střet zájmů,10
státní zástupce,10
zdanění církevních,10
forum karlín,9
evropské komise,9
nejvyššího státního,9
schůze senátu,9
církevních restitucí,9
pavel zeman,9
státního zástupce,9
pavla zemana,8
koncert paměť,8
daňových poradců,8
manželka jana,8
poslanecké sněmovně,8
rozhodnutí ústavního,7
pan premiér,7
žalobu prezidenta,7
trestního stíhání,7
trestní stíhání,7
krajští zastupitelé,7
bych chtěl,7
státního rozpočtu,7
finanční ředitelství,7
senátu parlamentu,7
senátní tisk,7
tomáš goláň,6
čro plus,6
této věci,6
zákona státních,6
státních zástupcích,6
alena schillerová,6
uherském hradišti,6
novelu zákona,6
nejvyššího správního,6
jana skončila,6
výběru daní,6
třeba uvědomit,6
státní rozpočet,6
czech republic,6
návrhu zákona,6
této země,6
miloš zeman,6
územní pracoviště,6
poslanecké sněmovny,6
předseda vlády,6
parlamentu české,6
neomezená data,6
vysokých školách,6
zákona daních,6
daních příjmů,6
nejvyšší správní,6
správní soud,6
investiční pobídky,6
roku 1989,5
žaloba prezidenta,5
duše zpívej,5
premiér babiš,5
andreji babišovi,5
mimo jiné,5
zasedání ústavně,5
tato situace,5
ústavnímu soudu,5
senát parlamentu čr,15
zdanění církevních restitucí,9
koncert paměť národa,8
nejvyššího státního zástupce,8
rozhodnutí ústavního soudu,7
senátu parlamentu čr,7
zákona státních zástupcích,6
manželka jana skončila,6
parlamentu české republiky,6
zákona daních příjmů,6
nejvyšší správní soud,6
ústavně právního výboru,5
zeleném salónku kolovratského,5
salónku kolovratského paláce,5
paměť národa 10,5
národa 10 km,5
10 km uherském,5
km uherském hradišti,5
komory daňových poradců,5
nejvyššího správního soudu,5
zlínský kraj czech,5
kraj czech republic,5
odvolací finanční ředitelství,5
akce česko svítí,5
česko svítí modře,5
schůze senátu parlamentu,5
soud české republiky,5
hrubé porušení ústavy,4
nejvyšší státní zástupce,4
senátu jiří růžička,4
výročí sametové revoluce,4
místopředsedou senátu jiřím,4
senátu jiřím růžičkou,4
společného semináře komory,4
semináře komory daňových,4
daňových poradců finanční,4
poradců finanční správy,4
finanční správy soudců,4
správy soudců nejvyššího,4
soudců nejvyššího správního,4
správního soudu půdě,4
soudu půdě nss,4
malenovice okres zlín,4
projekt paměť národa,4
ab private trust,4
uspořádání právní osobnosti,4
prezident miloš zeman,4
stíhání andreje babiše,4
znění pozdějších předpisů,4
poslanecká sněmovna parlamentu,4
sněmovna parlamentu české,4
dotace investiční pobídky,4
přesune peníze rozpočtu,4
strany pavla zemana,3
rámci výjezdního zasedání,3
výjezdního zasedání ústavně,3
zasedání ústavně právniho,3
ústavně právniho výboru,3
právniho výboru dnes,3
výboru dnes navštívili,3
dnes navštívili ústavní,3
navštívili ústavní soud,3
ústavní soud jeden,3
soud jeden mých,3
jeden mých nejsilnějších,3
mých nejsilnějších životních,3
nejsilnějších životních zážitků,3
životních zážitků probírali,3
zážitků probírali závaznost,3
probírali závaznost rozhodnutí,3
závaznost rozhodnutí ústavního,3
ústavního soudu celkově,3
soudu celkově jeho,3
střet zájmů premiéra,3
svůj střet zájmů,3
advokátů daňových poradců,3
daňové trestné činnosti,3
časté zapojení advokátů,3
čest jejich památce,3
evropské komise návrh,3
zeleném salónku kolovratského paláce,5
paměť národa 10 km,5
národa 10 km uherském,5
10 km uherském hradišti,5
zlínský kraj czech republic,5
akce česko svítí modře,5
schůze senátu parlamentu čr,5
místopředsedou senátu jiřím růžičkou,4
společného semináře komory daňových,4
semináře komory daňových poradců,4
komory daňových poradců finanční,4
daňových poradců finanční správy,4
poradců finanční správy soudců,4
finanční správy soudců nejvyššího,4
správy soudců nejvyššího správního,4
soudců nejvyššího správního soudu,4
nejvyššího správního soudu půdě,4
správního soudu půdě nss,4
poslanecká sněmovna parlamentu české,4
sněmovna parlamentu české republiky,4
rámci výjezdního zasedání ústavně,3
výjezdního zasedání ústavně právniho,3
zasedání ústavně právniho výboru,3
ústavně právniho výboru dnes,3
právniho výboru dnes navštívili,3
výboru dnes navštívili ústavní,3
dnes navštívili ústavní soud,3
navštívili ústavní soud jeden,3
ústavní soud jeden mých,3
soud jeden mých nejsilnějších,3
jeden mých nejsilnějších životních,3
mých nejsilnějších životních zážitků,3
nejsilnějších životních zážitků probírali,3
životních zážitků probírali závaznost,3
zážitků probírali závaznost rozhodnutí,3
probírali závaznost rozhodnutí ústavního,3
závaznost rozhodnutí ústavního soudu,3
rozhodnutí ústavního soudu celkově,3
ústavního soudu celkově jeho,3
louky zlínský kraj czech,3
samozřejmě malá část seniorů,3
4 odst 4 písm,3
andrej babiš střetu zájmů,3
dnes začala akce česko,3
začala akce česko svítí,3
práci měl sobě modré,3
měl sobě modré brýle,3
sobě modré brýle akorát,3
modré brýle akorát boty,3
brýle akorát boty modré,3
akorát boty modré nevyšly,3
boty modré nevyšly noci,3
modré nevyšly noci budeme,3
nevyšly noci budeme domě,3
noci budeme domě svítit,3
budeme domě svítit modře,3
běhu paměť národa 10,3
začala schůze senátu parlamentu,3
neomezená data neomezenou rychlostí,3
38l zákona daních příjmů,3
dnes připomíname výročí napadení,3
připomíname výročí napadení československa,3
výročí napadení československa nacistickým,3
napadení československa nacistickým německem,3
československa nacistickým německem zde,3
nacistickým německem zde zeleném,3
německem zde zeleném salónku,3
zde zeleném salónku kolovratského,3
salónku kolovratského paláce nejen,3
kolovratského paláce nejen září,3
paláce nejen září roku,3
nejen září roku 1938,3
září roku 1938 přijata,3
dotace investiční pobídky státní,3
investiční pobídky státní zakázky,3
ústavní soud české republiky,3
bodem programu informace vlády,3
programu informace vlády čr,3
přednést měl předseda vlády,3
měl předseda vlády andrej,3
paměť národa 10 km uherském,5
národa 10 km uherském hradišti,5
společného semináře komory daňových poradců,4
semináře komory daňových poradců finanční,4
komory daňových poradců finanční správy,4
daňových poradců finanční správy soudců,4
poradců finanční správy soudců nejvyššího,4
finanční správy soudců nejvyššího správního,4
správy soudců nejvyššího správního soudu,4
soudců nejvyššího správního soudu půdě,4
nejvyššího správního soudu půdě nss,4
poslanecká sněmovna parlamentu české republiky,4
rámci výjezdního zasedání ústavně právniho,3
výjezdního zasedání ústavně právniho výboru,3
zasedání ústavně právniho výboru dnes,3
ústavně právniho výboru dnes navštívili,3
právniho výboru dnes navštívili ústavní,3
výboru dnes navštívili ústavní soud,3
dnes navštívili ústavní soud jeden,3
navštívili ústavní soud jeden mých,3
ústavní soud jeden mých nejsilnějších,3
soud jeden mých nejsilnějších životních,3
jeden mých nejsilnějších životních zážitků,3
mých nejsilnějších životních zážitků probírali,3
nejsilnějších životních zážitků probírali závaznost,3
životních zážitků probírali závaznost rozhodnutí,3
zážitků probírali závaznost rozhodnutí ústavního,3
probírali závaznost rozhodnutí ústavního soudu,3
závaznost rozhodnutí ústavního soudu celkově,3
rozhodnutí ústavního soudu celkově jeho,3
louky zlínský kraj czech republic,3
dnes začala akce česko svítí,3
začala akce česko svítí modře,3
práci měl sobě modré brýle,3
měl sobě modré brýle akorát,3
sobě modré brýle akorát boty,3
modré brýle akorát boty modré,3
brýle akorát boty modré nevyšly,3
akorát boty modré nevyšly noci,3
boty modré nevyšly noci budeme,3
modré nevyšly noci budeme domě,3
nevyšly noci budeme domě svítit,3
noci budeme domě svítit modře,3
běhu paměť národa 10 km,3
začala schůze senátu parlamentu čr,3
dnes připomíname výročí napadení československa,3
připomíname výročí napadení československa nacistickým,3
výročí napadení československa nacistickým německem,3
napadení československa nacistickým německem zde,3
československa nacistickým německem zde zeleném,3
nacistickým německem zde zeleném salónku,3
německem zde zeleném salónku kolovratského,3
zde zeleném salónku kolovratského paláce,3
zeleném salónku kolovratského paláce nejen,3
salónku kolovratského paláce nejen září,3
kolovratského paláce nejen září roku,3
paláce nejen září roku 1938,3
nejen září roku 1938 přijata,3
dotace investiční pobídky státní zakázky,3
bodem programu informace vlády čr,3
přednést měl předseda vlády andrej,3
měl předseda vlády andrej babiš,3
úvod československého plesu puštěny záběry,2
československého plesu puštěny záběry shromáždění,2
plesu puštěny záběry shromáždění listopadu,2
puštěny záběry shromáždění listopadu roku,2
záběry shromáždění listopadu roku 1989,2
shromáždění listopadu roku 1989 letos,2
listopadu roku 1989 letos výročí,2
roku 1989 letos výročí úvod,2
1989 letos výročí úvod vystoupil,2
letos výročí úvod vystoupil předseda,2
výročí úvod vystoupil předseda senátu,2
úvod vystoupil předseda senátu pan,2
vystoupil předseda senátu pan kubera,2
koncert paměť národa doma michal,2
paměť národa doma michal pavlíček,2
národa doma michal pavlíček hudba,2
doma michal pavlíček hudba praha,2
michal pavlíček hudba praha jasná,2
