n-gram,frekvence
města,57
ostravě,40
ostrava,39
ostravy,36
již,35
dnes,33
let,21
další,21
fakt,21
nové,20
náměstí,19
město,19
třeba,18
roce,16
stavět,16
čr,15
díky,15
než,15
pane,15
roky,15
rámci,14
no,14
přes,14
právě,13
prosím,13
roku,13
máte,13
ano,13
ostravu,12
stále,12
letos,12
pak,12
také,12
poslední,12
jde,11
těch,11
tady,11
rok,11
určitě,11
hlavně,11
musí,11
mezi,11
bych,11
první,11
více,10
dobře,10
práce,10
centru,10
jeden,10
cng,10
centrum,10
jinak,10
jejich,10
cca,10
radnice,10
mhd,10
3,10
podle,10
koncertní,10
městě,9
nikdo,9
všechny,9
pět,9
myslím,9
ta,9
prostoru,9
mají,9
svůj,9
době,9
teď,9
aktuálně,9
novou,9
dalších,9
mě,9
můžete,9
řešení,9
své,9
tři,9
počet,9
míst,9
pane primátore,8
veřejného prostoru,7
nové radnice,6
masarykovo náměstí,4
města ostravy,4
našeho města,4
vážený pane,4
integrovaná povolení,4
3 roky,4
centru města,4
masarykově náměstí,4
reklamní smog,4
tři roky,4
projektu sametova,3
koksovně svoboda,3
nadlimitní čištění,3
již dříve,3
řeky ostravice,3
miloše sýkory,3
městský ateliér,3
fakultní nemocnici,3
vedení města,3
roční koncentrace,3
veřejný prostor,3
černá kostka,3
útlum těžby,3
životní prostředí,3
svůj střet,3
střet zájmů,3
masarykova náměstí,3
fajnovy prostor,3
mld kč,3
17 hodin,3
pracovních míst,3
paní náměstkyně,3
čtvrt století,3
architektonickou soutěž,3
parkovací domy,3
ode dneška,3
nové koncertní,3
koncertní haly,3
koncertní halu,3
svém profilu,3
30 let,2
našem městě,2
takové excesy,2
ostravě město,2
pět milionů,2
milionů korun,2
6 let,2
dříve než,2
celém městě,2
několik let,2
tohoto roku,2
již brzy,2
svůj vlastní,2
ostravy pár,2
velmi dobré,2
břeh řeky,2
mostu miloše,2
plánovat opravy,2
prostorového plánování,2
plánování architektury,2
náměstkyně primátora,2
bus cng,2
dalších 200,2
200 kol,2
velký příběh,2
in memoriam,2
generální ředitel,2
černou louku,2
půl roku,2
krajsky urad,2
emitovaných škodlivin,2
kú msk,2
ekologické zátěže,2
pan primátor,2
cca 20,2
průměrná roční,2
koncentrace prachu,2
svůj střet zájmů,3
nové koncertní haly,3
břeh řeky ostravice,2
mostu miloše sýkory,2
prostorového plánování architektury,2
dalších 200 kol,2
průměrná roční koncentrace,2
roční koncentrace prachu,2
vážený pane macuro,2
vyřešil svůj střet,2
zpřísnil integrovaná povolení,2
provoz koksovny svoboda,2
hledáme nového městského,2
nového městského cyklokoordinátora,2
volných pracovních míst,2
městský ateliér mappa,2
festivalu krajinářské architektury,2
poslední tři roky,2
správy městských financí,2
útoku fakultní nemocnici,2
mistrovství světa para,2
světa para hokeji,2
jít duel mm,2
novou koncertní halu,2
návrhu nové koncertní,2
sedmdesát pět let,2
výročí sametové revoluce,2
měl zajímal unit,1
zajímal unit cost,1
unit cost snížení,1
cost snížení polétavého,1
snížení polétavého prachu,1
polétavého prachu mikrogram,1
prachu mikrogram zatím,1
mikrogram zatím efektivní,1
zatím efektivní nejste,1
smog nechte doma,1
nechte doma jeďte,1
doma jeďte raději,1
medaile nakonec necinkla,1
nakonec necinkla přesto,1
necinkla přesto naši,1
přesto naši parahokejisti,1
naši parahokejisti svým,1
parahokejisti svým nasazením,1
svým nasazením srdcem,1
nasazením srdcem nadchnuli,1
srdcem nadchnuli celou,1
nadchnuli celou ostravu,1
celou ostravu skončit,1
ostravu skončit šampionátu,1
skončit šampionátu nejlepší,1
šampionátu nejlepší ryze,1
nejlepší ryze amatérský,1
ryze amatérský tým,1
amatérský tým světa,1
tým světa přece,1
světa přece bomba,1
přece bomba hoši,1
bomba hoši děkujeme,1
socha milicionáře vrátila,1
milicionáře vrátila masarykovo,1
vrátila masarykovo náměstí,1
masarykovo náměstí dříve,1
náměstí dříve náměstí,1
dříve náměstí lidových,1
náměstí lidových milicí,1
lidových milicí naštěstí,1
milicí naštěstí dočasně,1
naštěstí dočasně vyvrcholení,1
dočasně vyvrcholení projektu,1
vyvrcholení projektu sametova,1
projektu sametova dnech,1
sametova dnech více,1
dnech více programu,1
více programu oslav,1
programu oslav 30,1
oslav 30 let,1
30 let svobody,1
let svobody našem,1
průměrná roční koncentrace prachu,2
vyřešil svůj střet zájmů,2
hledáme nového městského cyklokoordinátora,2
mistrovství světa para hokeji,2
návrhu nové koncertní haly,2
měl zajímal unit cost,1
zajímal unit cost snížení,1
unit cost snížení polétavého,1
cost snížení polétavého prachu,1
snížení polétavého prachu mikrogram,1
polétavého prachu mikrogram zatím,1
prachu mikrogram zatím efektivní,1
mikrogram zatím efektivní nejste,1
smog nechte doma jeďte,1
nechte doma jeďte raději,1
medaile nakonec necinkla přesto,1
nakonec necinkla přesto naši,1
necinkla přesto naši parahokejisti,1
přesto naši parahokejisti svým,1
naši parahokejisti svým nasazením,1
parahokejisti svým nasazením srdcem,1
svým nasazením srdcem nadchnuli,1
nasazením srdcem nadchnuli celou,1
srdcem nadchnuli celou ostravu,1
nadchnuli celou ostravu skončit,1
celou ostravu skončit šampionátu,1
ostravu skončit šampionátu nejlepší,1
skončit šampionátu nejlepší ryze,1
šampionátu nejlepší ryze amatérský,1
nejlepší ryze amatérský tým,1
ryze amatérský tým světa,1
amatérský tým světa přece,1
tým světa přece bomba,1
světa přece bomba hoši,1
přece bomba hoši děkujeme,1
socha milicionáře vrátila masarykovo,1
milicionáře vrátila masarykovo náměstí,1
vrátila masarykovo náměstí dříve,1
masarykovo náměstí dříve náměstí,1
náměstí dříve náměstí lidových,1
dříve náměstí lidových milicí,1
náměstí lidových milicí naštěstí,1
lidových milicí naštěstí dočasně,1
milicí naštěstí dočasně vyvrcholení,1
naštěstí dočasně vyvrcholení projektu,1
dočasně vyvrcholení projektu sametova,1
vyvrcholení projektu sametova dnech,1
projektu sametova dnech více,1
sametova dnech více programu,1
dnech více programu oslav,1
více programu oslav 30,1
programu oslav 30 let,1
oslav 30 let svobody,1
30 let svobody našem,1
let svobody našem městě,1
čemu nerozumíte mluvíme celou,1
nerozumíte mluvíme celou dobu,1
mluvíme celou dobu mimořádné,1
celou dobu mimořádné havárii,1
dobu mimořádné havárii koksovně,1
mimořádné havárii koksovně svoboda,1
havárii koksovně svoboda minulého,1
koksovně svoboda minulého týdne,1
svoboda minulého týdne třeba,1
minulého týdne třeba přijmout,1
týdne třeba přijmout taková,1
třeba přijmout taková opatření,1
přijmout taková opatření takové,1
taková opatření takové excesy,1
opatření takové excesy kousek,1
takové excesy kousek centra,1
excesy kousek centra města,1
kousek centra města neopakovaly,1
centra města neopakovaly nepochopení,1
ostrava vydává manuál poradí,1
vydává manuál poradí skloubit,1
manuál poradí skloubit efektivní,1
poradí skloubit efektivní vkusnou,1
skloubit efektivní vkusnou reklamu,1
efektivní vkusnou reklamu čistým,1
měl zajímal unit cost snížení,1
zajímal unit cost snížení polétavého,1
unit cost snížení polétavého prachu,1
cost snížení polétavého prachu mikrogram,1
snížení polétavého prachu mikrogram zatím,1
polétavého prachu mikrogram zatím efektivní,1
prachu mikrogram zatím efektivní nejste,1
smog nechte doma jeďte raději,1
medaile nakonec necinkla přesto naši,1
nakonec necinkla přesto naši parahokejisti,1
necinkla přesto naši parahokejisti svým,1
přesto naši parahokejisti svým nasazením,1
naši parahokejisti svým nasazením srdcem,1
parahokejisti svým nasazením srdcem nadchnuli,1
svým nasazením srdcem nadchnuli celou,1
nasazením srdcem nadchnuli celou ostravu,1
srdcem nadchnuli celou ostravu skončit,1
nadchnuli celou ostravu skončit šampionátu,1
celou ostravu skončit šampionátu nejlepší,1
ostravu skončit šampionátu nejlepší ryze,1
skončit šampionátu nejlepší ryze amatérský,1
šampionátu nejlepší ryze amatérský tým,1
nejlepší ryze amatérský tým světa,1
ryze amatérský tým světa přece,1
amatérský tým světa přece bomba,1
tým světa přece bomba hoši,1
světa přece bomba hoši děkujeme,1
socha milicionáře vrátila masarykovo náměstí,1
milicionáře vrátila masarykovo náměstí dříve,1
vrátila masarykovo náměstí dříve náměstí,1
masarykovo náměstí dříve náměstí lidových,1
náměstí dříve náměstí lidových milicí,1
dříve náměstí lidových milicí naštěstí,1
náměstí lidových milicí naštěstí dočasně,1
lidových milicí naštěstí dočasně vyvrcholení,1
milicí naštěstí dočasně vyvrcholení projektu,1
naštěstí dočasně vyvrcholení projektu sametova,1
dočasně vyvrcholení projektu sametova dnech,1
vyvrcholení projektu sametova dnech více,1
projektu sametova dnech více programu,1
sametova dnech více programu oslav,1
dnech více programu oslav 30,1
více programu oslav 30 let,1
programu oslav 30 let svobody,1
oslav 30 let svobody našem,1
30 let svobody našem městě,1
čemu nerozumíte mluvíme celou dobu,1
nerozumíte mluvíme celou dobu mimořádné,1
mluvíme celou dobu mimořádné havárii,1
celou dobu mimořádné havárii koksovně,1
dobu mimořádné havárii koksovně svoboda,1
mimořádné havárii koksovně svoboda minulého,1
havárii koksovně svoboda minulého týdne,1
koksovně svoboda minulého týdne třeba,1
svoboda minulého týdne třeba přijmout,1
minulého týdne třeba přijmout taková,1
týdne třeba přijmout taková opatření,1
třeba přijmout taková opatření takové,1
přijmout taková opatření takové excesy,1
taková opatření takové excesy kousek,1
opatření takové excesy kousek centra,1
takové excesy kousek centra města,1
excesy kousek centra města neopakovaly,1
kousek centra města neopakovaly nepochopení,1
ostrava vydává manuál poradí skloubit,1
vydává manuál poradí skloubit efektivní,1
manuál poradí skloubit efektivní vkusnou,1
poradí skloubit efektivní vkusnou reklamu,1
skloubit efektivní vkusnou reklamu čistým,1
efektivní vkusnou reklamu čistým veřejným,1
vkusnou reklamu čistým veřejným prostorem,1
reklamu čistým veřejným prostorem cílem,1
čistým veřejným prostorem cílem dostat,1
veřejným prostorem cílem dostat ulic,1
prostorem cílem dostat ulic nevzhledné,1
cílem dostat ulic nevzhledné plachty,1
dostat ulic nevzhledné plachty plakáty,1
nepletu soutěž dvakrát zrušena nikdo,1
soutěž dvakrát zrušena nikdo nepřihlásil,1
dvakrát zrušena nikdo nepřihlásil mohu,1
