n-gram,frekvence
hnutí spd,8887
tomio okamura,3266
české republiky,2332
našeho hnutí,2273
přímá demokracie,2181
svoboda přímá,2115
hnutí svoboda,2098
demokracie spd,2025
myslíte vy,1937
evropské unie,1810
více než,1793
hnutí ano,1785
napište komentářů,1744
naše hnutí,1691
názory našeho,1687
prosím sdílejte,1528
vy napište,1494
české republice,1427
sledujte také,1324
souhlasíte prosím,1323
česká republika,1267
komentářů jestli,1225
petra fialy,1225
mnou souhlasíte,1218
jestli mnou,1217
ano čssd,1197
evropská unie,1164
sdílejte ať,1108
nejvíce lidí,1091
dozví nejvíce,1061
ať názory,1041
spd dozví,1041
přeji ať,1011
miliard korun,984
poslanecké sněmovně,957
poslanecké sněmovny,956
větší sílu,955
ať daří,955
jestli souhlasíte,950
děkuji navštívili,943
navštívili profil,943
profil přeji,938
přeji hezký,928
sílu prosadit,907
ruku dílu,905
čím více,903
našimi členy,899
jestli byste,896
dílu staňte,891
byste rádi,890
rádi přiložili,890
přiložili přímo,890
alespoň malinko,890
staňte našimi,890
elektronický formulář,890
přímo alespoň,889
malinko ruku,889
také mém,887
prosadit naše,883
či hnutí,881
stran či,877
hnutí čr,877
tisíc jednou,876
jednou pěti,876
pěti nejpočetnějších,876
nejpočetnějších stran,876
čr elektronický,876
více budeme,875
musíme spojit,873
budeme větší,872
naše myšlenky,871
netříštit síly,859
síly čím,859
spojit netříštit,857
sněmovně také,835
také všechny,827
mém youtube,824
youtube kanálu,824
našimi názory,823
mobilní telefony,821
souhlasíte našimi,821
spd nyní,820
názory chce,820
chce sledovat,820
sledovat můžete,820
můžete zaregistrovat,820
zaregistrovat mém,820
kanálu lze,819
lze kdykoliv,819
kdykoliv snadno,819
snadno přehrát,819
aktuální videoblogy,818
přehrát všechny,817
všechny projevy,817
projevy poslanecké,817
všechny aktuální,817
aplikaci mobilní,816
telefony systém,816
systém android,816
pohodlně ruce,815
svoboda přímá demokracie,2114
hnutí svoboda přímá,2097
přímá demokracie spd,2021
názory našeho hnutí,1687
myslíte vy napište,1481
vy napište komentářů,1476
souhlasíte prosím sdílejte,1321
napište komentářů jestli,1224
jestli mnou souhlasíte,1216
našeho hnutí svoboda,1216
mnou souhlasíte prosím,1208
komentářů jestli mnou,1158
prosím sdílejte ať,1104
dozví nejvíce lidí,1061
sdílejte ať názory,1041
ať názory našeho,1041
spd dozví nejvíce,1041
demokracie spd dozví,1037
našeho hnutí spd,975
děkuji navštívili profil,943
navštívili profil přeji,938
profil přeji ať,936
přeji ať daří,906
větší sílu prosadit,903
ruku dílu staňte,891
rádi přiložili přímo,890
dílu staňte našimi,890
staňte našimi členy,890
přiložili přímo alespoň,889
přímo alespoň malinko,889
alespoň malinko ruku,889
malinko ruku dílu,889
jestli byste rádi,887
byste rádi přiložili,887
jednou pěti nejpočetnějších,876
pěti nejpočetnějších stran,876
nejpočetnějších stran či,876
stran či hnutí,876
či hnutí čr,876
hnutí čr elektronický,876
čr elektronický formulář,876
tisíc jednou pěti,875
sílu prosadit naše,875
čím více budeme,872
více budeme větší,872
budeme větší sílu,872
prosadit naše myšlenky,870
netříštit síly čím,859
síly čím více,859
musíme spojit netříštit,857
spojit netříštit síly,857
mém youtube kanálu,824
souhlasíte našimi názory,821
jestli souhlasíte našimi,820
našimi názory chce,820
názory chce sledovat,820
chce sledovat můžete,820
sledovat můžete zaregistrovat,820
můžete zaregistrovat mém,820
zaregistrovat mém youtube,820
