n-gram,frekvence
dopravní,171
dopravy,167
d1,154
řsd,139
km,136
dálnic,126
dálnice,115
roku,108
silnic,107
dnes,102
systému,100
také,91
nového,88
mezi,82
roce,81
systém,74
ředitelství,73
mýtného,73
kč,72
železniční,69
více,68
úsek,67
nový,67
než,67
stavby,66
rok,65
nové,64
dalších,64
další,63
staveb,61
všechny,59
silnicích,58
ministerstvo,57
jednání,56
modernizace,55
rozhodnutí,54
chci,54
nyní,54
první,53
provozu,52
let,51
řidiče,50
úseku,50
již,50
čr,49
nových,48
dopravních,47
práce,47
000,47
české,46
řidiči,46
korun,46
výstavby,46
dálniční,45
kilometrů,45
přes,45
jejich,44
budeme,44
infrastruktury,43
společně,43
nádraží,42
rámci,42
zde,42
plavební,41
obchvatu,40
d3,40
omezení,40
musí,40
cesty,40
díky,39
vozidel,39
zákona,39
mě,39
řidičům,38
silnice,38
dálnici,38
správa,38
praha,37
stavbu,37
opatření,37
silnic dálnic,71
ředitelství silnic,60
dálnic řsd,53
mýtného systému,50
ministerstvo dopravy,49
nového mýtného,39
000 kč,38
mýtný systém,31
dopravní infrastruktury,31
více než,30
správa železniční,30
železniční dopravní,30
dopravní cesty,30
české republiky,29
dopravní hlášení,28
příští rok,24
nový mýtný,21
dopravních staveb,19
konce roku,18
novelu zákona,18
vodních cest,18
silnic třídy,18
současné době,17
spuštění nového,17
nového systému,17
modernizace d1,16
příštího roku,16
dálnice d1,16
mld kč,15
mezi prahou,15
tisíc vozidel,14
modernizaci d1,13
ředitelství vodních,13
dopravní stavby,13
vysokorychlostních tratí,13
dálnice d3,13
silnicích třídy,13
příštím roce,13
negrelliho viaduktu,12
urychlení výstavby,12
roku 2021,12
nových dálnic,12
dálnic silnic,12
nádražních budov,12
úsek dálnice,12
milionů korun,11
ministerstvu dopravy,11
celé republice,11
letošního roku,11
prodloužená rudná,11
železničních přejezdů,11
našich silnicích,11
územní rozhodnutí,10
palubních jednotek,10
ministr dopravy,10
najdete webu,10
část obchvatu,10
státní plavební,10
generálním ředitelem,10
km dálnic,10
všechny dopravce,10
českých budějovic,9
modernizace trati,9
zvýší bezpečnost,9
celkové délce,9
dopravní omezení,9
českých dálnicích,9
roku 2022,9
nový systém,9
zahájili stavbu,9
ministra dopravy,9
poslední chvíli,9
výběru mýta,9
zdravotním postižením,9
mém facebookovém,8
facebookovém profilu,8
ode dneška,8
železniční stanice,8
dlouhý úsek,8
měst obcí,8
ředitelství silnic dálnic,60
silnic dálnic řsd,53
nového mýtného systému,38
správa železniční dopravní,30
železniční dopravní cesty,30
nový mýtný systém,21
ředitelství vodních cest,13
spuštění nového mýtného,11
mém facebookovém profilu,8
kdyby cokoliv dopravy,8
cokoliv dopravy zajímalo,8
dopravy zajímalo neváhejte,8
zajímalo neváhejte napsat,8
státního fondu dopravní,8
fondu dopravní infrastruktury,8
vodních cest české,8
cest české republiky,8
neváhejte napsat tady,7
napsat tady facebooku,7
dálnic silnic třídy,7
prague airport letiště,7
kilometrů nových dálnic,6
spuštění nového systému,6
airport letiště praha,6
úsek dálnice d3,6
přípravy dopravních staveb,5
d1 modernizace úsek,5
vltavské vodní cestě,5
schválili novelu zákona,5
omezení související modernizací,5
novém mýtném systému,5
tady facebooku snažím,5
facebooku snažím odpovídat,5
snažím odpovídat mějte,5
odpovídat mějte fajn,5
výstavby dopravní infrastruktury,5
státní plavební správy,5
novostavby silnicích tříd,5
chci poděkovat všem,5
dunaj odra labe,5
mezi prahou brnem,5
zabezpečení železničních přejezdů,5
řízení letového provozu,5
letového provozu čr,5
další dopravní hlášení,5
osob zdravotním postižením,5
rekonstrukcí nádražních budov,5
mezi ševětínem borkem,5
státní plavební správa,5
úsek 12 humpolec,4
12 humpolec větrný,4
humpolec větrný jeníkov,4
premiérem andrej babiš,4
nové palubní jednotky,4
schválila novelu zákona,4
dopravní omezení související,4
novelu zákona dráhách,4
strategických dopravních staveb,4
silnice třanovice nebory,4
novým generálním ředitelem,4
modernizace mostu vysočina,4
listopadu příštího roku,4
příštího roku jejím,4
roku jejím rámci,4
jejím rámci dojde,4
rámci dojde snížení,4
dojde snížení hluku,4
nových dálničních úseků,4
úspěšně spustili nový,4
satelitní mýtný systém,4
dálnic řsd správa,4
řsd správa železniční,4
800 280 281,4
krajského soudu brně,4
české kanceláře pojistitelů,4
km silnic třídy,4
plnění mýtné smlouvy,4
realizaci nového tendru,4
apeluji všechny dopravce,4
registraci poslední chvíli,4
ředitelství silnic dálnic řsd,53
správa železniční dopravní cesty,30
spuštění nového mýtného systému,11
kdyby cokoliv dopravy zajímalo,8
cokoliv dopravy zajímalo neváhejte,8
dopravy zajímalo neváhejte napsat,8
státního fondu dopravní infrastruktury,8
ředitelství vodních cest české,8
vodních cest české republiky,8
zajímalo neváhejte napsat tady,7
neváhejte napsat tady facebooku,7
prague airport letiště praha,6
napsat tady facebooku snažím,5
tady facebooku snažím odpovídat,5
facebooku snažím odpovídat mějte,5
snažím odpovídat mějte fajn,5
řízení letového provozu čr,5
úsek 12 humpolec větrný,4
12 humpolec větrný jeníkov,4
dopravní omezení související modernizací,4
listopadu příštího roku jejím,4
příštího roku jejím rámci,4
roku jejím rámci dojde,4
jejím rámci dojde snížení,4
rámci dojde snížení hluku,4
silnic dálnic řsd správa,4
dálnic řsd správa železniční,4
řsd správa železniční dopravní,4
poslanecká sněmovna parlamentu české,4
sněmovna parlamentu české republiky,4
mezi humpolcem větrným jeníkovem,4
mimoúrovňové křižovatky palackého silnici,4
ním další dopravní hlášení,4
pátek mém facebookovém profilu,4
d3 mezi ševětínem borkem,4
km dálnic silnic třídy,4
dále modernizujeme km d1,4
km tvoří novostavby silnicích,4
tvoří novostavby silnicích tříd,4
první část obchvatu slaného,4
zvýšení rychlosti průjezdu vlaku,3
rychlosti průjezdu vlaku zvýší,3
průjezdu vlaku zvýší bezpečnost,3
vlaku zvýší bezpečnost železniční,3
zvýší bezpečnost železniční dopravy,3
bezpečnost železniční dopravy především,3
železniční dopravy především pak,3
dopravy především pak komfort,3
především pak komfort cestujících,3
dopravní hlášení páteční dopravní,3
hlášení páteční dopravní hlášení,3
dobu přípravy dopravních staveb,3
novelu zákona zjednodušení provozování,3
zákona zjednodušení provozování taxislužby,3
zjednodušení provozování taxislužby umožní,3
kilometrů současné době zprovozněno,3
spouštíme nový mýtný systém,3
železniční dopravní cesty připravila,3
schválili návrh vyhlášky umožní,3
připravovanou pražskou linku metra,3
generálním ředitelem ředitelství silnic,3
ředitelem ředitelství silnic dálnic,3
člověkem dokáže zkracovat doby,3
dokáže zkracovat doby výstavby,3
oprav nalezne prosadí řešení,3
nalezne prosadí řešení blokovaných,3
prosadí řešení blokovaných staveb,3
zásadní modernizace mostu vysočina,3
úspěšně spustili nový mýtný,3
spustili nový mýtný systém,3
asistenční lince 800 280,3
lince 800 280 281,3
chytré technologie pomáhají dopravě,3
nového mýtného systému prosinci,3
mýtného systému prosinci 2019,3
snažíme prokázat lhůta 12,3
prokázat lhůta 12 měsíců,3
lhůta 12 měsíců realizaci,3
12 měsíců realizaci nového,3
měsíců realizaci nového tendru,3
kdyby cokoliv dopravy zajímalo neváhejte,8
cokoliv dopravy zajímalo neváhejte napsat,8
ředitelství vodních cest české republiky,8
dopravy zajímalo neváhejte napsat tady,7
zajímalo neváhejte napsat tady facebooku,7
neváhejte napsat tady facebooku snažím,5
napsat tady facebooku snažím odpovídat,5
tady facebooku snažím odpovídat mějte,5
facebooku snažím odpovídat mějte fajn,5
úsek 12 humpolec větrný jeníkov,4
listopadu příštího roku jejím rámci,4
příštího roku jejím rámci dojde,4
roku jejím rámci dojde snížení,4
jejím rámci dojde snížení hluku,4
ředitelství silnic dálnic řsd správa,4
silnic dálnic řsd správa železniční,4
dálnic řsd správa železniční dopravní,4
řsd správa železniční dopravní cesty,4
poslanecká sněmovna parlamentu české republiky,4
km tvoří novostavby silnicích tříd,4
zvýšení rychlosti průjezdu vlaku zvýší,3
rychlosti průjezdu vlaku zvýší bezpečnost,3
průjezdu vlaku zvýší bezpečnost železniční,3
vlaku zvýší bezpečnost železniční dopravy,3
zvýší bezpečnost železniční dopravy především,3
bezpečnost železniční dopravy především pak,3
železniční dopravy především pak komfort,3
dopravy především pak komfort cestujících,3
dopravní hlášení páteční dopravní hlášení,3
novelu zákona zjednodušení provozování taxislužby,3
zákona zjednodušení provozování taxislužby umožní,3
správa železniční dopravní cesty připravila,3
generálním ředitelem ředitelství silnic dálnic,3
ředitelem ředitelství silnic dálnic řsd,3
člověkem dokáže zkracovat doby výstavby,3
oprav nalezne prosadí řešení blokovaných,3
nalezne prosadí řešení blokovaných staveb,3
úspěšně spustili nový mýtný systém,3
asistenční lince 800 280 281,3
nového mýtného systému prosinci 2019,3
snažíme prokázat lhůta 12 měsíců,3
prokázat lhůta 12 měsíců realizaci,3
lhůta 12 měsíců realizaci nového,3
12 měsíců realizaci nového tendru,3
měsíců realizaci nového tendru nedostačující,3
realizaci nového tendru nedostačující zákaz,3
nového tendru nedostačující zákaz plnění,3
tendru nedostačující zákaz plnění neměl,3
miloš zeman prezident české republiky,3
červenci srážce vlaku automobilem tragicky,3
srážce vlaku automobilem tragicky zahynula,3
vlaku automobilem tragicky zahynula čtyřčlenná,3
automobilem tragicky zahynula čtyřčlenná rodina,3
tragicky zahynula čtyřčlenná rodina sždc,3
první pololetí letošního roku sždc,3
pololetí letošního roku sždc osadilo,3
letošního roku sždc osadilo 15,3
roku sždc osadilo 15 přejezdů,3
sždc osadilo 15 přejezdů novými,3
osadilo 15 přejezdů novými závorami,3
snažím odpovídat mějte fajn užijte,3
odpovídat mějte fajn užijte klidný,3
mějte fajn užijte klidný víkend,3
d1 mezi humpolcem větrným jeníkovem,3
národní radou osob zdravotním postižením,3
dostavbu mimoúrovňové křižovatky palackého silnici,3
hotova listopadu příštího roku jejím,3
rámci dojde snížení hluku místní,3
dojde snížení hluku místní obyvatele,3
snížení hluku místní obyvatele trápí,3
pátek ním další dopravní hlášení,3
nová trať mohla zkrátit cestu,3
trať mohla zkrátit cestu vlakem,3
mohla zkrátit cestu vlakem mezi,3
zkrátit cestu vlakem mezi brnem,3
cestu vlakem mezi brnem znojmem,3
vlakem mezi brnem znojmem 30,3
mezi brnem znojmem 30 minut,3
transformaci ředitelství silnic dálnic řsd,3
ředitelství silnic dálnic řsd akciovou,3
