n-gram,frekvence
také,200
praze,159
prahy,149
praha,119
díky,106
města,82
teď,78
mě,77
dnes,76
roku,72
prahu,70
třeba,68
náměstí,65
adam,62
jejich,59
chceme,57
práce,56
děkuji,56
město,54
můžete,54
rád,54
budeme,53
radní,53
například,52
takže,51
pak,50
tady,48
pan,47
bydlení,46
navíc,45
jinak,45
jeho,45
roce,45
metra,45
podle,45
více,44
scheinherr,44
dopravu,44
totiž,43
své,43
další,43
práci,42
spolupráci,42
lidí,42
let,41
samozřejmě,40
magistrátu,40
mezi,40
všechny,39
dopravní,39
rámci,38
osobně,37
městských,37
den,36
naše,35
měl,35
ano,35
tedy,34
první,34
centru,34
mají,34
bych,34
lidé,33
přes,33
opravdu,33
problém,32
jednání,32
řešit,31
jde,31
náměstek,31
prostoru,31
během,31
bytů,31
opět,31
metro,31
pražských,31
mohli,30
řešení,30
stromů,30
měli,30
adam scheinherr,41
dopravu adam,20
pan premiér,19
hlavního města,19
města prahy,18
adam zábranský,17
smart city,14
metra d,12
dopravní podnik,12
dobrý den,12
hanka trestikova,11
podnik hlavního,11
vedení města,11
petr hlaváček,11
václavské náměstí,10
radní kulturu,10
městské části,10
jan chabr,10
pavel vyhnánek,10
dobrou práci,9
městských částí,9
městských bytů,9
trojské lávky,9
milionů kč,8
centrum prahy,8
jelení příkop,8
petr hlubuček,8
vyhlášky buskingu,8
praha 1,8
tohoto roku,8
veřejného prostoru,8
náměstek dopravu,8
pivní kola,8
bydlení adam,8
radní bydlení,8
staroměstském náměstí,8
vít šimral,8
metro d,8
andrej babiš,7
více info,7
bychom měli,7
říká radní,7
institut plánování,7
plánování rozvoje,7
rozvoje prahy,7
prahy ipr,7
konce roku,7
30 let,7
mrzí mě,7
umělé inteligence,7
příštího roku,7
dopravní náměstek,7
100 milionů,6
bychom mohli,6
zajímá mě,6
mě názor,6
veřejném prostoru,6
kulturu hanka,6
milion stromů,6
městské byty,6
nového roku,6
zdeněk hřib,6
jeleního příkopu,6
roku 2020,6
pražský primátor,6
bydlení praze,6
stavby metra,6
české republiky,6
pana premiéra,6
karlův most,6
radní školství,6
prahu pražany,6
budeme rádi,6
mariánském náměstí,6
náměstkem dopravu,6
úřednické ghetto,6
000 kč,6
scheinherr dopravní,6
děkuji všem,6
mariánského sloupu,6
dopravu adam scheinherr,19
hlavního města prahy,17
dopravní podnik hlavního,11
podnik hlavního města,11
bydlení adam zábranský,8
náměstek dopravu adam,7
institut plánování rozvoje,7
plánování rozvoje prahy,7
rozvoje prahy ipr,7
zajímá mě názor,6
kulturu hanka trestikova,6
adam scheinherr dopravní,6
scheinherr dopravní podnik,6
radní kulturu hanka,5
hana kordová marvanová,5
náměstkem dopravu adam,5
adam scheinherr petr,5
scheinherr petr hlaváček,5
radní bydlení adam,5
obnovu trojské lávky,5
radní sociální oblast,5
náměstkovi dopravu adam,5
více info tady,4
vstup nového roku,4
díky dobrou práci,4
velmi mě těší,4
mezinárodní architektonické soutěže,4
oblasti smart city,4
dopravní náměstek adam,4
náměstek adam scheinherr,4
školství vít šimral,4
100 milionů kč,3
novelu vyhlášky buskingu,3
dolní části jeleního,3
části jeleního příkopu,3
průchozí celé své,3
celé své délce,3
pan náměstek oblast,3
náměstek oblast životního,3
oblast životního prostředí,3
podporu městských částí,3
klubu pirátů michaela,3
pirátů michaela krausova,3
radní hana kordová,3
všechny městské části,3
petr hlaváček jan,3
hlaváček jan chabr,3
stavby metra d,3
náměstka adam scheinherr,3
školství vit simral,3
výročí vstupu čr,3
it smart city,3
soudci státní zástupci,3
podle paragrafu 35,3
paragrafu 35 autorského,3
35 autorského zákona,3
autorského zákona nejsme,3
zákona nejsme povinni,3
nejsme povinni platit,3
povinni platit úřední,3
platit úřední účely,3
úřední účely autorské,3
účely autorské poplatky,3
autorské poplatky věc,3
poplatky věc konzultovali,3
věc konzultovali osa,3
konzultovali osa vyjádření,3
osa vyjádření vzešlé,3
vyjádření vzešlé právní,3
vzešlé právní analýzy,3
novela vyhlášky buskingu,3
vznikne roce 2022,3
roce 2022 základě,3
2022 základě přání,3
základě přání podnětů,3
přání podnětů občanů,3
muzea paměti xx,3
paměti xx století,3
můžete pustit tady,3
pan prezident bohužel,3
dopravní podnik hlavního města,11
podnik hlavního města prahy,11
institut plánování rozvoje prahy,7
plánování rozvoje prahy ipr,7
náměstek dopravu adam scheinherr,6
adam scheinherr dopravní podnik,6
scheinherr dopravní podnik hlavního,6
radní kulturu hanka trestikova,5
