Politik,Podstatná jména,Slovesa,Přídavná jména,Příslovce,Zájmena,Členy,Předložky,Spojky,Podřadicí spojky,Číslovky,Částice,Citoslovce
adam-vojtech_texty_2017,24.175824175824175,8.706677937447168,10.397295012679628,6.339814032121724,3.296703296703297,6.001690617075233,12.42603550295858,0.0,1.0143702451394758,1.3524936601859678,0.6762468300929839,0.0
adam-vojtech_texty_2018,26.33845270561217,9.250753552461605,11.787713506530787,6.433902684082102,3.4878713937132195,4.184010334433759,11.016219319649778,0.0,1.4676331276015502,1.6183436199224916,0.5418401033443376,0.010765035165781542
adam-vojtech_texty_2019,26.202853299231037,10.069588613376293,11.609174403348225,6.372589726129776,3.2402717111491257,4.553985152214712,10.54126322432778,0.0,1.5296208334025345,2.2437760542093637,0.6593479596751425,0.03985982627759047
adam-vojtech_texty_2020,25.002948460903408,10.279514093643119,10.56728387781578,6.333294020521288,3.358886661162873,4.38023351810355,10.477650666352165,0.0,1.6369854935723553,2.8175492392970867,0.5448755749498762,0.06840429295907537
adam-vojtech_texty_2021,25.304301806910107,9.903984274589854,9.990927647992741,5.768503817948136,3.077039389128298,3.8557496030845995,10.966205488772966,0.0,1.3495123610796098,2.9787555757163378,0.4989793603991835,0.03024117335752627
alena-gajduskova_texty,24.055649138965304,10.275458390392282,9.435631445641505,5.686101045845099,3.641673836906335,4.769926197026067,9.678005744270877,0.0,2.008071064144358,2.0480628234182046,0.682283650641686,0.1563314226159458
alena-schillerova_texty_2017,26.155580608793688,9.695603156708005,9.244644870349493,6.538895152198422,2.705749718151071,2.705749718151071,10.146561443066517,0.0,0.6764374295377678,4.058624577226606,0.9019165727170236,0.2254791431792559
alena-schillerova_texty_2018,25.432672013507805,9.44203538125024,11.704209678038298,5.900072911470126,3.680110518438927,4.635634521662381,11.239878736712845,0.0,1.6098085114547758,3.4191642043056145,0.48159944740780536,0.015349783184312522
alena-schillerova_texty_2019,26.193852699078214,9.56315318925918,11.553164595986065,6.458673736782069,3.29253630113759,4.484076825847026,10.660665289638375,0.0,1.536825230446712,3.7950488639516604,0.6319943274655485,0.04161913863797515
alena-schillerova_texty_2020,27.011228078959554,9.938790071223822,11.281903641302307,6.251173503235739,3.2858090600708483,4.426141271013531,11.127940016773273,0.0,1.3393583597241172,3.817797193606128,0.6634204959381141,0.03504862997408905
alena-schillerova_texty_2021,26.629319610461515,8.785243570118013,11.524389581908391,5.830049180861805,2.885711493990815,3.834587282458826,11.171546754388823,0.0,1.2116079861902747,4.609755832763356,0.6568304943056597,0.043426809540870054
alena-schillerova_texty_2022,22.27837191992792,10.267559838602264,7.1101186978493365,5.35511419281545,3.404238649273318,4.003604027108552,7.968033846515454,0.0,1.8646922865985036,4.434520311826693,0.7874015748031495,0.11360520233478279
alexandra-udzenija_texty,22.010481181515008,11.611349319781906,10.010057699433593,6.434280874490499,4.520671219099042,5.947276480863904,8.670795616960456,0.0,2.278862950611402,1.2836800592874915,0.8681382668995818,0.08734317929172622
andrej-babis_texty_2016,20.263785680989333,11.387753982834736,7.765499465299295,6.490443938687653,4.965861416545559,5.133126765197839,8.870547588362719,0.0,2.5446269434314073,2.4294606378019687,0.8555211275329732,0.19468589761167018
andrej-babis_texty_2017,17.167703725916486,12.50718444661019,6.0874128495389455,8.57135717320139,6.5472174325911485,5.6975785291251215,9.201089536946798,0.0,2.5888997176200115,1.9266811605067844,0.8721293450283629,0.33985556138641076
andrej-babis_texty_2018,19.850978925053,11.331213368250404,7.635615413393191,7.474123955605437,5.054246165357276,5.411522633744855,9.236189051003866,0.0,2.468512283327098,2.305773787255269,0.7831400423993017,0.23506671654819805
andrej-babis_texty_2019,21.998799722182888,10.175388910242146,8.795743733942912,6.752574191329678,4.046554595782844,5.0546530994814525,9.778892642566706,0.0,1.9939446658440045,3.3985394372180524,0.7012859156164236,0.1476746303076892
andrej-babis_texty_2020,24.949931395358746,9.816003204390697,9.865858751139859,5.742336307621507,3.3237031166108455,4.092842107057329,10.457307459582918,0.0,1.5685322015698104,3.683344838459506,0.5594900246294924,0.09800663036160186
andrej-babis_texty_2021,23.14444658510741,9.973750120412292,9.280175320296696,5.98810326558135,3.6617377901936226,4.413110490318852,10.023119160003853,0.0,1.7098545419516424,3.962768519410462,0.643001637607167,0.1541277333590213
andrej-babis_texty_2022,20.412800605945844,11.531906835826549,7.523827557912012,6.4444865240169165,5.011677081360853,5.333585810768163,8.363315028719308,0.0,2.0324433503755603,2.430095310231648,0.763744240358518,0.65012939468535
antonin-stanek_texty,25.66706021251476,8.60684769775679,11.93624557260921,4.639905548996459,3.2585596221959863,3.825265643447462,9.905548996458087,0.0,1.6528925619834711,2.0543093270366,0.5548996458087367,0.047225501770956316
barbora-koranova_texty,22.195691932534036,11.346779109937005,8.275756959967486,6.431619589514326,4.922779922779923,5.979475716317822,9.34007315586263,0.0,2.5248933143669987,1.6002844950213373,0.8509449298922982,0.416581995529364
david-smoljak_texty,20.927808183476674,10.476935105551211,9.67552775605942,7.173573103987491,4.528277299973938,5.675006515506906,8.880635913474068,0.0,2.573625228042742,1.4268960125097734,0.8665624185561638,0.09121709669012248
dominik-feri_texty,22.947525120952736,10.614067733531819,8.909564570152586,6.185336806847785,4.049125418682546,4.860439151470041,9.356159285448456,0.0,1.927800521027168,2.672125046520283,0.8708596948269446,0.2530703386676591
frantisek-kopriva_texty,24.311998741940556,11.306809246736908,9.058027991822613,5.09514074540022,3.8528070451328826,4.371756565497719,10.740682497247995,0.0,2.1072495675420666,1.7455574775908163,0.8020128951092939,0.2516118886617393
hana-zakova_texty,21.678721964926886,9.85759136875336,9.826369013547033,6.995542141506653,4.72845223846941,5.724098454493418,8.849803125704671,0.0,2.128323879898007,1.5142842275068948,0.7632131272657889,0.032956930495568165
helena-langsadlova_texty,23.28386787936812,10.473910962182863,9.564384873145046,4.978458592628051,3.657252273815222,5.2848252752513165,9.755864049784586,0.0,2.3743417903303015,1.5605552896122545,0.6606031594064146,0.12446146481570129
herbert-pavera_texty,22.316043425814232,10.772014475271412,8.287092882991557,7.044632086851628,4.861278648974668,5.180940892641737,9.004825090470446,0.0,2.285886610373945,1.5621230398069963,0.8021712907117009,0.34378769601930037
ivan-bartos_texty,24.371644704734017,11.78623718887262,9.077598828696926,5.417276720351391,3.8311371400683263,4.489995119570523,9.681551976573939,0.0,2.1290873596876527,1.531234748657882,0.7137628111273793,0.10980966325036604
jakub-janda_texty,22.34454031538233,10.175542993156798,8.846573440444311,6.803530695229594,3.9670732916790636,5.058018446890807,10.066448477635625,0.0,1.8744421303183576,2.072795794902311,0.8628384409401963,0.22810671427154616
jan-bartosek_texty,21.345806014017636,11.94042505087045,8.4218855980104,5.689011982817092,4.90899841736378,6.0224960434094506,8.876893511191499,0.0,2.190255482704047,1.4808953199186075,0.9071896902554827,0.13848066922903007
jan-cizinsky_texty,20.55936284497129,12.035150542281492,7.859480150645181,6.163692864933836,4.873330452141343,6.085489082340351,9.306250128624642,0.0,2.473709123088638,1.60317754316643,0.7676318659834125,0.0823197711510362
jan-hamacek_texty,22.79965046846934,11.311228700422351,9.379096072624884,5.56580416525074,3.895820185445895,4.876450313121996,9.582989465508035,0.0,2.184572066605175,1.7403757463954561,0.6383805039079568,0.058255255109471334
jan-hrncir_texty,24.004011304585653,10.365575713374055,9.95350533321178,4.549184064180873,3.4278421004649466,4.293919226912207,9.010848755583918,0.0,2.291913574619382,2.260917130093901,0.8095541981949129,0.04922964718752849
jan-kobza_texty,22.288902037021387,11.368438847096611,8.283323472233961,5.933564364804328,5.417969740512214,5.485588707632491,7.9536810075226105,0.0,2.3666638492097034,1.2340461499450597,0.8790465725636042,0.5578564787422872
jan-lipavsky_texty,23.622505381974747,10.4381218362716,10.560307208936988,4.922325013091291,3.392098679234305,4.142665968464537,10.14138593122709,0.0,1.8735090475359282,2.094606388549485,0.744748938150928,0.10473031942747427
jan-skopecek_texty,24.276226158038146,10.047683923705723,10.484076975476839,5.685882152588556,3.4038658038147136,4.208532016348774,9.251532697547683,0.0,1.9499318801089918,1.713641008174387,1.0728882833787468,0.07450613079019074
jan-zahradil_texty,18.51175192573573,9.98173019948647,9.01639344262295,6.935117519257357,4.505727829350188,5.199486470472052,8.76209757061031,0.0,2.128184870630061,1.9035157021528737,1.0295279478570019,0.2394825202449141
