Slovo,Podobnost
platů,0.21453896164894104
lékařských,0.18678230047225952
odborů,0.17783953249454498
panem,0.17510229349136353
vfn,0.16744539141654968
urgentního,0.16311068832874298
kapacity,0.13185156881809235
praze,0.1205860897898674
ředitelem,0.11651227623224258
konference,0.0966905727982521
návštěvy,0.07702060043811798
pacienti,0.06798774003982544
fakult,0.0647488608956337
projekt,0.06466873735189438
pavilony,0.0590311698615551
thomayerova,0.04263695329427719
prevence,0.030252274125814438
motole,0.02901543118059635
lékařů,0.022078322246670723
zástupci,0.011612890288233757
