Slovo,Podobnost
ministra,0.24005259573459625
kolegové,0.23647566139698029
projekt,0.21456490457057953
rozhovoru,0.20240411162376404
hodinou,0.19024236500263214
jednání,0.18378059566020966
potřebných,0.16347558796405792
prezidentem,0.1558990180492401
ministryně,0.15308013558387756
schválen,0.14802607893943787
poslanecké,0.1416628211736679
národních,0.14142774045467377
lidí,0.1297861784696579
programu,0.12192737311124802
let,0.11083630472421646
povinnosti,0.10961513966321945
summitu,0.1066289022564888
ministerstva,0.10371944308280945
