Slovo,Podobnost
ministerstvu,0.19195449352264404
středu,0.18939109146595
čase,0.18456648290157318
správy,0.166143536567688
vládě,0.1646377295255661
priority,0.16237062215805054
dnešních,0.15928992629051208
poslanci,0.1424902081489563
finance,0.13600125908851624
dívejte,0.128908172249794
diskuze,0.12448499351739883
národních,0.10797698050737381
průměru,0.09238541126251221
týdnů,0.08925085514783859
investice,0.0811215192079544
platí,0.07436344772577286
lidi,0.07246676087379456
daňové,0.058321159332990646
neděle,0.05505436286330223
příští,0.050073765218257904
financí,0.04368618130683899
