Slovo,Podobnost
ministryně,0.19360050559043884
vlády,0.19334863126277924
ekonomickou,0.18728281557559967
země,0.16473907232284546
kolegům,0.13724738359451294
radostí,0.12743915617465973
balení,0.12613624334335327
majetku,0.11995754390954971
praktiky,0.09683714061975479
kč,0.08695177733898163
pojištění,0.07849443703889847
jednání,0.07226055860519409
průběh,0.06154743209481239
veřejné,0.040965691208839417
aktuálně,0.03782111033797264
většina,0.035441890358924866
zdravotní,0.02369491010904312
léky,0.016743041574954987
hotely,0.01586895063519478
republiky,0.01496032066643238
tablet,0.011747140437364578
