Slovo,Podobnost
osob,0.3049103319644928
tabulku,0.23654605448246002
pacienty,0.23365230858325958
priority,0.19555063545703888
lékařům,0.193247988820076
všechny,0.19126132130622864
nabídky,0.1690402626991272
potřeba,0.12887327373027802
nemocnice,0.1258000135421753
nemoc,0.11652754992246628
skupiny,0.11643111705780029
současné,0.11628260463476181
zdravotnictví,0.11158481240272522
premiér,0.1089964509010315
pes,0.10587656497955322
testováním,0.10271851718425751
panem,0.0995023176074028
ráno,0.09532393515110016
rakousko,0.08522734045982361
léku,0.08218099176883698
