Slovo,Podobnost
ministerstvem,0.9984889626502991
vlád,0.9984096884727478
roku,0.9983861446380615
paní,0.9983119368553162
státní,0.9982935786247253
ministrem,0.9982207417488098
jasně,0.9982156157493591
let,0.9982057809829712
spoustu,0.9981913566589355
kterých,0.9981492757797241
stát,0.9981480836868286
práci,0.9981312155723572
země,0.9981147050857544
českou,0.9980773329734802
věcí,0.9980723261833191
kraje,0.998032808303833
všechny,0.9980305433273315
vody,0.9980140924453735
lidi,0.9980073571205139
procent,0.9979799389839172
prostředí,0.9958563446998596
životního,0.995574951171875
místních,0.9955123066902161
celé,0.9954942464828491
žádné,0.9954734444618225
