Slovo,Podobnost
vlády,0.9995076060295105
ministr,0.999488353729248
panem,0.9994811415672302
místo,0.999468982219696
české,0.9994634389877319
let,0.9994565844535828
dopravy,0.9994560480117798
průmyslová,0.9994522333145142
jasně,0.9994516968727112
zemi,0.9994499683380127
stát,0.9994489550590515
dph,0.9994441270828247
prahy,0.9994403123855591
rok,0.9994402527809143
samé,0.9994395971298218
celkem,0.9994391202926636
lidí,0.9994379878044128
ministerstva,0.9994348287582397
dokonce,0.9992111921310425
úřad,0.9992086291313171
krajině,0.9991883635520935
dětí,0.999188244342804
školství,0.9991862773895264
všechny,0.9991804957389832
hodiny,0.999178946018219
