StatementId,Text
068740a4ec0a45729199d9a36986097e,"Předseda Pirátů Ivan Bartoš a pirátský europoslanec Marcel Kolaja navrhují, aby se v Radě EU rozhodovalo většinově a aby se posílila role europarlamentu. To by fakticky znamenalo, že by Česká republika přišla o svou suverenitu a o našem osudu by v Bruselu rozhodovalo Německo, Francie a další velké státy. Něco takového by připustil jen blázen.  Právo veta se v EU dnes vztahuje už jen na pár posledních oblastí: na zahraniční politiku, rozpočet EU, nepřímé daně, sociální politiku nebo rodinné právo. Kdyby nebyla zapotřebí jednomyslnost, tak nám Brusel už dávno diktuje výši DPH, mluví nám do penzí, určuje věk odchodu do důchodu, nařizuje délku mateřské dovolené nebo diktuje, jak máme pečovat o naše děti.  Co raději nepřiznávají  Nebýt českého a maďarského veta, tak by na summitu před třemi lety velké státy prosadily povinné migrační kvóty. Na úrovni ministrů vnitra se to u některých migračních návrhů může stát, protože se hlasuje většinově. Jen připomínám, že náš první „příděl“ mělo být 2987 migrantů ze zemí jako Pákistán, Afghánistán nebo Sýrie. Mimochodem, dnes Piráti kvóty také odmítají (bodejť by ne, když se mi je s Viktorem Orbánem podařilo pohřbít), ale že počítají s dobrovolným přijímáním migrantů z jižních zemí EU, raději nepřiznávají.  I díky hrozbě právem veta jsem pro Česko vyjednal z evropských peněz o rekordních 42 miliard korun navíc. Také mi to umožnilo do klimatických cílů EU prosadit jádro a plyn jako čisté zdroje, jinak bychom mohli naše jaderné elektrárny zavřít, což by mělo devastující dopad na ceny elektřiny, náš průmysl i zaměstnanost. Pobavil mě zásadní vzkaz Ivana Bartoše po jednání s komisařkou pro regionální rozvoj, že je třeba více peněz z evropského rozpočtu do regionů. Příští rozpočet EU se bude vyjednávat v letech 2025 a 2026. Pevně věřím, že i nadále na základě jednomyslnosti.  Kdyby většinový princip platil v zahraniční politice, už by tradiční spojenectví mezi Českem a Izraelem platilo jen na papíře a my bychom nemohli zabránit, aby prošly jak rezoluce podporující palestinské militanty, tak i ty útočící na Izrael.  Pokrokáři a fanatičtí aktivisté  Podobně nesmyslný je nápad Pirátů posilovat pravomoci Evropského parlamentu, který se stále častěji snaží překračovat svoje pravomoci a zasahuje do politiky členských zemí EU, zvlášť středoevropských, které se bruselským nápadům vzpírají. Pominu-li některé naše pomýlené europoslance, kteří si v Bruselu vyřizují vnitropolitické účty, tak už nyní v této předražené a zbytečné instituci převažují pokrokáři a fanatičtí aktivisté všeho druhu, jejichž cílem je převychovávat obyvatele Evropy. Právě Evropský parlament si nejvíce přeje posílení většinového hlasování na úkor jednomyslnosti, protože tím se zvětšuje i jeho pravomoc. Zatímco u jednomyslnosti dává k projednávané legislativě jen stanovisko, kterým se členské státy mohou, ale nemusí řídit, u většinového hlasování spolurozhoduje a velmi často se snaží i zásadně měnit to, co si členské státy před tím byť většinově odhlasovaly.  Europoslanci jsou přeplacení, mají obrovské kanceláře, mnoho asistentů a ve své nadutosti si často připadají jako pupek světa. Stačila by jich tak třetina i méně. Bohužel si nedělám iluze, že se toto někdy podaří prosadit, jejich počet se stále zvětšuje, ale aspoň to mohu napsat, třeba to v budoucnu někomu někdy dojde.  Mnohokrát jsem řekl a napsal, že členství České republiky v EU je nezpochybnitelné a že to vůbec není téma k diskusi. To ale neznamená, že máme nekriticky přijímat každý nápad, který se zrodí po domluvě velkých států nebo v hlavách pokrokových elit a byrokratů v Bruselu.  Opakovaně říkám, že EU se má soustředit na uzavírání obchodních dohod se zbytkem světa a prohlubování čtyř svobod jednotného trhu: svobodný pohyb zboží, práce, lidí a kapitálu. Za dobu své existence se EU nepodařilo dotáhnout jednotný trh, v Bruselu ale dál lační po dalších a dalších pravomocech.  To je nikdy nekončící úkol.  EU se musí zamyslet spíš nad tím, jak lépe inovovat, jak urychlit ekonomický růst a jak snížit byrokratickou zátěž.  V Bruselu pečení vaření  Bohužel se najdou lidé, kteří ještě větší centralizaci a vznik evropského superstátu podporují. V případě Česka to jsou právě Piráti, kteří jsou v Bruselu pečení vaření. Není divu, že si o suverenitě vlastní země nemyslí nic dobrého. „Takže například kraj Vysočina by měl podle vás také mít možnost blokovat rozhodnutí v národním parlamentu?“ Touto rétorickou otázkou odpůrcům většinového hlasování argumentoval před pár dny europoslanec Kolaja.  Jsou v podstatě dvě vysvětlení, proč Piráti usilují o to, aby se v EU rozhodovalo většinově. Buď jsou neskutečně politicky naivní, nezkušení a hloupí, takže vůbec netuší, co všechno se může stát. Anebo to vědí velmi dobře, ale protože jsou řízení ze zahraničí, je ztráta české suverenity celou dobu jejich hlavním cílem. Ať platí první, nebo druhá možnost, v obou případech je jisté, že české zájmy v EU Piráti určitě hájit nebudou."
0b2618e0eca8bc1b82cdf02f2e56f78e,"Tradiční koordinační jednání lídrů V4 před zasedáním #EUCO. Premiéři @AndrejBabis, @EduardHeger, @MorawieckiM a Viktor Orbán diskutovali o zabezpečení vnějších hranic proti nelegální migraci a vztazích EU s Tureckem a Ruskem. https://t.co/hDIvXKTnJ9"
0BE1BE6C0E84E27E63390483C0C62EED,"Výhled z kanceláře maďarského premiéra Viktora Orbána. Maďarská vláda sedí přímo v  parlamentu."
1116877c85bc77c11844cdca7028a2fa,"Tradiční koordinace lídrů V4 před zasedáním #EUCO. @AndrejBabis, @MorawieckiM, Viktor Orbán a Igor Matovič probírali témata mimořádného zasedání Evropské rady. Pro českého premiéra je důležitý vnitřní trh a vnější vztahy, zejména současná situace v Bělorusku."
111833ecbc0613a59c65f43da5735586,"V Praze s jednali předsedové vlád zemí V4 @AndrejBabis🇨🇿 @MorawieckiM🇵🇱 @PellegriniP_🇸🇰 a Viktor Orbán🇭🇺 o aktuální situaci v souvislosti s výskytem a šířením koronaviru v Evropě, o migraci i o víceletém finančním rámci EU → https://t.co/oMWjhT0DWw"
14D633CB2322C4215E9E59FEA892FCED,"Čau lidi, mám za sebou dvoudeňák v Bruselu a musím říct, že to bylo fakt hodně náročné. Na odpočinek ale není čas, právě teď se snažím, jako vždycky v neděli, odpovědět na co nejvíc vašich dotazů. Předpokládám, že jste si všimli, že naše země má konečně vládu, která pracuje a má tah na branku. Sice ještě parlament nehlasoval o důvěře, ale aspoň tuhle zemi někdo konečně řídí a můžeme konat.   Ve středu jsme si dali sraz se všemi ministry, nasedli do autobusu a jeli do Lán poklonit se u hrobu TGM. V naší stoleté historii bylo těch prvních 20 let v rámci našeho postavení ve světě a v Evropě nejúspěšnějších. Máme na to, abychom se tam vrátili. Tak, jak o tom píšu ve druhé kapitole knížky O čem sním, když náhodou spím.  Nálada v autobuse byla trochu jako na školním výletě 🚌 Jsem rád, že vláda takhle od začátku funguje jako jeden tým. Pak jsme si dali další pracovní schůzku a z ní rovnou na Hrad. Tam nás seřadili, přišel pan prezident, ředitel úřadu přečetl slib, jednotliví ministři se podepsali, přiťukli jsme si a vyfotili se. Já jsem tohle zažil už jako ministr financí a musím vám říct, že jsem se za ty čtyři roky asi nijak nezměnil: prostě nejsem na tyhle oficiality úplně stavěný, vždycky mám trému.  Uvedl jsem sedm ministrů za čtyři hodiny do úřadu. A byla to honička.  Mám z toho dobrý pocit, i pan prezident náš tým zhodnotil, že jsou to srdcaři ❤️  Snad naše Vláda pro lepší Česko vydrží a získáme v parlamentu aspoň toleranci. Oni ať si tam povídají a my budeme makat za ně. A ať si nás kontrolují od rána do večera. Nemám s tím problém, byla by to výborná dělba práce 🤓  S jmenováním vlády jsme spěchali i proto, že hned další den ráno jsem letěl do Bruselu. V sedm ráno jsme sedli, můj tým čtyř lidí a parta novinářů do letadla. Mně je teda lítat vládním speciálem totálně proti srsti, byla to moje premiéra, vždycky jsem lítal do Bruselu economy. I tentokrát jsem chtěl, ale protokol mi to nedovolil. Bylo mi řečeno, že musím mít ochranku a letět speciálem, jinak se na summit nedostanu.   Pokud vás zajímá, jaký je rozdíl mezi normálním letadlem a vládním speciálem, tak v tom vládním jsou větší sedačky a víc místa. Posádka mi ještě k tomu nabízela, abych si sedl “do salónku.” Když jsem se ptal proč, tak prý to tak moji předchůdci dělali. No nic 😂 Já jsem seděl s týmem a pokračovali jsme v přípravě strategie vyjednávání.  V Bruselu jsem šel nejdřív do budovy Stálého zastoupení ČR při Evropské unii a pak do té slavné budovy Europa. Moje první mezinárodní setkání bylo s předsedy Visegrádské čtyřky, do které patříme my, Slováci, Maďaři a Poláci. Potykali jsme si s Robertem Ficem a fajn byla i debata s Viktorem Orbánem. Tykají si tam všichni, je to bruselský rituál, stejně to bylo na Ecofinu, kam jsem chodil jako ministr financí. Dohodli jsme se na společné iniciativě proti nelegální migraci, kterou budeme v Evropě jednotně prosazovat: zaměříme se na Libyi – zemi, přes kterou dnes proudí tisíce migrantů a která je pro pašeráky branou do Evropy.  Všude byla pořád spousta novinářů, po každém jednání jsme pro ně dělali tiskovky. Jasně jsem podpořil šéfa Evropské rady Donalda Tuska, který řekl, že přerozdělování žadatelů o azyl podle kvót rozděluje Evropu a není efektivní. Konečně vysoce postavený úředník Evropské unie řekl, co si myslí většina z nás. I když od některých pořádně schytal, že je “protievropský”    Kromě Tuska jsem se představil Junckerovi, krátce jsme spolu mluvili, slíbil, že mě v lednu přijme. Potom bylo první pracovní zasedání Evropské rady, mám tam místo mezi francouzským prezidentem Emmanuelem Macronem a švédským premiérem Stefanem Löfvenem. Snažím se navázat co nejvíc kontaktů, i když se s asi jedenácti premiéry jsem se znal už předtím.  To hlavní se ale dělo na “neformální večeři” všech předsedů členských zemí. Zvláštnost zasedání premiérů je v tom, že jsou tam premiéři sami, nejsou tam poradci. Mluvilo se hodně otevřeně a místy byla atmosféra dost hustá. Všichni se potřebovali vyjádřit. Včetně mě. Celou dobu jsem zdůrazňoval, že ilegální migraci vyřešíme jedině MIMO Evropu, ne na našich hranicích, a kvóty jsou nepřijatelné. Takže se pojďme bavit o krocích proti pašerákům, ne o kvótách. Novináři se mě pak ptali, už teda dost unaveného, jestli bude dohoda mezi námi možná, když na to mají všichni tak odlišný názor. Já na to, že na tom musíme popracovat, naši pozici nezměníme za dva dny na summitu, musíme na tom kontinuálně pracovat spolu s ministrem zahraničních věcí a přesvědčovat ostatní členské země o naší pozici.  Mám teď jasno, kdo má jaké názory, kdo s kým spolupracuje. A zítra na vládě si stanovíme jasný plán strategie vůči Evropské komisi a plán postupu vůči jednotlivým členským zemím.  Včera jsem byl s moji paní na Mejdanu roku rádia Impuls, kde byli snad všichni, co mám rád. Ilona Csáková, No Name, Slza, Ewa Farna a samozřejmě božský Kája na závěr 👍 A na Michalovi Davidovi jsme byli v kotli.  Interpreti byli super, akorát mi vadilo, že tam nebyly velké obrazovky jako minulý rok po bocích, a že taky nedávali záběry na publikum, což mají lidi rádi.  A vám přeju, abyste si tenhle týden užili. Koukám do kalendáře, že přesně za týden je Štědrý večer 😳🎄Půjdu zase na polévku na Staromák.  Zítra ráno začínám v 6.30, teď makáme na programovém prohlášení, musí být hotové, přes mail chatujeme se 14 ministry, to je asi taky novinka. Zjistili jsme, že nejlepší češtinář je ministr kultury Ilja Šmíd. Teďka jdu se ženou na svařáka a večer na tom budu ještě makat 😉"
1525d75cce7d17bd2b578da0a5c817ba,"Maďarsko nám pomůže 150 plicními ventilátory. Díky Orbán Viktor, moc si téhle rychlé a významné pomoci vážím 🇨🇿🇭🇺 Hasiči ventilátory v následujících dnech převezou do Správy státních hmotných rezerv, odkud budou rozvezeny do nemocnic dle potřeb."
15BF78B2487DF03D0C76559D85D8096F,"Varšava právě teď. S Orbán Viktor, Peter Pellegrini a Mateuszem Morawieckým. V4 slaví členství v NATO 🇨🇿🇵🇱🇸🇰🇭🇺"
28924a6618f3ffb851a8280a494112c3,"S Mateusz Morawiecki a Orbán Viktor 🇨🇿🇵🇱🇭🇺"
28ba5f36fa4d674fbb5d407756177015,"Z hlášení. Jako každý rok jsem hned ráno uctil památku 17. 11. na Národní třídě a ještě mě čeká spousta věcí. Mám za sebou projev, který vám sem za chvíli hodím, kromě mě ale v Národním muzeu mluvili i premiéři Peter Pellegrini, Viktor Orbán, Mateusz Morawiecki a předseda Německého spolkového směnu Wolfgang Schäuble. Teď jsem tady v muzeu na výstavě Sametová revoluce a pak otevřeme multimediální expozici momenty 20. století."
