Slovo,Podobnost
obchody,0.415499210357666
expertů,0.328176349401474
číně,0.3207760155200958
opatření,0.3160957098007202
virus,0.3081657588481903
jasně,0.2891244888305664
nakažen,0.2877843379974365
zdravotní,0.2827463448047638
pacienty,0.2821663022041321
špatné,0.2816464304924011
situaci,0.2799234688282013
štáby,0.27969035506248474
rakousku,0.27543193101882935
světě,0.27166736125946045
sněmovny,0.27159833908081055
dobře,0.27135759592056274
škol,0.2662673592567444
podnikatelé,0.2647262215614319
služby,0.26188597083091736
děti,0.25692111253738403
fakt,0.25539037585258484
