StatementId,Text
08a191f8fe11ed9af7ac28df0b1f0404,"Andrej Babiš k prvním sto dnům vlády Petra Fialy. Sledujte!"
0faeeaf388dbdfdcd6969455e6eb1c3d,"Rozmohl se nám tady takový nešvar. Ministři financí, průmyslu, dopravy či kultury svorně brečí, že jsme v našem rozpočtu  také  neměli zdroje na ten či onen výdaj. Není nic jednoduššího, než si jej zařadit do rozpočtu nové vlády. Jak známo, kabinet nepracuje s našim rozpočtem.  Ministr Baxa: Pan Havlíček a pan Babiš krátce před koncem jejich vlády všem slíbili vysoké podpory. My jsme ale pak z rozpočtu zjistili, že na to nevyčlenili ani korunu.  Ministr Kupka: Vy jste i přes ten obrovský deficit na některé investice v rozpočtu nevyčlenili peníze, takže teď ještě řešíme, jak by se na ně daly prostředky zajistit.  Ministr Síkela: Žádný z těchto kompenzačních programů neměl ani z těch navržených minulou vládou ani v tom starém rozpočtu zajištěno žádné krytí.  Ministr Stanjura: Babišův rozpočet nepočítal například s kompenzacemi pro podnikatele.  A teď fakta: Naše vláda zajistila podporu pro 700 tisíc podnikatelů, z 99 % šlo o malé a střední firmy a živnostníky. Celkem se jednalo o 192 mld přímé podpory a 160 mld nepřímé podpory. Žádná z těchto částek nikdy nebyla v původních rozpočtech, přesto jsme zdroje vždy museli zajistit. V našem rozpočtu na 2022 se dalo využít např. vládní rozpočtové rezervy, která byla součástí rozpočtu."
11e3b35df9a995e54a90d8ffcbc1747e,"Nejnáročnější stavba na modernizaci D1 je u konce.✅ O víkendu zmizí dopravní omezení z mostu Vysočina u Velkého Meziříčí. Nejvyšší most na D1 prošel generální opravou, je v obou jízdních pruzích rozšířen na 12,5 metru, v rámci rekonstrukce proběhla i sanace spodní stavby mostu a protikorozní úprava povrchů. 🆕🛣  S premiérem Andrej Babiš jsme poděkovali všem pracovníkům, kteří se na opravě podíleli. Tohle totiž nechtělo jen dobré technické schopnosti, ale i pořádný kus odvahy, protože pracovat ve výšce 80 metrů nad zemí není žádná sranda. Respekt a velké poděkování za perfektní práci.👏👏  Celá modernizace Nová D1 bude dokončena v říjnu 2021."
17f7e6ef5c2d584067352e43fa859b59,"Když jsem nedávno porovnával cenu Fialova a Babišova leča, pětikoalice vzkázala lidem, že jen idiot si vaří lečo v zimě. Tak jsem zvědavý, co vzkážou nyní. https://t.co/Xo5x7buvUM"
200adf098be9cfb68254e7157ba78ac2,"Karlovarská D6 je o 10 kilometrů delší✅  Právě teď jsme otevřeli, společně s Andrej Babiš, další 2 nové úseky D6 mezi Novým Strašecím a Řevničovem.🆕🛣 A rovnou jsme na ně pustili i řidiče, aby mohli nové dálniční kilometry hned využít.  Novými dálničními úseky ulevíme obyvatelům Řevničova a Krušovic, kterým už za okny nebudou projíždět kolony kamionů a osobáků.😀  A tím na D6 rozhodně nekončíme! Další úsek u Lubence dokončíme už příští rok, zároveň začneme stavět další úseky u Krupé, směrem na Karlovarský kraj - oficiální stránka. 🔜"
235ffc36df3e86e3bf041cb33cdf2460,"Zítra má Sněmovna ve 3. čtení projednat Lex Dukovany. Zároveň k němu premiér svolal schůzku s opozicí - na 27. ledna. Dnes jsem se tedy pídil, jak to zítra bude – myslel jsem, že normální je jednat a pak schvalovat, ne opačně. Faltýnek, Vondráček ani Babiš nic nevědí. Zvláštní."
2d99073e5e0effdc422b3534d3e13e46,"Noční demolice  2 nadjezdů na D1 u Humpolce je v plném proudu. 🏗🛣  Na začátek stavební sezony jsem se přijeli osobně podívat spolu s premiérem Andrej Babiš  Nadjezdy budou strženy za jedinou noc, nejpozději do nedělní 09:00 bude dálnice znovu průjezdná. Moc děkuji všem řidičům za trpělivost. 👍"
375751922cfeeee8bae8beb4b4f858c5,"Už čtvrtý rok se táhne vyšetřování kauzy Čapí hnízdo. I kvůli pandemii se na případ dotačního podvodu skoro zapomnělo. Policie s posvěcením státního zastupitelství závěr vyšetřování stále odkládá. Tentokrát má termín do konce února. Ve hře je obžaloba premiéra, který po obvinění nerezignoval a využívá své autority k tomu, aby dal najevo, že se mu vyšetřování nelíbí. Policie má mimo jiné za úkol vyslechnout Babišova syna, který je důležitým svědkem. To se prý policii nedaří. Nám se ale s Andrejem Babišem mladším podařilo bez problémů spojit. Natáčeli Aneta Snopová a Hanuš Hanslík."
3d7e78447c878c7367e3806510623f0a,"Když se vám to před volbami šiklo, byla to Babišova drahota. Dnes je inflace čtyřnásobně vyšší a už je to Putinova drahota. Přestaňte se už konečně vymlouvat a začněte něco konkrétního dělat. Zatím jen brečíte, přijímáte signály a slibujete. https://t.co/YGuBOOHOZA"
4187a3a3697b8df49493889d46b676eb,"Tvrzení bývalého vládního zmocněnce pro jádro J.Míla v rozhovoru pro Novinky.cz: Česko nezaslalo koncem roku 2021 Evropské komisi tzv. žlutou kartu vůči Green Deal.  Důvodem byla podle něj neexistence stanoviska našeho kabinetu.  Realita: Nepravdivé tvrzení.  Tzv. žlutá karta byla odeslána ihned poté, co kritické  stanovisko vlády posvětil  5.11.21  Senát, a to přesně dle návrhů MŽP,  MPO,. MD a MF.   https://www.respekt.cz/agenda/senat-poslal-zlutou-kartu-klimatickym-navrhum-evropske-komise  Tvrzení bývalého vládního zmocněnce pro jádro J.Míla v rozhovoru pro Novinky.cz: Babišova vláda mohla růst ceny energií zastavit. Zvyšující ceny jsou způsobeny mimo jiné nedostatečnou akceschopností minulé vlády.  Realita: Nepravdivé tvrzení.   Důvodem zvyšujících cen energií je vysoká celosvětová poptávka po zemním plynu v důsledku hospodářského oživení, inflace, rostoucí ceny emisních povolenek, postupné odstavování jaderných elektráren v Německu, ale např. i nižší produkce obnovitelných zdrojů, nízké skladové zásoby zemního plynu či asijský trh, který je pro obchod se zemním plynem (hlavně LNG) perspektivnější než ten evropský.  (Zdroj: Euroskop).  https://www.euroskop.cz/9047/37884/clanek/reakce-eu-na-rust-cen-energii/  Tvrzení Novinky.cz v tomtéž článku: Míl skončil v březnu ve funkci vládního zmocněnce. Návrh podal tehdejší šéf resortu Karel Havlíček  Realita: Pravdivé tvrzení  https://ekonomickydenik.cz/zakulisi-padu-jaroslava-mila-doplatil-na-chaos-spatne-slozeny-tym-i-konflikt-s-havlickem/"
