StatementId,Text
00164848807136f38671bdd02780d0ed,"P. Fiala 27/9/21:Budeme tlačit na EK, aby uvolnila emisní povolenky, což zlevní energie. Realita:Naše předsednictví je naopak rozšířilo a zvýšené výdaje rodin chce dotovat. Poradce premiéra Křeček 20/12/22:Je to hašení požáru, který sami zbytečně založíme. https://t.co/n6ppP26zwx"
02641fb7321549ecfc8476f73be90b43,"Další rána. Cena emisních povolenek je na rekordních 99 EUR/t. Změnit překonaný systém s jejich obchodováním sliboval P. Fiala už loni. Místo jednání v rámci předsednictví EU teď vláda jen servilně přikyvuje a pasivně sleduje, jak roste cena energií. Máme ještě ministra průmyslu?"
04dda82002f956107c71d581d33a4e3d,"Nevyčítáme vládě ceny energií. Ty jsou v důsledku celosvětové energetické krize. Vyčítáme vládě, že její opatření pro snížení dopadů jsou neúčinná. Není to Fialova drahota, ale Fialova bezradnost.   https://t.co/D3VVqpkYzz"
08a191f8fe11ed9af7ac28df0b1f0404,"Andrej Babiš k prvním sto dnům vlády Petra Fialy. Sledujte!"
12755eb4fa3b9baf0ef82ccaa37731e0,"Putinovy ceny. Tak se dnes premiér Fiala pokusil vymluvit z bezprecedentního růstu cen energií. Putin je nepochybně jednou z příčin eskalace cen, ale každá vláda se snaží přijmout taková opatření, která nárůsty alespoň částečně omezí. Bohužel ta naše si zatím vede v EU nejhůře."
17f7e6ef5c2d584067352e43fa859b59,"Když jsem nedávno porovnával cenu Fialova a Babišova leča, pětikoalice vzkázala lidem, že jen idiot si vaří lečo v zimě. Tak jsem zvědavý, co vzkážou nyní. https://t.co/Xo5x7buvUM"
202f37806b747cc7630ef94f31c43b0a,"Panoptikum města pražského. Koaliční spor ohledně ukončení činnosti uprchlického centra v Praze nabírá rozměrů grotesky. Premiér Fiala vstoupil do hry a dal termín primátoru Hřibovi 17/6, dva dny po předpokládaném uzavření centra. Signál, analýza, porada, akční rozhodnutí... https://t.co/yGzjDik6rg"
276666d57a41801ac5dbe9a18ebfd366,"Celá vláda jako jeden muž: podpořili jsme lidi v krizi částkou 74 mld.   Česká televize: nebylo to ani 15 mld, navíc většina jde za minulou vládou.  Vzhledem k tomu, že jde o záměrně šířenou lež (definice dezinformace), měl by nový vládní cenzor pro dezinformace zablokovat weby všech stran pětikoalice, které tyto bludy šíří. Tak uvidíme, jak se s tím novodobí normalizátoři poperou...  Právo 23/4/22, ministr I. Bartoš:  Když jsem se díval, jaké peníze od začátku roku směřovaly na pomoc občanům a domácnostem, tak je to 74 miliard korun.   ČT 24/4/22, ministryně H. Langšádlová:  74 miliard jsme poslali občanům na saturaci situace.   Úřad vlády 17/4/22, premiér P. Fiala:  My jsme od začátku roku nasměrovali k lidem, právě proto, aby si mohli poradit s těmi ekonomickými obtížemi, s energiemi a s dalšími věcmi.. tak jsme k nim nasměrovali 74 miliard korun.   168 ČT, 24/4/22:  Lidé ze 74 mld zatím dostali necelých 15 mld. Ministři zatajili, že většina ze slibovaného balíčku ještě není definitivně schválena, nebo se projevuje postupně. Většina z toho už byla naplánovaná před tím, než byl Fiala premiér.   Zde celá reportáž:"
426a54ef75eb2cca4618983d71afc0e5,"Prvních 100 dní Fialovy chudoby. Třetí nejvyšší inflace v Evropské unii, 11 procent. Ceny plynu, elektřiny, benzinu a nafty dál raketově rostou. Skokově zdražují potraviny, výrobci už mluví o 60 korunách za bochník chleba. Zdražují nájmy, bydlení je ještě méně dostupné, než bylo kdy předtím. Střední třída doslova mizí před očima, propad do chudoby hrozí pětině domácností, ale premiéra a ministry to nechává v klidu.   To je vizitka prvních 100 dní vlády Petra Fialy.  Z hlediska hospodářské politiky vláda totálně selhala. Premiér Fiala s ministrem financí Zbyňkem Stanjurou záměrně nechali roztočit inflační spirálu, aby mohli od lidí vybírat víc peněz na dani z přidané hodnoty kvůli svému vysněnému škrtacímu rozpočtu. Proto vláda odmítla odpustit DPH na elektřinu, plyn a pohonné hmoty, jak to hnutí ANO navrhovalo. Lidem zato ministři radí, aby méně topili, svítili a jezdili autem.  Když končila naše vláda, v listopadu a prosinci jsme odpustili DPH na energie, díky čemuž Česká republika byla v prosinci 2021 v míře inflace až na 14. místě v Evropské unii. Chtěli jsme také zrušit poplatky za obnovitelné zdroje, což jsme letos navrhli formou zákona.  Vláda ale neváhá obětovat vlastní občany a jejich životní úroveň, a to i navzdory tomu, že vybírá na DPH kvůli inflaci miliardy navíc. Naše veřejné finance jsou zdravé a máme 6. nejnižší zadlužení v Evropě. Tak macešsky se v Evropě nechová skoro žádná vláda, regulací cen nebo snížením DPH svým občanům pomáhá 24 z 27 zemí Evropské unie. Mimochodem i mnohem zadluženější Belgie, Německo, Itálie nebo Rakousko.  Fialova vláda seškrtala peníze na platy, i když před volbami slibovala opak, takže kvůli vysoké inflaci reálný příjem státních zaměstnanců – zdravotníků, hasičů, policistů, učitelů, vojáků a dalších klíčových profesí – klesá. Jinými slovy chudnou. Jen důchodcům kvůli vysoké inflaci vláda ze zákona přidat musela, ale nedělá to z vlastní vůle, jak se snaží pan Fiala lidem namluvit.  Vláda prosadila jen tupé škrty (resorty zdravotnictví i dopravy přišly o miliardy) a zaručených miliard příjmů jako například z elektronické evidence tržeb se dobrovolně zřekla. Za každou cenu Poslaneckou sněmovnou protlačila svůj škrtací rozpočet, který stejně bude muset velmi brzy pod tlakem událostí na Ukrajině měnit. Vláda má naši podporu při snaze pomáhat Ukrajině, hnutí ANO také pomáhá organizováním humanitární pomoci. Jsou tu však dvě velká ALE. Zaprvé: vládě chybí jakákoli strategie.  Nemá žádný plán, nemá ujasněné cíle, pomoc je chaotická a naprosto nekoordinovaná. Vláda nemá žádný koncept řešení uprchlické krize z hlediska zdravotnictví, školství, bydlení, práce, sociálního systému. Každý ministr si dělá, co chce, premiér vládu vůbec neřídí.  Zadruhé je sice chvályhodné, že se pan Fiala věnuje Ukrajině, ale nesmí zapomínat, že je premiérem České republiky a měl by řešit také problémy našich občanů, kteří se vinou nečinnosti vlády propadají do chudoby.  A pokud jde o covid, pak vláda nemá také žádný plán, i když ještě jako opozice tvrdila, že má vše přichystané. Naštěstí se omikronem covid do velké míry vyřešil sám, jinak by vláda pandemii ještě zhoršila. Fialova vláda zcela rezignovala na strategii očkování, už nechala spálit skoro 250 tisíc vakcín, místo aby je prodala nebo alespoň darovala jiným zemím. To je pokrytectví v praxi – lidem vláda říká, že musí šetřit, ale sama vyhazuje miliardy z okna.  Prostě, za prvních 100 dní se Fialově vládě podařilo prohospodařit celý politický kapitál, který dostala při loňských volbách do Poslanecké sněmovny."
48d870fc5b3091d84961a37a44fc1187,"Pětikoalice a podpora podnikatelů v praxi:  2020/2021: Musíte dávat více a plošně. 01/2022: Dávali jste mnoho a příliš plošně. 01/2022: -       Podpora připravená minulou vládou nebude (ministr Síkela). -       Podpora připravená minulou vládou bude (vicepremiér Bartoš). -       Podpora bude pro ty, kteří nebyli uspokojeni v minulosti (ministr Kupka). -       Podpora bude (premiér Fiala).  Je patrné, že alespoň v podpoře podnikání má vláda jasno....  Z pořadu NA ROVINU"
