StatementId,Text
058D9CDC12C8CBE7BC50AEA13B141D26,"Ministr Havlíček zahájil otevření Petschkova paláce v rámci Open House Praha, osobně vítá příchozí návštěvníky, seznamuje je s činností ministerstva a provází částí prohlídky. https://t.co/B91cG9d8EJ"
0a9d8f11a30742e2f5e98de5c0710605,"V roce 2023 skončí financování z OPD2. Laicky řečeno to znamená, že budeme muset stavět například dálnice nebo železnice primárně z vlastních zdrojů. Na tuto skutečnost se musíme připravit a testovat alternativní způsoby financování. Jedním z nich je i partnerství mezi soukromým a veřejným sektorem, které je běžně označované anglickým výrazem Public Private Partnership – tzv. PPP projekty.  V Česku se ke své realizaci blíží první dálniční PPP projekt pod patronací francouzského sdružení DIVia. Konkrétně se jedná o dostavbu chybějících 32 kilometrů dálnice D4 mezi Příbramí a Pískem, kterou bude spravovat a udržovat po dobu 25 let a poté ji odevzdá v perfektním stavu do státních rukou. Dálnici bude Česká republika splácet 25 let a platit začneme teprve tehdy, jakmile bude celá dálnice postavena a odevzdána k provozu. Navíc je důležité zmínit, že financování je nastaveno tak, aby provozovatele motivovalo k jejímu bezproblémovému fungování.  Jaká jsou rizika PPP projektů? Dočkáme se jejich rozsáhlejšího využití? Mohou být využity i mimo oblast dopravní infrastruktury?  Potvrzený řečník:  Karel Havlíček, vicepremiér, ministr průmyslu a obchodu, ministr dopravy, Vláda České republiky  Radek Mátl, generální ředitel, Ředitelství silnic a dálnic  Jiří Nouza, prezident, Svaz podnikatelů ve stavebnictví  Tomáš Janeba, prezident, Asociace pro rozvoj infrastruktury  Moderátorem je Martin Kolovratník, poslanec a předseda podvýboru pro dopravu, Poslanecká sněmovna Parlamentu ČR."
0bd3e4862cf23c71da0c32fc9013db2d,"Má nás ministr Havlíček všechny za hlupáky? Žádná konkurence a nástup čtvrtého operátora se nekoná, protože si v aukci 5G kmitočty rozdělili stávající hráči. Takže ANO zase jednou něco zařídilo. Ostatně jak říkala ministryně Nováková, beztak si za drahá data můžeme sami."
0faeeaf388dbdfdcd6969455e6eb1c3d,"Rozmohl se nám tady takový nešvar. Ministři financí, průmyslu, dopravy či kultury svorně brečí, že jsme v našem rozpočtu  také  neměli zdroje na ten či onen výdaj. Není nic jednoduššího, než si jej zařadit do rozpočtu nové vlády. Jak známo, kabinet nepracuje s našim rozpočtem.  Ministr Baxa: Pan Havlíček a pan Babiš krátce před koncem jejich vlády všem slíbili vysoké podpory. My jsme ale pak z rozpočtu zjistili, že na to nevyčlenili ani korunu.  Ministr Kupka: Vy jste i přes ten obrovský deficit na některé investice v rozpočtu nevyčlenili peníze, takže teď ještě řešíme, jak by se na ně daly prostředky zajistit.  Ministr Síkela: Žádný z těchto kompenzačních programů neměl ani z těch navržených minulou vládou ani v tom starém rozpočtu zajištěno žádné krytí.  Ministr Stanjura: Babišův rozpočet nepočítal například s kompenzacemi pro podnikatele.  A teď fakta: Naše vláda zajistila podporu pro 700 tisíc podnikatelů, z 99 % šlo o malé a střední firmy a živnostníky. Celkem se jednalo o 192 mld přímé podpory a 160 mld nepřímé podpory. Žádná z těchto částek nikdy nebyla v původních rozpočtech, přesto jsme zdroje vždy museli zajistit. V našem rozpočtu na 2022 se dalo využít např. vládní rozpočtové rezervy, která byla součástí rozpočtu."
17ae9ed1aa195d2d42263f409afab014,"„Vzpomeňme si na to, jak se juchalo až infantilně na Karlově mostě. Jak tam byla paní Pekarová Adamová, jak tam byl pan Feri, jak tam byla paní Miroslava Němcová, jakým způsobem dávali všem za příklad to, že už je všechno za námi,“ řekl v České televizi vicepremiér Karel Havlíček"
1b00a98ee619b8b65b3fc25a1a22b2fb,"800 účastníků na konferenci Wissenschaftstag ve Weidenu právě sleduje talk show v němčině s vicepremierem Havlíčkem a bavorským ministrem Herrmannem. Absolutní shoda v tom, že jedině investice do vzdělání, vědy a inovací udrží obě země v absolutní evropské špičce. https://t.co/7ZUUfJA5Nb"
1c56fba737ec965e95b4fdadb39e1925,"Der #GreenDeal sei eine Gefahr für Industrie und Wohlstand in seinem Land. Der tschechische Wirtschaftsminister Havlíček warnt im F.A.Z.-Gespräch vor den negativen Folgen der EU-Klimapolitik für sein Land: #fplus https://t.co/Mjx4Cmr8zg"
1cbde715718e04c3c9c409896ddc4565,"Po šesté v letošním roce se můžete ptát přímo vicepremiéra a ministra Karel Havlíček na cokoliv, co vás zajímá z oblasti průmyslu, obchodu i dopravy. Odpovídat bude živě od 18:30 hodin v pořadu NA ROVINU."
2ad00291493a09646828e28cd8fa02c3,"Přejeme vám všem s Bettynou krásné vánoční svátky, pohodu a klid. Z Českého Krumlova Váš Karel Havlíček"
370d05ef5e5cf521abae7a54f9c36c47,"Účet naší vlády v covidové podpoře:  - 192 mld Kč  přímá covidová podpora podnikatelům -   - - 160 mld Kč pomoc nepřímá -  Na pomoc dosáhlo cca 700 tis subjektů -  99 % byli malí a střední podnikatelé a živnostníci -  90 mld Kč šlo živnostníkům  Tehdejší názor opozice:  31/3/21,  M.Ferjenčík vyzval Havlíčka, aby podmínky pomoci vláda ještě vylepšila, aby na kompenzace měly nárok firmy, kterým se propadly tržby o 40 % a aby měly nárok na úhradu 70 % fixních nákladů. Získal pro to podporu většiny členů sněmovní komise složené ze zástupců všech stran.  30/3/21, Z.Stanjura, šéf této sněmovní komise:  Vyplacená přímá pomoc je malá, mohla být větší, měla být větší.   13/1/22, J. Síkela, ministr průmyslu a obchodu:  Za mého předchůdce se vyhazovaly miliardy na pomoc s dopady covidové krize.   Aktuální pomoc vlády: Antivirus: nula Covid 2021: nula Covid Nepokryté náklady: nula Kompenzační bonus: zatím do konce ledna  Více v mém pravidelném pořadu NA ROVINU.  https://t.co/GWsLfe6SfG https://t.co/cCXmjB0mdy"
3d025f29526cb1dc0202bfed299e3611,"Setkání ministrů @mpo_tweetuje K. Havlíčka a V. Prysraiko z UA s podnikateli. Děkujeme @Hokomora za organizaci! V předvečer cesty MPO na Ukrajinu (9. - 11. 3. 2020) je to zvlášť užitečné. @SvazPrumyslu , @CzechTrade , @infoegap @CEB_export @mtauberova https://t.co/DWz54LKPCp"
3FA31CF9071E381AFA25584BD377ED87,"Havlíček dostane pro průmysl navíc 400 milionů. Do vědy půjdou rekordní peníze https://t.co/R17rCR8xZW"
