Slovo,Podobnost
financování,0.33148202300071716
národní,0.315625935792923
procent,0.2129489630460739
vláda,0.21085166931152344
zmocněnce,0.20938736200332642
oblasti,0.20004145801067352
středních,0.19469699263572693
důvodu,0.19172567129135132
průmyslu,0.18665632605552673
rozhovor,0.18513590097427368
cena,0.1825036257505417
sněmovní,0.17277853190898895
rok,0.16782253980636597
předseda,0.16488009691238403
tzv,0.16332747042179108
poslaneckého,0.15528982877731323
programů,0.1423444300889969
republiku,0.14110003411769867
komise,0.14093591272830963
vládní,0.14076660573482513
mimo,0.1403759866952896
rozpočtu,0.13905058801174164
většině,0.13733574748039246
vicepremiéra,0.12979233264923096
obchodu,0.12834832072257996
