Slovo,Podobnost
strany,0.2172936648130417
výrazně,0.19491425156593323
sněmovně,0.15864288806915283
stavby,0.14373834431171417
občané,0.12254588305950165
průmysl,0.10949597507715225
zákon,0.10488605499267578
výkupní,0.10297049582004547
podpor,0.1029459610581398
novelu,0.08992047607898712
chyba,0.08792469650506973
meziročně,0.0860142782330513
rozpočtu,0.08388015627861023
elektřiny,0.07851248979568481
roku,0.07355482876300812
tehdejší,0.06977391242980957
posouzení,0.06974266469478607
ročně,0.06804253160953522
celý,0.06162814050912857
stát,0.054746489971876144
