Slovo,Podobnost
financí,0.3515302836894989
živnostníkům,0.1791989952325821
činnost,0.16708208620548248
zdroje,0.16640879213809967
rozpočtu,0.14975126087665558
žádná,0.09764877706766129
stan,0.05565943196415901
pomoci,0.049524515867233276
nákladů,0.04794378951191902
ministr,0.03989175334572792
podporu,0.02334432676434517
vláda,0.022745821624994278
minimálně,0.021268878132104874
rokem,0.01511563453823328
pomoc,0.014520995318889618
sněmovní,0.014143895357847214
komise,0.010160816833376884
větší,0.004976743366569281
