StatementId,Text
0b69c50339be833c2cccce7cbeb4e543,"To nevím, ale vím, že Radim Fiala pohádkové zbohatl na obchodech s @KoncernAgrofert a ministerstvy pod @AndrejBabis .  Stačilo prodat hlasy poslanců SPD k EET, pandy, zákazu domobran,staveb zákona, a ejhle zmizelo jeho 12 exekucí a mohl prodat firmu slovenskému svěřeneckém fondu."
0cb3c76fb5d2d6a3d90c4db87e08a936,"Co bys dělal anonymní “pravdo” kdybys zjistil, že jsem inkasoval 349 259 996,- STOVKY MILIONŮ Kč od EVROPSKÉ UNIE a od STÁTU?  Nebral bys to náhodou jako stoprocentní důkaz toho, že jsem to já, kdo rozbíjí vlasteneckou scénu?  Jak to, že ti to nevadí u Okamury a Fialy?"
1cdf6f06b3d1ed31676d845d2b03158c,"Pro české občany nemá Fialová vláda dost peněz, tak se bude šetřit a lidem ubírat. Ale na financování zeleného socialismu přispěje Fiala dalšími desítkami milionů korun. Pro zelený socialismus a neziskovky peníze jsou ..."
22af40d88df069715d1159d51feb4643,"Jo, jo, ten Fiala a celé @SpoluKoalice společně se @STANcz a @PiratskaStrana jsou strašné svině, takhle už rok strašit děti🤷‍♂️."
2524c1c2629f2bb49cc20a28821a825e,"To jsem netušil, že je Fiala nasazen aby zlikvidoval EU:( https://t.co/61qaWguo6D"
28c74375301a7a472cebfbb9a601f886,"Tedy Fialová @ODScz a s nimi celá vláda❗️❗️❗️"
2d42321279c0702d9f3e3fbf680b21ed,"“Naše předsednictví EU bylo aktivním podvolením Česka postupující zelené evropské sebevraždě, zvané Green Deal. A také hodně drahou kampaní premiéra Fialy pro jeho nevyhnutelný přestup do bruselských struktur; zaplatí ji totiž ještě naše budoucí generace.”"
3061910a0776ec32b7a05fe22ec16482,"Druhá bitva Tomia Okamury trvala 25. minut. Má spolu s R. Fialou NEOMEZENÝ čas a POČET vystoupení."
327c5a1953a31953924479a3cc03d890,"🚩 Kolikrát dnes zaznělo od Fialy. 1️⃣ STAN 2️⃣ Korupce 3️⃣ Kokain 4️⃣ Ministr vnitra 5️⃣ Spoluzodpovědnost 6️⃣ Demise?"
399b582fbf7120bdf725a6f96cbfb212,"@PedroKompi Dokážu to při každém přímém duelu s Okamurou nebo Fialou o financování SPD. Proto na něj nikdy nepřistoupí."
436d5e7b7244c08ae9f4ffc23bb405b8,"Dezoláti jako @KamilKrilov aplaudují Fialovi každy den, kdy my normální nakupujeme nejdražší elektriku na světě a děkujeme EU za zrušení protiruských sankcí, což umožnilo import ruské ropy do EU, po pouhém kliknutí na počítači a vyvěšení jiné vlajky na tankeru."
