Slovo,Podobnost
západ,0.2266158014535904
války,0.21677982807159424
opoziční,0.21628989279270172
historie,0.19771477580070496
takto,0.1744135022163391
demokraté,0.1705557107925415
roce,0.16108983755111694
komunismu,0.15188345313072205
podporuje,0.14183002710342407
pomocí,0.13114109635353088
svět,0.11128062009811401
pravda,0.10838723927736282
židy,0.10495422035455704
politiky,0.09875824302434921
společnosti,0.08895466476678848
rusko,0.08712136745452881
uniformy,0.07690872251987457
většiny,0.06834622472524643
pinochet,0.06293470412492752
