StatementId,Text
0c8357c41debe6bcd33e9f9a5d7ab6b9,"Tak a zítra je to na Okamurovi ;)."
0cb3c76fb5d2d6a3d90c4db87e08a936,"Co bys dělal anonymní “pravdo” kdybys zjistil, že jsem inkasoval 349 259 996,- STOVKY MILIONŮ Kč od EVROPSKÉ UNIE a od STÁTU?  Nebral bys to náhodou jako stoprocentní důkaz toho, že jsem to já, kdo rozbíjí vlasteneckou scénu?  Jak to, že ti to nevadí u Okamury a Fialy?"
0e3a74d44ae1a318495702e168cf876e,"Proč dodnes neodmítal @Vit_Rakusan výhružky jeho politickým oponentům a nevypracoval právní návrhy na ochranu důstojnosti vládních politiků v době kdy byl v opozici? Proč svým chováním naopak podněcoval nenávist k Zemanovi, Babišovi, Okamurovi i ke mně 🤣?  Tuhle dobu “miluji”;)"
19b7361f1adddfbcdd78a01964b9d49f,"@22_faraon @JiriParkes obávám se toho, že nevyzve. mezi Volným a Okamurou je nějakej problém, o kterým se veřejně nemluví. nám i jim by prospělo, kdyby si sedli k jednomu stolu a zanechali hádek. co na to @tomio_cz a @lubomir_volny ? :)"
2570162e807ff987bd21510440c7be3a,"Facebook právě ZRUŠIL nejúspěšnější politickou stránku v historii ČR, stránku “Mgr. Lubomír Volný”, která měla bez cenzury trojnásobný dosah, než stránky Tomia Okamury a Andreje Babiše!!!  Alespoň jednoznačně víme, kdo doopravdy vadí a kdo tak má pouze vypadat!!! https://t.co/B8R1y7vwGd"
2794fe7d8f7adc8ab1dc7c3c6f84c68c,"Tomio Okamura - SPD  ve skutečnosti 2x ve stoje tleskal a hlasoval PRO podporu Zelenského režimu na Ukrajině a také sám SCHVÁLIL výhody pro ukrajinské  uprchlíky , tak aby získali LEPŠÍ než běžný uprchlický status. Video s potleskem ve stoje zde: https://t.co/WZK5qX1KTc https://t.co/pealInoETX"
2c63d8bd90a5a2796db5850af8e22385,"Okamura SLIBUJE na pátek OBSTRUKCE 😀😀😀😀😀😀😀😀😀😀😀😀Děkujeme Vám za VÁŠ TLAK 😃😃❤️🌹🇨🇿🍀🤝❤️🇨🇿🇨🇿🍀❤️❤️🍀🇨🇿🇨🇿"
3061910a0776ec32b7a05fe22ec16482,"Druhá bitva Tomia Okamury trvala 25. minut. Má spolu s R. Fialou NEOMEZENÝ čas a POČET vystoupení."
33d4cd443f193b1f0b09c3761f0fa732,"➡️ Jak “média”, včetně @CzechTV lžou ve prospěch @tomio_cz .  ➡️ I podle ČT stovky na akci @BlokVolny a tisíce na akci @SPD_oficialni   ➡️ Proč asi tak ČT pomáhá Okamurovi? https://t.co/gFGQc9jn96"
399b582fbf7120bdf725a6f96cbfb212,"@PedroKompi Dokážu to při každém přímém duelu s Okamurou nebo Fialou o financování SPD. Proto na něj nikdy nepřistoupí."
