Slovo,Podobnost
rusofobové,0.3125365972518921
nikdy,0.28549838066101074
mezinárodní,0.2836605906486511
zemi,0.24174191057682037
sebou,0.24041306972503662
ekonomickou,0.2242310345172882
celou,0.2135118544101715
bidenem,0.20232237875461578
sýrie,0.19943778216838837
běloruské,0.19259832799434662
prezident,0.18158647418022156
světy,0.18147896230220795
vojenskou,0.1763497292995453
lukašenko,0.16834993660449982
kremlu,0.16050854325294495
říká,0.15383397042751312
režim,0.14931166172027588
peněz,0.1491614431142807
aktivisté,0.14862802624702454
terorismu,0.13650184869766235
greténoteroristé,0.1342458575963974
