StatementId,Text
001576e861c0014509c6ae5af121487d,"Když znamení podpory Donalda Trumpa je lehce propojeno s proudem..."
01603d78b808049111e798d29f23c987,"Kanadská veřejnoprávní televize vysvětluje vystřihnuti Trumpa ze Sám doma 2 “ editorskou úpravou filmu pro televizní použití”. Nepřipomíná vám to “ editorské vystřižení Zdeňka Bakaly” z projevu Zemana v naší veřejnoprávní @CzechTV ? #jsemverejnopravni https://t.co/mIFk2suL9r"
017ca31381dcedf9efda25d82dd1dc85,"Podle Demagoga mám stejně názory jako Trump ;). Za mne VÝBORNÝ 😘."
043a26ad524a7096835b0c52a83627f9,"Takto se zřejmě bojuje proti “institucionálnímu rasismu” :(.  58% respondentů tohoto průzkumu souhlasí s nasazením americké armády kvůli dnešní situaci.  Komu prospěje občanská válka v USA a případný odchod prezidenta Trumpa?  https://t.co/W0ZbLs0qB0"
04f3190c7402c80d3f84541cd14a25e5,"Skuteční Trumpovi příznivci brání policajty před hajzlíky z Antify, maskovanými trumpovskými barvami a symboly. Tohle nám ovšem žádná televize neukáže, neboť to není součástí plánu ..."
0534107c38e09db4579252f2d9eb9935,"🚩Putin vyzývá Washington, „aby přestal krást syrskou ropu“. USA to mohou udělat -- , jak Trump slíbil, že udělají -- , protože v současné době okupují 1/3 Sýrie, kde je respekt k suverenitě v očích USA náhodou vyňat."
057e03733d9df491babe51413f6f5c0c,"Pokud nevytáhne Trump z rukávu žolíka, tipoval bych, že do Bílého domu nastoupí v krátké době po nástupu Bidena spousta nových zaměstnankyň ve věku 8-14 let ..."
05d592ad4c30907f6710eb71f6665ffb,"Bidenovu zvěř na tomto videu měli policisté postřílet. Útočí a ohrožují na zdraví i životě kohokoliv, černé, bílé,  děti , kohokoliv, kdo si dovolí na veřejnosti projevit sympatie s Trumpem. Typický liberální fašismus dnešních dni. Toto u nás zavedou @PiratskaStrana a jejich SA."
09853BA3BCF4ACDD312628B6CA6805F0,"Rozsekalo 😂  Reportérka: “Máte v USA nízkou nezaměstnanost, my ve Francii vysokou. Jaký je recept?” Trump: “Asi máme lepšího prezidenta než vy.”  https://t.co/se1xAUvL8q"
0d34fd701d918a7fd725ee409d44009e,"@lubomir_volny Takhle, zavádělo se to postupně. Ale už od roku 2000 kdy to použili na Floridě, kde letos vyhrál Trump. https://t.co/Mx4BWTRZEH"
