Slovo,Podobnost
skuteční,0.3213174045085907
členové,0.2534485161304474
liberálně,0.23503421247005463
ruskem,0.23328982293605804
munici,0.21795091032981873
naprosto,0.21160416305065155
putin,0.19455218315124512
jasne,0.18563106656074524
let,0.17467428743839264
čína,0.16037532687187195
důkazy,0.15907977521419525
demokraty,0.15533491969108582
twitteru,0.14220894873142242
us,0.13981293141841888
případně,0.13686755299568176
bílá,0.12189721316099167
lidi,0.12004450708627701
usvědčení,0.11452404409646988
demonstranta,0.1141815260052681
