Slovo,Podobnost
vakcínu,0.23052212595939636
poslanec,0.21338479220867157
práci,0.2052951157093048
bojko,0.17153097689151764
říká,0.14321720600128174
hrozba,0.11823710054159164
zrovna,0.10477558523416519
roka,0.08668827265501022
fakt,0.08291445672512054
stavem,0.08226634562015533
falešné,0.07531415671110153
číny,0.06204704940319061
jiná,0.059922702610492706
vítězství,0.05568284913897514
politické,0.05270306020975113
očkování,0.05197076126933098
vláda,0.04331696033477783
facebooku,0.03240479156374931
pravdu,0.03150629624724388
povinnost,0.01823814958333969
