Slovo,Podobnost
premiéra,0.999401330947876
lánech,0.9992055296897888
vlády,0.9990337491035461
hradě,0.9989629983901978
předsedu,0.9989361763000488
otázku,0.9989237785339355
panem,0.9988870024681091
prezidenta,0.9988605976104736
ministr,0.9988604187965393
jednání,0.998813271522522
roce,0.9988073706626892
názor,0.9988068342208862
myslím,0.9988035559654236
naprosto,0.9987900853157043
rusku,0.9987801313400269
státu,0.9987777471542358
rád,0.9987741708755493
vakcíny,0.9987552762031555
vašich,0.9987359046936035
