Slovo,Podobnost
vlády,0.9989585280418396
důvod,0.9989541172981262
pan,0.9989513158798218
druhé,0.9988876581192017
myslím,0.9988439083099365
ministra,0.9988372325897217
státním,0.9988178610801697
jinými,0.9988117814064026
předsedu,0.9988001585006714
lidí,0.9987602233886719
českou,0.9987557530403137
politice,0.9987176656723022
žádnou,0.9986953139305115
názoru,0.9986933469772339
volbách,0.9986917972564697
sociální,0.9986833333969116
koronaviru,0.9979098439216614
dokonce,0.9977826476097107
roce,0.9977477788925171
otázku,0.9977471828460693
premiére,0.9977245926856995
rád,0.9977201819419861
prezidenta,0.9977104067802429
abych,0.9976767897605896
době,0.9976712465286255
