Slovo,Podobnost
případě,0.6321650147438049
práce,0.6253874897956848
čo,0.6226134896278381
celé,0.6208764314651489
české,0.6193987131118774
prezidentem,0.6190581321716309
otázka,0.6181157231330872
jiných,0.6168444156646729
očkování,0.6120088696479797
pan,0.6115599274635315
žádná,0.6086218953132629
volbách,0.6071898937225342
ako,0.6015962362289429
epidemie,0.6004223227500916
zákon,0.5982994437217712
rok,0.5978864431381226
dokonce,0.5933213233947754
politici,0.5903642773628235
babišova,0.5526464581489563
doba,0.5387158989906311
premiér,0.5352818369865417
nikdy,0.5290309190750122
takový,0.5290234088897705
vakcín,0.5273494720458984
opozice,0.5239953398704529
