Slovo,Podobnost
koronaviru,0.9802616238594055
vakcíny,0.9781721830368042
pan,0.9778384566307068
český,0.9778198003768921
epidemie,0.9776672720909119
prezidente,0.9774636626243591
ministrem,0.9771392345428467
roky,0.9771230816841125
politiků,0.9770871996879578
vláda,0.9766103029251099
roušku,0.9764162302017212
byste,0.9763686060905457
země,0.9763415455818176
znamená,0.9761337041854858
lidí,0.9757951498031616
názor,0.975757360458374
druhému,0.9755899906158447
státy,0.9753818511962891
strany,0.9591889381408691
republiky,0.9587602615356445
dokonce,0.957829475402832
jisté,0.9574558138847351
společnost,0.9574196934700012
posledních,0.9569119215011597
většinou,0.9568660259246826
