Slovo,Podobnost
vládě,0.9916025996208191
pane,0.9910464882850647
názor,0.9906185269355774
ministr,0.9904848337173462
myslím,0.9904165863990784
říká,0.990359365940094
otázky,0.9903572201728821
lidu,0.9900861978530884
zdravotnictví,0.9900553226470947
premiér,0.9899159669876099
straně,0.9898298382759094
jiná,0.9896571040153503
koronavirem,0.989593505859375
volbách,0.989543080329895
byste,0.9895311594009399
český,0.9893151521682739
vakcín,0.9892027378082275
prezidente,0.989199161529541
epidemii,0.9891257286071777
