Slovo,Podobnost
republiky,0.9990504384040833
prezident,0.9990466833114624
české,0.998930811882019
pane,0.9987959861755371
druhé,0.9987401962280273
ekonomickým,0.9987280368804932
země,0.9987151622772217
takovému,0.9987138509750366
rok,0.9987005591392517
říká,0.9986968636512756
ruské,0.9986885786056519
státy,0.9986564517021179
kdyby,0.9986542463302612
občanům,0.9986453652381897
politikem,0.9986414313316345
dobře,0.9986399412155151
lidu,0.9986142516136169
vlády,0.9985963106155396
názor,0.9985949397087097
