StatementId,Text
050c19c7601bf0f77658750127d1b313,"Pavel Blažek může varovat, před čím chce. Dovolím si vlastní varování: Pokud ministři budoucí Fialovy vlády budou brát tuhle “komedii před vitrínou” vážně, já nebudu moci brát vážně Fialovu vládu. Chtěl jsem volit politiky. Snad jsem se nemýlil. https://t.co/dedJ5oGS03"
0d2234ecf5746c22807297eece9bda72,"Prvním velkým testem soudržnosti Fialovy vlády bude naplnění slibu o deficitu st.rozpočtu pod 300 mld.Kč. Technicky je to snadné, politická dohoda ale snadná nebude. Držím jim palce, aby to zvládli. https://t.co/rcaaFNHkSB"
0EBFDD23D17233DED113AF8EEE608B2C,"Mrzí mě, že se významný člen ODS připojuje k Úsvitu a okamurovcům a otevřeně vyzývá k vystoupení z EU. Na billboardech hlásá předseda strany Petr Fiala, že „patříme na Západ“. Obávám se však, že jeho vlastní strana tím ve skutečnosti myslí západní část východního bloku."
124cc5aad49e75576da96122f57e82eb,"Napadá mě otázka: Kdyby Piráti odmítli vstoupit do vlády, kdo by přišel o sympatie lidí, kteří je volili? Fialova vláda, nebo @PiratskaStrana? Byl bych raději, kdybych se odpověď nedozvěděl."
1f4a5efd1acd2002a1d29e4409049c88,"@michalsnobr Můj Bože..😄Bouček, Zoubek, Fiala, Švec.. To bylo zápasů v Bechyni i ve Strakonicích. Až jste mě dojal."
25f6c45013ae018ab1b3fa86d6515e74,"Mám velkou radost a srdečně blahopřeji Markétě Adamové, Petru Fialovi a Marianu Jurečkovi. Čeká nás všechny ještě spousta práce, ale nepochybuji o tom, že svůj vznik právě oznámilo vítězné uskupení v příštích volbách do Poslanecké sněmovny."
2a5c21b58ab247a9b1912d054e16e0a9,"Petr Fiala vysvětluje Václavu Moravcovi, že o zásadních tématech se bude diskutovat po tiskových konferencích vlády a nikoliv po televizních pořadech. Myslím, že je to tak správné."
30e27a255f05eecfbd1c487b1d9ccc28,"Malý příklad “tloustnutí státu”: Pro r.2013 vyčlenila Nečasova vláda na mzdy a platy 12,2% z celkových příjmů. Pro rok 2023 plánuje Fialova vláda 13,7%. Těch 1,5% nárůstu představuje 29 miliard, které si musíme půjčit. Co to má společného s válkou, na kterou se vymlouváme?"
31E13B267CEEDF2068B00E51164F6051,"Nikdo z nejužšího vedení ODS se jasně nedistancoval od skandálního výroku svého stínového ministra pro školství Václava Klause ml., který vyzval k okamžitému odchodu ČR z Evropské unie. Petr Fiala je ve stejné pasti jako Bohuslav Sobotka. Oba dva nepochybně proevropští předsedové v tuto chvíli bohužel reprezentují už jen menšinové názory proti radikalizující se a nacionálně se zbarvující stranické většině. A protože je to většina, nemohou se od ní razantně distancovat. O to větší šance pro Putina a horší vyhlídky pro naši budoucnost."
34B73C211CF2A13C403B68EF426B0AD7,"Naprosto zásadní, analyticky brilantní text. Čtěte, prosím Petře Fialo, Ivane Bartoši, Jane Hamáčku, Víte Rakušane, Marku Výborný. Hrozí nám ukrajinský model : “Můžeme svobodně volit oligarchu A či oligarchu B. Demokracii už ale volit nemůžeme.” Vzbuďme se!"
