Slovo,Podobnost
otázka,0.31764307618141174
česká,0.24695368111133575
partnerovi,0.20946888625621796
moskvy,0.2069045603275299
sobotu,0.20298969745635986
návrh,0.19968852400779724
radách,0.1988595724105835
roce,0.1959684193134308
soudruh,0.18734048306941986
sněmovny,0.18572938442230225
zahraničí,0.18285581469535828
stát,0.1823691427707672
kolegy,0.17571084201335907
takových,0.17147225141525269
poslední,0.16812938451766968
národní,0.14980922639369965
vnitra,0.14693096280097961
stav,0.14665581285953522
cesta,0.14639659225940704
důvod,0.13764207065105438
ruskému,0.13704749941825867
zhruba,0.1352940797805786
kdyby,0.1283329576253891
pana,0.1283058524131775
právem,0.12707506120204926
