Slovo,Podobnost
strop,0.21930794417858124
premiéra,0.21720187366008759
schillerovou,0.21318675577640533
dopravy,0.203528493642807
dnešní,0.1963711380958557
pořadech,0.17751574516296387
předsedou,0.17322739958763123
zajímavý,0.1703641414642334
pravdu,0.15588213503360748
fronta,0.1535693109035492
výroky,0.1496017426252365
pane,0.14854219555854797
diskutovat,0.14305222034454346
právo,0.12288068234920502
bureš,0.1117124855518341
průmyslu,0.10090851038694382
žádná,0.0967368334531784
komentáře,0.09534008055925369
dělá,0.0771554484963417
rozpočtovou,0.06677842140197754
obchodu,0.06672942638397217
babiš,0.06547077000141144
události,0.06433611363172531
soudech,0.05593257397413254
sněmovny,0.05473792925477028
