Slovo,Podobnost
kalouskovi,0.5967309474945068
kalousek,0.5967309474945068
rok,0.565995991230011
vlády,0.5362979769706726
strany,0.5085302591323853
letech,0.5076401233673096
lidi,0.49598681926727295
politice,0.4943867623806
většina,0.4912276566028595
země,0.490548700094223
nikdo,0.4896101653575897
paní,0.4866786599159241
ministr,0.4815521836280823
osoba,0.48033997416496277
prima,0.47792455554008484
sněmovně,0.4551691710948944
poslanecké,0.4505838453769684
pokyn,0.45031511783599854
abych,0.44815176725387573
premiérem,0.44702526926994324
dalšího,0.425579309463501
patří,0.42367804050445557
ekonomická,0.41367748379707336
rozpočtu,0.4097372889518738
babišovi,0.40396007895469666
