Slovo,Podobnost
testovacími,0.22717900574207306
občan,0.22369374334812164
covidu,0.19650401175022125
restaurace,0.17308905720710754
říká,0.14484314620494843
kostelů,0.11689625680446625
chápu,0.11644373089075089
babiš,0.10392003506422043
vlády,0.10241809487342834
otázku,0.10078898072242737
ústředního,0.0905836746096611
člověk,0.06511709839105606
populace,0.05450819805264473
vakcín,0.02947940118610859
stát,0.024612387642264366
náměstek,0.00684710405766964
čele,0.0035729960072785616
nárůst,0.0003817779943346977
