Slovo,Podobnost
pohled,0.3159324824810028
bezpečnost,0.2757527828216553
svojí,0.2650393545627594
zemích,0.22890381515026093
názor,0.22421444952487946
dělá,0.21636006236076355
let,0.19705669581890106
terorista,0.1929658055305481
desítky,0.15592029690742493
vládní,0.14923207461833954
spojenců,0.1455141305923462
prezident,0.13356195390224457
lidech,0.12804017961025238
stropnický,0.12283273041248322
pana,0.12052341550588608
straně,0.11952895671129227
takový,0.11523475497961044
rád,0.1115749403834343
