Slovo,Podobnost
prezidenta,0.3051525056362152
sněmovny,0.2373041808605194
daňové,0.22484667599201202
tv,0.2140272706747055
opoziční,0.18903574347496033
pojištěnce,0.18885289132595062
kalousek,0.1814529299736023
neoprávněné,0.15595857799053192
rozpočet,0.15563112497329712
jinou,0.1393721103668213
správy,0.13516956567764282
finanční,0.13274429738521576
zájmy,0.12610718607902527
politického,0.12172704190015793
kdyby,0.11408739537000656
odpovědnosti,0.11369488388299942
státního,0.11177755147218704
úspora,0.09959564357995987
pravda,0.09178037196397781
případě,0.09060142934322357
