Slovo,Podobnost
prezidenta,0.9408951997756958
babišovi,0.9235745668411255
státní,0.9118160009384155
vláda,0.911494791507721
politiky,0.9100955128669739
pan,0.9082058072090149
veřejných,0.9062423706054688
sněmovnou,0.9051123857498169
premiér,0.903023362159729
země,0.8996738791465759
republiky,0.8971754908561707
strany,0.8953998684883118
nikdo,0.8877177238464355
české,0.8760272264480591
trestně,0.8757879734039307
politické,0.8747423887252808
letos,0.8713568449020386
hrad,0.8707643151283264
názor,0.8668072819709778
důvěru,0.8614919781684875
předsedy,0.860896110534668
důvodů,0.8445685505867004
výroky,0.8433868885040283
