StatementId,Text
060fa42a56880dd0642f7047211a7a6e,"Bělobrádek: „Mám dvě milenky; jednu opustit mohu, druhou nikoli.“ Bývalý lidovecký předseda Pavel Bělobrádek byl hostem podcastu Lidovci On Air! Kdo jsou jeho skutečné milenky? Kdy naposledy věnoval své manželce květinu?  https://t.co/gaZOh5oGSt"
07F667345531AD8797FD25F5BEADF96F,"Dnes jsem na vyhlášení Vesnice   Královéhradeckého kraje 👍. Letos vyhrál 🏆městys Nový Hrádek✌. Moje srdeční❤ záležitost, vždyť první dochovaný Bělobrádek ze 17. století byl odtud⚓. Ať se Hrádku daří!"
0b634b781fdf8f756544820b95f92af5,"Dnes jsem na vyhlášení Vesnice   Královéhradeckého kraj👍. Letos vyhrál 🏆městys Nový Hrádek✌. Moje srdeční❤ záležitost, vždyť první dochovaný Bělobrádek  17. století byl odtud⚓. Ať se Hrádku daří! https://t.co/pCoJbUztxG"
0BA962E0B38AD5856BF870276C7F6778,"Podpory Jiřího Grygara si velmi vážím:  Znám doktora Pavla Bělobrádka už řadu let, protože jsme se setkávali na Akademických týdnech v Novém Městě nad Metují. Ocenil jsem tehdy i jeho nabídku přednášet v Náchodě a cestou autem i při jiných příležitostech jsme přirozeně probírali i politickou situaci v naší zemi. Mohu proto jednoznačně podpořit jeho kandidaturu do krajského zastupitelstva, protože naše názory na politiku od komunální po celostátní jsou blízké a doktor Bělobrádek podle toho také jedná. Vážím si též jeho působení v Radě vlády pro vědu, výzkum a inovace, která se pod jeho vedením proměnila v instituci, které jde skutečně o podporu rozvoje vědy a výzkumu a která se skládá z důvěryhodných osobností, čemuž v minulosti bylo právě naopak. Jiří Grygar  http://www.pavelbelobradek.cz/clanky/podporuje-me-rndr-jiri-grygar-csc-astrofyzik/"
0d369fe1ed426540bf1b75237e893dda,"Teď je to samá zábava, nevaž se, odvaž se, stěžuje si končící šéf KDU-ČSL Bělobrádek https://t.co/byiGQp6k0R"
1b5a02b79f678e8929e09e53bce91a71,"Bělobrádek otevřeně: Nestačím pětileté dceři. A kvůli roztroušené skleróze mi padají i věci https://t.co/t1RoLxe07n"
1C6D46580AAE4CB9DAF6A71260547FC4,"Kompromis není popření hodnot  V kategorii Na sobotní frekvenci Proglasu  Kompromis není popření hodnot, říká v rozhovoru s Lídou Hojkovou Pavel Bělobrádek, politik, který se několik let pohyboval ve vrcholných kruzích naší veřejné scény. Jak prožívá svou kariéru, ale také osobní život víry, bude vyprávět v pořadu Na sobotní frekvenci Proglasu  v sobotu 9. listopadu v 8 hodin ráno."
201c7d8ae89fc88ee497980693b50337,"Dnes po 17. hodině bude u @MarieValaskova na @Radiozurnal1 ve 20 minutách @PavelBelobradek. Téma je @biscz (Pavel Bělobrádek je předsedou parlamentní Stálé komise pro kontrolu činnosti Bezpečnostní informační služby)."
22189a2e8c3214e3f2cac229e147be87,"@PavelBelobradek @DemagogCZ Pane Bělobrádku. Asi vám účet na Twitteru hacknul nějaký hulvát."
253577d130f92c5b1afefb1aec9a54ff,"Šéfem BIS má být Koudelka nebo někdo lepší. Ale takového neznám, uvedl Bělobrádek https://t.co/910H5bbegI"
277C061A87421F8AFFBCF816D0E2323D,"Zhodnocení senátních voleb na Náchodsku od Časopis Reflex!  Doporučuji k přečtení! 🙂   A co o mně (hezkého) napsali:  Lidovci nominovali poslance a předsedu Pavla Bělobrádka, který je zároveň krajským a městským zastupitelem. O Bělobrádkovi se dokonce spekuluje jako o možném kandidátovi na předsedu Senátu, pokud KDU-ČSL uspěje a stane se po volbách nejsilnějším senátním klubem. Bělobrádka podpořily i TOP 09 a STAN.  🇨🇿💛"
28c5cd3cddde9c541fbf7749be42032b,"Česko je nano píše:  Je mezi námi další nanosuperman! Pavel Bělobrádek.  Tak jo.  Hop hop a letím. :-D"
30EE4214FFDF819C5F09C6ED294B7E60,"Tak nevim,jestli to je dobre 😁 Očima Saši Mitrofanova: Obama s Bělobrádkem měli stejné obavy  https://t.co/EbQDE4iWnt"
3AEA4C7C982E9019C804CB7196647A87,"Tohle mi přišlo minulý týden od Boženy 🙂 To je přesně ten důvod, proč chceme pomoci maminkám, zvýšit jim důchod a umožnit jim, aby odcházely dříve do důchodu.  Vážený pane Bělobrádku, děkuji, že se zabýváte problematikou nízkých důchodů pro maminky.  Moc si přeji, aby ženy odcházely do důchodu dříve. Píši ze své zkušenosti. Mám nemocného tatínka, který potřebuje 24hodinovou péči, mám jej doma. V době, kdy jsem v zaměstnání, mám u něj osobní asistentku, ale péče o staré rodiče není opravdu jednoduchá. Z tohoto důvodu bych opravdu uvítala, abychom my ženy, které se nejprve staráme o děti, když děti odrostou, zestárnou nám rodiče, a pak se staráme o rodiče, odcházely do důchodu dříve. Naše maminky odcházely do důchodu dříve a myslím si, že to bylo správné. Moje maminka měla dvě děti a do důchodu šla cca v 55 letech. Posílám Vám můj názor a děkuji, že se nás maminek zastáváte. Hodně sil Vám přeje a zdraví Božena​  Ještě jednou díky, Boženo. My se maminek zastávat budeme a současnou nespravedlnost chceme co nejdříve napravit. Zároveň Šárka Jelínková, senátorka za obvod č.76 - Kroměříž přišla s návrhem na zvýšení příspěvku pro péči o příbuzné doma  o 6 000 Kč."
3c6ab2ceb77f742c9e00cfba39d085df,"Díky za podporu pane profesore, velmi si jí vážím.   U pana Pavla Bělobrádka oceňuji jeho klidný a věcný způsob vystupování i jednání. Ve vysoké politice není tak mnoho lidí, kteří jsou schopni diskutovat a argumentovat, protože jim nejde jen o osobní prestiž a úspěch, ale chtějí především něco užitečného udělat.    Prof. PhDr. Jan Sokol, Ph.D., CSc. filozof, vysokoškolský pedagog"
3CFD646E172E3E50BB3638DEA3AF050C,"Podpory od Marka Orko Váchy si moc cením:   Pavla Bělobrádka znám mnoho let a po těchto mnoho let je pro mě Pavel Bělobrádek živoucím důkazem, že politiku lze dělat nezištně a morálně čistě, jako službu, a nikoli jako výtah k moci či penězům. Hodnoty, které Pavel Bělobrádek zastává, má ostatně kryty životem.  Moc bych přál Královéhradeckému kraji jeho zvolení a moc bych tomuto kraji rovněž přál, aby Pavel Bělobrádek svým příkladem inspiroval další mladé politiky svého regionu.  Marek Vácha"
433055a8706105567d2e96113260225d,"@PavelBelobradek jenže pane Bělobrádku, jeho postihla konjunktura a důchodcům přidal devět stovek...to mu na těch 30% bohužel stačí...😒"
434bc74640bcd3e6f51fcd10e88cdb49,"Moravec (k Falmerovi):  Jaká fáze trestního řízení je podle vás důležitá?  Falmer:  Sdělení obvinění.  Bělobrádek:  Já bych chtěl tady kolegům z KSČM a ČSSD připomenout, že panu Babišovi bylo sděleno obvinění a přesto podpořili jeho vládu.   Zásah! Potopeno! 👍 #OVM"
4C23BE5277183F8FADD344E86E843EB2,"Ten pocit, když navrhnete 100 milionů na platy VŠ učitelů a panu majiteli novin se to líbí tak, že nechává měnit nadpisy ;-)  Nadpis „Přidáme sto milionů na posílení platů VŠ pedagogů, řekl Bělobrádek“ vydržel na iDnesu jen pár minut. Teď už je to „koalice“ – skutečně jsou novináři z majitele Babiše tak vyděšení z toho, když se podaří prosadit dobrou věc někomu jinému, než ministru financí?"
4dfebc2039a543a753ea69bfa0257495,"Dneska jsem na Vysočině, kde budu mít Autogramiáda Pavla Bělobrádka v Třebíči.  Ale ještě teď dopoledne jsem diskutoval se studenty Katolického gymnázia v Třebíči a našim lídrem Vít Kaňkovský."
507587b314cfb0d821759d9b258c1159,"Pokud se bude pan Bělobrádek veřejně vyjadřovat ke zdravotnictví, doporučuju mu, promiňte, dovzdělat se.  https://t.co/4wFxO6T1Fj https://t.co/aFJukfdscD"
51d1bdb53a2a6006d210ccdcbda0156b,"@PavelBelobradek Děkuji za sdílení, pane Bělobrádku."
5726f24ff796bff19ca5770a03b3bcff,"Kandidaturu na předsedu lidovců Bělobrádek nevylučuje, nechce Čunka v čele.   https://t.co/vzxd2ubJqq"
576fe43884c76c0d8c4eb216a308c1da,"@PavelBelobradek Pane Bělobrádku, proč neprosadíte povinné respirátory FFP2 pro všechny + desinfekce v každé kapse? Nakonec by to bylo nejlevnější a vše by mohlo zůstat otevřené."
5a01d104303992db741be8639f1757d2,"Děkuju za včerejší setkání v Dobrušce. Bylo to moc fajn a rád jsem vás všechny viděl a poznal!  Přijďte se potkat a promluvit si už příští týden: v úterý na Přijďte na pivo s Pavlem Bělobrádkem  ve středu na Autogramiáda Pavla Bělobrádka"
5f00c347c842be8d6799b0ae389accac,"@PavelBelobradek @horalek_martin @DanielDherman @jaroslav_sebek Zlomové je to v tom, že papež LGBT+ lidem právo na civilní svazky přiznal. KDU proti nim v PS velmi rázně vystupovala, a ŘKC obecně je v čele hnutí proti udělování práv LGBT+ osob. V tom je ten radikální posun, pane Bělobrádku."
5f2412d3d502aa31c11d2a1d89205729,"Výzva: Lidé mají k lidovcům sprosté předsudky. Nejsme strana středověku, rozohnil se Bělobrádek https://t.co/D0Z7OKuBYR"
5F9CAECDFFD483FDB2B7460F9B738D49,"A. Mitrofanov: Kdo stojí proti Bretschneiderům nikoli jako jednotlivec, ale jako celek? Z vládních stran jsou to lidovci. Předseda Pavel Bělobrádek mi zaslal výmluvný odkaz na video The Plastic People of the Universe z roku 1977 Ach to státu hanobení. Z parlamentní opozice je to TOP, ODS a STAN. Pak jsou tu ústavní právníci. Jan Kysela rovnou říká, že návrh je ústavně pochybný, protože evidentně podvazuje svobodu projevu a má potenciál podvazovat i politickou soutěž.  https://www.novinky.cz/komentare/420867-ocima-sasi-mitrofanova-bretschneiderove-hlasi-nastup.html"
