Slovo,Podobnost
dobře,0.30283626914024353
region,0.24380625784397125
podporovat,0.22419685125350952
lidová,0.21672187745571136
bis,0.2066425085067749
vědy,0.19386500120162964
senát,0.18826055526733398
službu,0.1879078596830368
jiný,0.18410086631774902
rozvoj,0.18325068056583405
maminka,0.17309413850307465
vyhlášení,0.16358232498168945
říká,0.1605306714773178
přátel,0.15901193022727966
dětí,0.15656273066997528
politické,0.1524699628353119
otevřeně,0.14552569389343262
krajských,0.1283409744501114
lidi,0.12695430219173431
česka,0.12406035512685776
hodnoty,0.12371288985013962
důchodu,0.12036190927028656
vládu,0.11789093911647797
zániku,0.11618252098560333
rád,0.11070794612169266
