Slovo,Podobnost
demokracii,0.19481819868087769
národ,0.17904606461524963
zahradní,0.15348412096500397
dalšími,0.14446868002414703
české,0.13265928626060486
premiér,0.11329525709152222
lidové,0.09705661237239838
politik,0.093941330909729
řadě,0.08411932736635208
prezidenta,0.0752682313323021
nikdy,0.06435222178697586
let,0.06405562907457352
dětí,0.06352587044239044
svého,0.05475270375609398
odkaz,0.04791690409183502
humor,0.04728933796286583
listopad,0.043777693063020706
hrdinou,0.04297596588730812
nesme,0.04122566804289818
roce,0.007960024289786816
knihovna,0.0031972804572433233
