Slovo,Podobnost
mimo,0.223127081990242
lidí,0.21949563920497894
nikdy,0.16901667416095734
koalici,0.16328316926956177
vezme,0.14516426622867584
piráty,0.13935118913650513
stan,0.1334857940673828
konec,0.10090643167495728
stran,0.09833638370037079
vládu,0.07095585018396378
voliči,0.0656554326415062
všechny,0.06229899451136589
doufám,0.061357371509075165
spojení,0.050869159400463104
politik,0.033101264387369156
jiný,0.027518022805452347
sama,0.018205270171165466
takový,0.016432270407676697
topky,0.010112402960658073
vedení,0.009352602064609528
